run_id,score,best_epoch,num_epochs_trained,best_val_loss,test_loss,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,val_f1_micro,val_f1_macro,model_path,summary_path,training_log_path,num_sites,physical_dim,bond_dim,dropout_rate,batch_size,learning_rate,weight_decay,num_epochs,patience,lr_scheduler_factor,lr_scheduler_patience
run_00252,0.3583742891696472,1,1,0.9365597041453559,1.0137913380382755,0.3598123539759891,0.2279914296676513,0.2765096935690755,0.514948147134807,0.3583742891696472,0.22674462389471117,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00252/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00252/training_log.csv,6,240,512,0.2,2048,0.001,1e-06,1,20,0.7,3
run_00243,0.35818126563340114,1,1,0.967061318596964,1.1518093746026683,0.35900391588324093,0.20973879269655868,0.2783307599384703,0.505529919971377,0.35818126563340114,0.20986382814574522,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00243/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00243/training_log.csv,6,240,512,0.0,1024,0.001,1e-06,1,20,0.7,3
run_00207,0.3581619833157229,1,1,0.9374994149004408,1.0531946659595337,0.36002645795908117,0.23213458753186542,0.24968967880356033,0.645088052531609,0.3581619833157229,0.2312493264745831,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00207/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00207/training_log.csv,5,450,512,0.0,1024,0.001,1e-06,1,20,0.7,3
run_00234,0.35794875659802766,1,1,0.9463085477363937,1.244435804560637,0.35877008490226026,0.22901549094310125,0.2440563413410423,0.6769627006634852,0.35794875659802766,0.22863507845117015,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00234/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00234/training_log.csv,6,240,256,0.1,512,0.001,1e-06,1,20,0.7,3
run_00021,0.3576462728574594,1,1,0.9862705879515988,1.3732132718494683,0.35824965610020665,0.22540718742258353,0.22656966960375446,0.8553986435648253,0.3576462728574594,0.22481078979236122,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00021/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00021/training_log.csv,4,240,256,0.2,256,0.001,1e-06,1,20,0.7,3
run_00022,0.35745804949568205,1,1,0.973240736959696,1.124108538154815,0.35838300963613445,0.22131499578875793,0.24570986038735282,0.66190932194026,0.35745804949568205,0.221024136788298,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00022/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00022/training_log.csv,4,240,256,0.2,512,0.001,1e-06,1,20,0.7,3
run_00037,0.3571024384298636,1,1,0.8778359476058193,1.019902334186126,0.35746562185186775,0.25044404782103385,0.23401371061250228,0.7566072283578085,0.3571024384298636,0.24997359803905655,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00037/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00037/training_log.csv,4,360,128,0.0,256,0.001,1e-06,1,20,0.7,3
run_00051,0.3570121362165198,1,1,0.9313027417129597,0.9983804370414556,0.35740895430672776,0.23608754098841261,0.2315132838167087,0.7834386526147419,0.3570121362165198,0.23594729417027455,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00051/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00051/training_log.csv,4,360,256,0.0,1024,0.001,1e-06,1,20,0.7,3
run_00076,0.35651407640364435,1,1,0.8639370365210709,0.8775597435392265,0.35639400015397954,0.24070954831612476,0.2613229428729214,0.5601977301546378,0.35651407640364435,0.2405060839145331,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00076/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00076/training_log.csv,4,450,128,0.0,2048,0.001,1e-06,1,20,0.7,3
run_00175,0.3564808427039085,1,1,0.9500742027443255,1.1761129093416864,0.3572375177732459,0.22885717771764008,0.243386177772139,0.6712223175152717,0.3564808427039085,0.2279394463157094,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00175/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00175/training_log.csv,5,360,512,0.1,1024,0.001,1e-06,1,20,0.7,3
