fold,epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,1,1.476845083754635,0.21610709732256694,0.13874689610956326,1.032731533050537,0.48977272727272725,0.28689266240383304,0.4681081081081081,0.14795612640125447,0.00025
1,2,1.2970904204022438,0.4180752713194694,0.19692506626510253,1.0175118446350098,0.4692778912196027,0.23685255478356285,0.4681081081081081,0.14795612640125447,0.00025
1,3,1.184266623862701,0.4249897423715637,0.21504923472736562,0.9804727435112,0.5235434956105347,0.32058650257088744,0.491891891891892,0.13592203325233104,0.00025
1,4,1.105144781452558,0.4452739757592516,0.24456539354260107,0.9711868762969971,0.5180396246089677,0.2704104047640582,0.491891891891892,0.13592203325233104,0.00025
1,5,1.0380536443624064,0.46481178396072015,0.2646490325069991,0.9839667081832886,0.549168245946515,0.34544496972082334,0.48756756756756764,0.15012437015922794,0.00025
1,6,0.9696115758320425,0.4774120763231471,0.2874334592077181,0.9853870272636414,0.5527462946817786,0.34499481228910217,0.48432432432432426,0.15748943406070035,0.00025
1,7,0.905391908954551,0.4947240360503513,0.30917620843400784,0.9829663634300232,0.5597525955378838,0.35859024001688705,0.48648648648648657,0.1515365662091696,0.00025
1,8,0.8619654735036923,0.49051243023845764,0.31832387738525536,0.9969772696495056,0.5705869023340131,0.3601726700981067,0.47783783783783784,0.16379181141686222,0.00025
1,9,0.8079362291832619,0.508203341915291,0.3397007795977026,1.0218863487243652,0.5605721949038891,0.35653997630901624,0.4545945945945947,0.16345252380538258,0.00025
1,10,0.7575955982829412,0.5374120194910665,0.3612453416426834,1.0370051860809326,0.5664791901012374,0.36086485078793096,0.4464864864864866,0.1669474138960354,0.00025
1,11,0.7125781710008696,0.5664078000113373,0.3852886328336174,1.055938720703125,0.5829099307159353,0.36276149702687094,0.4432432432432433,0.17088092984319803,0.00025
1,12,0.6721779817681447,0.5063162443128384,0.34631145754345594,1.094542384147644,0.5817757009345794,0.3600404936694653,0.4286486486486487,0.17770552870016815,0.00025
1,13,0.6326030704751179,0.5303495288014991,0.3603757977118915,1.1311557292938232,0.5980769230769231,0.36428980963945196,0.4340540540540541,0.17020590804144636,0.00025
1,14,0.5959564728722132,0.5081604717279141,0.37336846896241976,1.1520148515701294,0.6033277067759827,0.3675146727262996,0.44000000000000006,0.17736814668778458,0.00025
1,15,0.5606101267946978,0.5363736826500634,0.4047100230296893,1.1824519634246826,0.6075517661388551,0.3659358917963062,0.43459459459459465,0.18150414476087368,0.000175
1,16,0.5302884087721077,0.5411916888996685,0.413603395984665,1.2085541486740112,0.6519659936238045,0.36563113497946365,0.438918918918919,0.16635656566355236,0.000175
1,17,0.5084728742479864,0.5717320167633044,0.4319877827529679,1.2210663557052612,0.6375294425543051,0.36500461759162683,0.4275675675675677,0.18112867466520913,0.000175
1,18,0.4863230967825796,0.5873938049221966,0.4492471022451771,1.2385300397872925,0.6384928716904277,0.3681534409394816,0.40918918918918923,0.17464060978429125,0.000175
1,19,0.46381234023669626,0.599247608045262,0.45896346768342455,1.2688452005386353,0.6632870864461046,0.3670282683194802,0.4313513513513514,0.1610466133992362,0.000175
1,20,0.45007585222351537,0.5958546180494393,0.4723952784503685,1.2989311218261719,0.6619794483504597,0.3479053388156379,0.4313513513513514,0.1610466133992362,0.000175
1,21,0.4251527243315782,0.6072903573352487,0.47060781618212166,1.3552676439285278,0.6603624901497241,0.36546310979917246,0.4205405405405406,0.16658649155101196,0.000175
1,22,0.40485413195684145,0.6245575491273038,0.489874782724865,1.4220876693725586,0.6878158338012352,0.36443269893377433,0.4297297297297297,0.1475289524766101,0.000175
1,23,0.3885294943299126,0.644213409699309,0.4961612303744205,1.4442771673202515,0.6808868930676396,0.3441594633049262,0.4297297297297297,0.1475289524766101,0.000175
1,24,0.37718180692882486,0.6514794941792965,0.4973285533280667,1.4364025592803955,0.6774825174825175,0.33913009289409796,0.4297297297297297,0.1475289524766101,0.000175
1,25,0.36320486516163625,0.6543074562364951,0.5073026206579927,1.4815016984939575,0.6867371847030106,0.37060189709630736,0.4227027027027027,0.14953348442963663,0.000175
1,26,0.3458597965575942,0.6767689822294023,0.5130813358807619,1.531870722770691,0.6944676118988046,0.37319252506490425,0.43459459459459465,0.1647700214565186,0.0001225
1,27,0.3337843200623137,0.6733842500481355,0.5189892144612889,1.537192463874817,0.6867903627803933,0.3484053166396868,0.43459459459459465,0.1647700214565186,0.0001225
1,28,0.32397128076547815,0.6761693794343318,0.5248040693730303,1.5501378774642944,0.6844001108340261,0.3313826875268261,0.43459459459459465,0.1647700214565186,0.0001225
1,29,0.3167100608533167,0.6788262775591181,0.5195373407712129,1.5818760395050049,0.6826147426981919,0.3353098671276086,0.43459459459459465,0.1647700214565186,0.0001225
1,30,0.3074942258135158,0.6884545689878333,0.5382876601425981,1.6239408254623413,0.6935072299404593,0.33955347318896434,0.43459459459459465,0.1647700214565186,0.0001225
1,31,0.30148154461434507,0.6990704372872479,0.5496287444148529,1.6405482292175293,0.6953605366126328,0.36451799185242945,0.44054054054054054,0.1495569302422713,0.0001225
1,32,0.2936938373126438,0.7043979092452641,0.5763845189519091,1.6310067176818848,0.690675600223339,0.35302102194225143,0.44054054054054054,0.1495569302422713,0.0001225
1,33,0.2846101715982214,0.7112100471792145,0.58011739852957,1.6394816637039185,0.68678401788209,0.34447357593913286,0.44054054054054054,0.1495569302422713,0.0001225
1,34,0.2782012124088311,0.7141908493259844,0.5761678283275304,1.681574821472168,0.6931530008453085,0.34708689740677856,0.44054054054054054,0.1495569302422713,0.0001225
1,35,0.2723491726163091,0.7198849575279246,0.5835098398575935,1.7006990909576416,0.7062857142857143,0.36504638036057063,0.42378378378378384,0.14473370423795465,0.0001225
1,36,0.26751328899356264,0.7255104419944709,0.5802140703120982,1.6984931230545044,0.7027801662367441,0.34223220511051317,0.42378378378378384,0.14473370423795465,0.0001225
1,37,0.26048262308452136,0.7305817137514192,0.5729209099542916,1.7330901622772217,0.701276102088167,0.33703941212733446,0.42378378378378384,0.14473370423795465,8.575e-05
1,38,0.254896751519654,0.7397315982106547,0.5914220721264272,1.7507494688034058,0.7006145741878841,0.34019250816919117,0.42378378378378384,0.14473370423795465,8.575e-05
1,39,0.24979761095410108,0.7398249378427165,0.5953429845693827,1.753597378730774,0.7036059806508356,0.3354658482349131,0.42378378378378384,0.14473370423795465,8.575e-05
1,40,0.2458024233648756,0.7423506057909508,0.598541259483782,1.7468386888504028,0.7025131502045587,0.3368160818278863,0.42378378378378384,0.14473370423795465,8.575e-05
1,41,0.24243014549766675,0.7450020399836801,0.6034138426513342,1.764540433883667,0.7017337643255951,0.3405239233575967,0.42378378378378384,0.14473370423795465,8.575e-05
1,42,0.23615000435847042,0.7509507657518758,0.617003052004261,1.8136769533157349,0.7056033204862141,0.34091213528243897,0.42378378378378384,0.14473370423795465,8.575e-05
1,43,0.23499555393310417,0.757924573956929,0.6284330103044672,1.823843240737915,0.7052505966587113,0.3382055889765257,0.42378378378378384,0.14473370423795465,8.575e-05
1,44,0.22877505021893382,0.7651824665881864,0.6235234664344892,1.8078093528747559,0.7018170985999405,0.3425655607926883,0.42378378378378384,0.14473370423795465,8.575e-05
1,45,0.22557102957654745,0.7676683361157485,0.6207214749118349,1.822648525238037,0.7033822208919486,0.3479900372889191,0.42378378378378384,0.14473370423795465,8.575e-05
