epoch,train_loss,train_f1_micro,val_loss,val_f1_micro,val_f1_macro,blended_f1,mean_threshold,lr
1,0.011503027372654347,0.0012511729746637473,0.008032929732237194,0.00029302311952413045,0.0012734380101472645,0.0007832305648356975,0.125,0.001
2,0.009470331667477412,0.0005764666901922543,0.00800057905275544,0.0008010253123998718,0.0008632403408451988,0.0008321328266225354,0.15000000596046448,0.001
3,0.008890064596664622,0.0008657216887669563,0.007727708227389094,0.0006305515955696896,0.0006958004908019311,0.0006631760431858103,0.10000000149011612,0.001
4,0.008815068314597675,0.0008053150795248641,0.008156879295413007,0.0009243059452678837,0.0008439565588904926,0.0008841312520791881,0.125,0.001
5,0.00881610572907542,0.00032523124898365237,0.007826628749085731,0.0008519928645597593,0.0006565233810050216,0.0007542581227823904,0.05000000074505806,0.001
6,0.008857011328914447,0.0008429593374162143,0.007505489114693903,0.000659752460876679,0.0006560767486007797,0.0006579146047387294,0.10000000149011612,0.001
7,0.008645149772069977,0.0007170953013872517,0.007419167590196188,0.0006529676714373284,0.0006579881938672865,0.0006554779326523074,0.10000000149011612,0.001
8,0.008671870134867919,0.0007513464972989696,0.007576260368859863,0.0004674808625021913,0.0008018121356721946,0.0006346464990871929,0.10000000149011612,0.001
9,0.008610204618655642,0.0007164613668215506,0.007417920713783948,0.000661039357266348,0.0007995953750883482,0.0007303173661773481,0.10000000149011612,0.001
10,0.008579443307450436,0.0007348275469682095,0.007446432407871174,0.0006459007465852748,0.0006461981124466565,0.0006460494295159656,0.10000000149011612,0.001
11,0.00851468141358494,0.0007169614174716273,0.007499025300252255,0.0006475984889368592,0.0006485030187181897,0.0006480507538275244,0.10000000149011612,0.001
12,0.00848835345318471,0.0007231676537695787,0.007615757532437188,0.0006445660553821266,0.0006443979316241949,0.0006444819935031607,0.125,0.001
13,0.008529115029687836,0.0013377656006806433,0.007475949454561824,0.00064246707356248,0.0006406981921144759,0.0006415826328384779,0.07500000298023224,0.001
14,0.008501618362836449,0.0007851866908397072,0.007490024466527851,0.0006428476892146544,0.0006426587935717362,0.0006427532413931953,0.10000000149011612,0.001
15,0.008499243682568465,0.0007108181534761502,0.007871865531691063,0.0011324743305818402,0.0005662799184556918,0.000849377124518766,0.07500000298023224,0.0005
16,0.00849085147045245,0.0007851490039233117,0.007451367643654646,0.000650877356109613,0.0006524903137755232,0.0006516838349425681,0.10000000149011612,0.0005
17,0.008455987964936655,0.000790874250091411,0.007332549421512786,0.0007328479822573647,0.0008755779829102624,0.0008042129825838135,0.10000000149011612,0.0005
18,0.008464978415411445,0.0008244991724621328,0.007385595979984752,0.0006992229090851304,0.0007248630815922412,0.0007120429953386858,0.10000000149011612,0.0005
19,0.008265632712890115,0.0008810978779690158,0.007469559217991646,0.0007936288216457647,0.0008869523124333568,0.0008402905670395608,0.10000000149011612,0.0005
