epoch,train_loss,train_f1_micro,val_loss,val_f1_micro,val_f1_macro,blended_f1,mean_threshold,lr
1,0.05254749486334739,0.01151374265007521,0.04645015685284324,0.02104914411927112,0.05305348141796584,0.03705131276861848,0.3449999988079071,0.001
2,0.046251204380034834,0.024198732846355982,0.044460298630692334,0.0244457077885162,0.0724791313038599,0.048462419546188046,0.3649999797344208,0.001
3,0.044034983661202794,0.0262096975881076,0.04346912577229653,0.03640040444893832,0.09425747481448385,0.06532893963171109,0.3749999701976776,0.001
4,0.042517751215495336,0.026570765997536053,0.04212387429373946,0.062207405305717126,0.11054669731021254,0.08637705130796483,0.4300000071525574,0.001
5,0.04097982999292388,0.05969638782619742,0.041730661545558385,0.07315308798263857,0.1250624798374475,0.09910778391004305,0.41999998688697815,0.001
6,0.03980064671014302,0.08045032495638685,0.03994561816740008,0.12594279208766188,0.1367296210801115,0.13133620658388667,0.45500001311302185,0.001
7,0.03886432343172689,0.1369474819035885,0.04168809308671036,0.05096794668359251,0.14241960159195552,0.09669377413777401,0.4599999785423279,0.001
8,0.03825402975051729,0.08279530493891114,0.0390490519209697,0.1012767532227225,0.15297858913630877,0.12712767117951562,0.45499998331069946,0.001
9,0.03756156155114163,0.09041386976521382,0.03899603206806646,0.08577071381548011,0.1525250504264201,0.1191478821209501,0.44999998807907104,0.001
10,0.03710694294793535,0.06578213938424858,0.03907053853833326,0.20122302988346602,0.1630829656118718,0.1821529977476689,0.4749999940395355,0.001
11,0.036649664134335916,0.14764391264824642,0.04019788903896681,0.1649619968096087,0.1604170085444251,0.1626895026770169,0.49000000953674316,0.001
12,0.03629156653823704,0.13897045235210775,0.03972623406934928,0.2060778727445394,0.16733256875074182,0.18670522074764062,0.4449999928474426,0.001
13,0.03594525464644529,0.1466141231617783,0.03862091973094763,0.15722523744911804,0.1638182001213254,0.1605217187852217,0.4599999785423279,0.001
14,0.035680145946184384,0.16966358377243082,0.03886562508465299,0.17612638970157987,0.16692635357783459,0.17152637163970724,0.4699999690055847,0.001
15,0.03539686328801152,0.1800108636610538,0.0382213776530717,0.12608695652173912,0.16911935428772207,0.1476031554047306,0.44999998807907104,0.001
16,0.03511702009736045,0.09786036274364564,0.03894138811590976,0.09650229647201332,0.16899850111780382,0.13275039879490858,0.48500004410743713,0.001
17,0.03484724785259302,0.08561622619534377,0.040557036268493656,0.21141552511415526,0.16620847971835753,0.1888120024162564,0.4700000286102295,0.001
18,0.034647342838424605,0.1641391447614768,0.03908797828165123,0.1467074592074592,0.1674131506438871,0.15706030492567313,0.5099999904632568,0.001
19,0.03439269607819757,0.15688235073554224,0.042303870657368375,0.16827666151468315,0.17331462356013622,0.1707956425374097,0.44999998807907104,0.001
20,0.03429370746611767,0.0955675097220497,0.038241001097637006,0.1918385451319583,0.16846258191547975,0.18015056352371903,0.5149999856948853,0.001
21,0.03410680252535279,0.17413273001508295,0.03850815704723128,0.18442697861451288,0.1668877778200583,0.17565737821728558,0.5049999952316284,0.0005
22,0.03267635141648,0.19825544067834133,0.03854563789229823,0.1369270683194004,0.17944536392735927,0.15818621612337985,0.49500003457069397,0.0005
23,0.03243703501310756,0.12248220877840629,0.03879181888525687,0.1310116086235489,0.1763902336644822,0.15370092114401557,0.4949999749660492,0.0005
24,0.03224036318109791,0.12118304304962209,0.03849495014404169,0.1764827018121911,0.1739417012130567,0.1752122015126239,0.5,0.0005
25,0.03211143184791562,0.16771758068530657,0.04013356335008239,0.21113554809584442,0.17778068602761504,0.19445811706172972,0.5,0.0005
26,0.03200974191417787,0.18016528925619835,0.040157366581663974,0.15554596460940873,0.17203520661704186,0.1637905856132253,0.4700000286102295,0.0005
27,0.03183684972079413,0.1279307212664677,0.038491872328198465,0.16447486939290218,0.17969115679282477,0.17208301309286347,0.5,0.00025
28,0.03105824308226601,0.17088526528400413,0.039257818772383275,0.17442179358259438,0.1771651380734503,0.17579346582802235,0.5099999904632568,0.00025
29,0.030894162572123247,0.19244134596706308,0.039900234985210656,0.12067516005949687,0.17956021113540258,0.15011768559744973,0.49500003457069397,0.00025
30,0.03081686435734376,0.1215488940315376,0.03951965475209461,0.16334394370916402,0.17650386904761137,0.1699239063783877,0.5199999809265137,0.00025
31,0.030701781010720963,0.18831442740694293,0.03980874816804231,0.12912298644847864,0.17752238398447887,0.15332268521647874,0.49000000953674316,0.00025
32,0.03060061414135027,0.1352033946416484,0.03967945009964809,0.12328589909443725,0.17828916662717206,0.15078753286080465,0.5149999856948853,0.00025
33,0.03053140623037438,0.11723397045357867,0.03998782626564332,0.18827780008028905,0.17926388805083832,0.18377084406556368,0.5250000357627869,0.000125
34,0.03005592571693321,0.19342015554040468,0.04076793177069487,0.11615931164852357,0.17835677615736084,0.1472580439029422,0.5200000405311584,0.000125
35,0.029958514200810252,0.1392771482921181,0.04034202701437382,0.13369429404414826,0.17505850050731178,0.15437639727573002,0.5099999904632568,0.000125
36,0.029941758437519346,0.14010804065481175,0.040555133469872384,0.17579496915045087,0.17928405244775175,0.1775395107991013,0.5049999952316284,0.000125
37,0.029833575958323658,0.1914090621523157,0.04093466033723819,0.1193894121468009,0.17781030885362964,0.1485998605002153,0.49500003457069397,0.000125
38,0.029880162362644184,0.12253607419770562,0.04096805238759469,0.1216299228721589,0.1804027651650786,0.15101634401861874,0.5199999809265137,0.000125
39,0.02973393163565993,0.1267719451833395,0.041394644842980916,0.13369542510967203,0.174439111406523,0.15406726825809752,0.5149999856948853,6.25e-05
40,0.029431324618161805,0.13962592078226901,0.04134253393479066,0.12919085011949472,0.17473239471450466,0.15196162241699968,0.5,6.25e-05
