epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,lr
1,0.10908907894205756,0.21460615194878854,0.08751918117302136,0.15947991402937928,0.33513850816785895,0.17858353794892678,0.25686102305839287,0.0003
2,0.09522202431552457,0.2438881464160616,0.11513726410327589,0.16126301608386956,0.3546490181186937,0.2074461759281196,0.28104759702340665,0.0003
3,0.08919356448611573,0.25215964718184986,0.12442027625175286,0.16996756080324196,0.36385702727142927,0.21315784876729693,0.28850743801936307,0.0003
4,0.0838505353469445,0.2598317362178553,0.13601540979909027,0.1781584442712269,0.3659656398104265,0.22339760353517096,0.29468162167279877,0.0003
5,0.07933854460150469,0.26542199576409564,0.14347907118249584,0.18029954238060378,0.3613041675811447,0.2173964719455827,0.2893503197633637,0.0003
6,0.07525671116822301,0.272965262433999,0.1476261376933084,0.1906084129067226,0.36591285958039943,0.22519358975922246,0.29555322466981093,0.0003
7,0.0710745278055965,0.2816200885040397,0.16645258921652267,0.20802869307700722,0.3648000778759339,0.22931564602689672,0.2970578619514153,0.0003
8,0.06795133675506157,0.2894196737518537,0.1687675920137905,0.20879660164871724,0.3703914222968609,0.22867274872199225,0.29953208550942656,0.0003
9,0.0641122698198096,0.2965871749225541,0.18233575777272765,0.2291455387348855,0.377861026086162,0.22134714176011597,0.299604083923139,0.0003
10,0.06118748359563059,0.30657380503131837,0.18400367377696522,0.2418309609065243,0.36705231903348007,0.21814756426419496,0.2925999416488375,0.0003
11,0.058433163889198766,0.31481809822654533,0.1940455096788014,0.2683037541874226,0.3727627570449353,0.22191529907751423,0.29733902806122475,0.0003
12,0.05556398455435644,0.3241804786278075,0.19825586396081046,0.2661711905237891,0.37196178407009556,0.20091705423509745,0.2864394191525965,0.0003
13,0.053590470535754824,0.33183671209068333,0.2077861355533075,0.30471873889336776,0.38337921460671515,0.2280592760458134,0.30571924532626427,0.0003
14,0.0512277805769759,0.3425754909306337,0.21578222214326592,0.31125220075354715,0.3812142143051895,0.23407565990997697,0.3076449371075832,0.0003
15,0.049051185652655115,0.35126445734212813,0.22333667284803344,0.31592228991267424,0.3787613204791119,0.22793437540205258,0.3033478479405822,0.0003
16,0.047599544312000065,0.3604095778339755,0.23228188767474545,0.33780530316291857,0.3757903396403808,0.22619846949127206,0.30099440456582643,0.0003
17,0.04584946559631766,0.3675197668629269,0.26784431403303566,0.35763668580297736,0.3716861317109996,0.22447768790372594,0.29808190980736277,0.0003
18,0.04399247122333399,0.3778739443009702,0.26048182864967445,0.3705598933128912,0.37662124445903794,0.23126152185279047,0.30394138315591424,0.0003
19,0.04273663845701248,0.3844839435505889,0.25521953981882733,0.37684404262663257,0.3765325670498084,0.23387020125744998,0.3052013841536292,0.0003
20,0.04172109909022704,0.39303891143471,0.2671875749241409,0.3938668360492854,0.3759741398752099,0.2272384417558237,0.3016062908155168,0.00027
21,0.03909810488483416,0.4092616815995751,0.2909584253814045,0.4065897548036633,0.381141100102494,0.2210796716968307,0.3011103858996624,0.00027
22,0.03785592809289976,0.418204562876255,0.3039678733654254,0.4312516919255617,0.3748349751193257,0.23164340242813827,0.30323918877373196,0.00027
23,0.036700983757493776,0.4246431126021297,0.336455496069025,0.45040080554535744,0.3797060403340007,0.23469193265167884,0.3071989864928398,0.00027
24,0.035766882899870296,0.43290145168510585,0.37918150718012167,0.46607675079972843,0.3790007134246845,0.229101111315269,0.3040509123699767,0.00027
