epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,lr
1,0.07516338173651764,0.27556349412924963,0.10770377493025471,0.10640828239863732,0.3399682349786514,0.1975417175035925,0.268754976241122,0.0003
2,0.06658392588814346,0.3131155824469119,0.1710377018654931,0.10821440626097109,0.3512256217570227,0.2022418539043825,0.2767337378307026,0.0003
3,0.0636514756219233,0.31970058581037103,0.19120208349788542,0.10841241549599206,0.3554569466455362,0.2144374674212423,0.28494720703338927,0.0003
4,0.06155920360248808,0.3261039413122236,0.21074957117168083,0.11009106044502777,0.3619528977043471,0.21305346631290525,0.2875031820086262,0.0003
5,0.059662817067087086,0.3295047897469359,0.22188621144244966,0.111213996367152,0.3601762626507191,0.225972807176449,0.29307453491358404,0.0003
6,0.05791490160619632,0.33535896496757783,0.2271212229485072,0.11328527226758987,0.3670321501579632,0.2230573291823675,0.29504473967016537,0.0003
7,0.05640563402871191,0.33800684604607484,0.24006333361153395,0.11773319381541476,0.365985143964425,0.22551882848823812,0.2957519862263316,0.0003
8,0.05479018080189472,0.3448093111326075,0.24696101154525416,0.11691833089095469,0.3717413738950958,0.22552171224722817,0.298631543071162,0.0003
9,0.05333489334873107,0.3482920225757221,0.2616230293609241,0.11797979620378184,0.3744631724774879,0.22672377313124087,0.3005934728043644,0.0003
10,0.05185354434851281,0.35432355567484425,0.262000114039579,0.12095049968268816,0.37115776844631077,0.22862828760923753,0.2998930280277742,0.0003
11,0.05042289946403398,0.3591705598410654,0.26753413612878935,0.1251574267058334,0.37110586492616765,0.2250159480053012,0.2980609064657344,0.0003
12,0.04903074525860251,0.36303613272400087,0.28176889978510244,0.1293168036764242,0.3773782669127532,0.21818707384660369,0.2977826703796784,0.0003
13,0.0477332212423509,0.36842309935835116,0.2802541455788896,0.13146028190491063,0.3741226882064669,0.2304225254857375,0.3022726068461022,0.0003
14,0.04641189582815498,0.374577861163227,0.29037394745225686,0.1331807045928181,0.3730479774223895,0.23113781217798213,0.3020928948001858,0.0003
15,0.045125962707640264,0.37891129990571876,0.30641877502515485,0.14073831232682935,0.3771895296201535,0.2351259701575415,0.3061577498888475,0.0003
16,0.04373827195412887,0.3845122703007568,0.3256797818322028,0.14235459817320198,0.37776567836459934,0.23460069011821094,0.3061831842414051,0.0003
17,0.04277118898787917,0.390325723464202,0.3183084428319635,0.1492463747210133,0.37161088312735724,0.23725996812900413,0.3044354256281807,0.0003
18,0.041691273282436894,0.3948553224676475,0.33121818898393274,0.1518474113334942,0.37926891261148854,0.23344647339489683,0.3063576930031927,0.0003
19,0.040627510954694794,0.4009444485758905,0.3318665909102176,0.15590733218289093,0.37573248884123384,0.23077932885394642,0.3032559088475901,0.0003
20,0.03961438274543215,0.4066311382617425,0.33776007903380545,0.1667246776765207,0.3783866680298538,0.22737663811823966,0.30288165307404674,0.0003
21,0.038615541107935726,0.41163872920792877,0.3791754200551693,0.16794034774900082,0.37689601864091593,0.23919663289304785,0.3080463257669819,0.0003
22,0.03785562069525618,0.41694530722484807,0.35817748355911705,0.1742146664665785,0.37669235811314783,0.23459728281740247,0.30564482046527514,0.0003
23,0.03702170768926698,0.42249997286413615,0.3790560739475287,0.1712296578894329,0.3773155590730344,0.2290232388317926,0.30316939895241346,0.0003
24,0.035982146161682736,0.4290509695866341,0.39318956370861013,0.1772935861051983,0.37619167717528373,0.23552609432836974,0.30585888575182674,0.0003
25,0.035389988761346955,0.4321952557246675,0.39649712832739553,0.17877146120277895,0.3784081520242357,0.20138530465383933,0.2898967283390375,0.0003
26,0.03480541535542253,0.4373493510719861,0.40154872091536753,0.18945778010024766,0.3808823211233475,0.2296022152112096,0.30524226816727856,0.0003
27,0.03415021830946816,0.44238201860622556,0.41223766421650454,0.19678849922446207,0.3790027713733436,0.2253513926918178,0.3021770820325807,0.00027
28,0.032474128754401275,0.4546648183211613,0.44361130239842766,0.20584330484946328,0.3756459644836982,0.23767254756333828,0.30665925602351823,0.00027
29,0.0319351113525299,0.4593942141501148,0.45444418720292157,0.20841380039160584,0.37469542049051535,0.22871316320675258,0.30170429184863395,0.00027
30,0.03153300334298039,0.4621707857876805,0.45581468019292004,0.21769795516076285,0.3756801064411129,0.23248245941316442,0.30408128292713865,0.00027
