epoch,train_loss,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,score,lr_head,lr_backbone
1,0.07249488892957807,0.7095253724832767,0.6723822063129594,0.46080950315325836,0.41150792504888056,0.43615871410106943,0.0003,1e-05
2,0.041602638052791525,0.8722918156627788,0.8245660055079849,0.45806971520669376,0.411518244305958,0.4347939797563259,0.0003,1e-05
3,0.038031832777663595,0.8854165597120414,0.900520973821421,0.45903796802000396,0.4116964639671177,0.4353672159935608,0.0003,1e-05
4,0.0357830668051815,0.893055874424175,0.9568883407872248,0.4589723608508945,0.4128288403318474,0.4359006005913709,0.0003,1e-05
5,0.03432129595899529,0.898638256957345,0.9876307178480027,0.46083404703867187,0.4127098321880416,0.4367719396133567,0.0003,1e-05
6,0.04122442188437686,0.9014633294465547,0.8947518822229641,0.4598770615699842,0.4135316053354449,0.43670433345271453,0.0003,1e-05
7,0.03233913005434848,0.9046527005546198,0.9433019913335341,0.45932484781405647,0.412103382966277,0.43571411539016675,0.0003,1e-05
8,0.03157805146627595,0.9069015732166228,0.9836372251477006,0.46105045243580756,0.40994092772209945,0.4354956900789535,0.0003,1e-05
9,0.030873176652358874,0.9093358542505248,1.0311295013053179,0.45963519957317683,0.4113478620532497,0.43549153081321323,0.0003,1e-05
10,0.030761975192405363,0.9085243243010501,1.0158074087246667,0.4598090292043979,0.4123711196327523,0.4360900744185751,0.0003,1e-05
11,0.029924043632965486,0.9112298891511814,1.0557000289870893,0.45856163823418766,0.4111402958818437,0.4348509670580157,0.00027,9e-06
12,0.029452059379163967,0.9131233091638438,1.08244064193958,0.4585640855579506,0.4113656352542847,0.43496486040611765,0.00027,9e-06
13,0.028920295562631936,0.9142779007587324,1.0864026588855793,0.4579589956231283,0.4109750504043256,0.43446702301372697,0.00027,9e-06
14,0.02855676583537432,0.9154978376670362,1.0873068058598798,0.45621174239158546,0.4089895659271443,0.4326006541593649,0.00027,9e-06
15,0.02840020340180366,0.9150643506826229,1.1107197353727027,0.45805011163483006,0.40956902143070895,0.4338095665327695,0.00027,9e-06
16,0.02800840612620949,0.9168416636926,1.1070995602963074,0.457269480089959,0.40948074668399226,0.43337511338697565,0.00027,9e-06
17,0.027656597490798306,0.9176660012964645,1.096865182784869,0.45841731372872957,0.4116129686110647,0.43501514116989715,0.000243,8.1e-06
18,0.027396112465542657,0.9182069153092964,1.1152192697664283,0.4585781580305275,0.40993869288983886,0.4342584254601832,0.000243,8.1e-06
19,0.027025922109293454,0.9195823919856295,1.124873949153666,0.4563101725308588,0.4107663164313182,0.4335382444810885,0.000243,8.1e-06
