fold,epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,1,1.2182037929100957,0.21187497430504082,0.14343966020269167,1.175383647356948,0.24077026459569062,0.15422775176808276,0.5,0.0,0.00025
1,2,1.2179966950466798,0.22730740536716548,0.15282124182814566,1.156602247050548,0.21168906383087635,0.15240153056919925,0.5,0.0,0.00025
1,3,1.2199107672859313,0.24539423360691193,0.16112057816048847,1.1453423871009745,0.26360506182848303,0.16978137949674804,0.5,0.0,0.00025
1,4,1.2075619869738592,0.266627772729762,0.1682604413343159,1.12486103555935,0.3030044272839495,0.178575961148442,0.5,0.0,0.00025
1,5,1.1852402753990943,0.28738687858168244,0.1742755155298871,1.1153733300573883,0.26597307666349984,0.17584027862862336,0.5,0.0,0.00025
1,6,1.1736008090855934,0.2982382406616749,0.17845681952764325,1.109789128169434,0.3327095506699612,0.18747457525439526,0.5,0.0,0.00025
1,7,1.1576788586024824,0.31567068444459306,0.18404880937618026,1.0908745422960642,0.34366641725052716,0.1930472783490772,0.5,0.0,0.00025
1,8,1.1348884239693198,0.32954856569283486,0.18949474496131596,1.0792306083394037,0.3487859576255991,0.20257542050346528,0.5,0.0,0.00025
1,9,1.1203846034299858,0.347567028774173,0.19834365543425178,1.052245461732632,0.3645392428491544,0.21131158941799733,0.5,0.0,0.00025
1,10,1.1094620820079548,0.35374481899321064,0.20336560208966523,1.0417900338480657,0.3834361010220458,0.2182137184757587,0.5,0.0,0.00025
1,11,1.0760801821814245,0.3706210680593644,0.21115550703732708,1.0394841565629753,0.384039124984348,0.22058707587116708,0.5,0.0,0.00025
1,12,1.0669557354345598,0.3721598664744129,0.21182947168532823,1.0170208981230386,0.39942093014863783,0.22352733028746555,0.5,0.0,0.00025
1,13,1.0733297086822249,0.37475397375639125,0.21513592702467302,1.0219631656983537,0.4040565903911529,0.22804117559843837,0.5,0.0,0.00025
1,14,1.046105894710993,0.3794208767674592,0.21836431533917167,1.011056582561647,0.39458151402714353,0.22911080329157638,0.5,0.0,0.00025
1,15,1.015847577408126,0.38346490901166314,0.2189012624470861,1.0225126305448615,0.4038437123782423,0.23172354165714026,0.5,0.0,0.00025
1,16,1.049938369184762,0.38522653625723813,0.22198383648963452,1.0121771343566999,0.3989042795859881,0.23074886887063212,0.5,0.0,0.00025
1,17,1.0343989620679432,0.3922541172489185,0.22573505834397778,1.002746142097636,0.3974770706887363,0.233494019960311,0.5,0.0,0.00025
1,18,1.0078008701626324,0.3920554892535131,0.22570747225826854,1.0131737038830229,0.3899411230389294,0.23134965731274343,0.5,0.0,0.00025
1,19,1.026340970043586,0.3969087662797479,0.2285229073854942,1.0261709021500964,0.414213568217675,0.2362750489330171,0.5,0.0,0.00025
1,20,1.0013723540144888,0.3988512805122444,0.22969962700066685,1.0077344567974316,0.3954522596709941,0.233292164824317,0.5,0.0,0.00025
1,21,0.9700093990380136,0.3991115682805021,0.23033694717105252,1.008374103193123,0.40629274376156593,0.2364482823860865,0.5,0.0,0.00025
1,22,0.9850691380168984,0.40305275763451076,0.23087976787069375,1.0275150491722498,0.41216254626073345,0.23725524305493453,0.5,0.0,0.00025
1,23,0.9780251196175096,0.40362172671557983,0.2319107704236415,1.0139926344940704,0.4013673087081141,0.23441453832438014,0.5,0.0,0.00025
1,24,0.9456608781904485,0.40546851365344344,0.2326106645239051,1.0503049439729708,0.4243996398577143,0.23774013217434742,0.5,0.0,0.00025
1,25,0.9631070376913298,0.40850478941168955,0.23306524257952493,1.0290436643376826,0.41464999021952065,0.23873987803876287,0.5,0.0,0.00025
1,26,0.9312832211776632,0.41139508366268873,0.233780597142855,1.0369324305803895,0.40993586133804627,0.23951048024373076,0.5,0.0,0.00025
1,27,0.9204929101194227,0.41239879506585286,0.2342818799098983,1.025369520240109,0.43245598290630116,0.2406648356030375,0.5,0.0,0.00025
1,28,0.9056153599017605,0.4137742754956144,0.23474906657719674,1.0775999465992432,0.4348030573687524,0.24128404933516445,0.5,0.0,0.000175
1,29,0.884010800015551,0.41975265328905376,0.23667008972624365,1.0587841121221038,0.4407379457328984,0.24414758957014665,0.5,0.0,0.000175
1,30,0.8697957572423786,0.4241565014670253,0.2374088881671236,1.0947822505829234,0.4410078780652439,0.24100608456735778,0.5,0.0,0.000175
1,31,0.8571540753049423,0.4258822395344142,0.2378474522676053,1.1171455478581478,0.4401357589166944,0.24167094251280133,0.5,0.0,0.000175
1,32,0.853256334273737,0.4279166011789858,0.23843890823527533,1.1234622727991632,0.4487113313898465,0.2436671180483567,0.5,0.0,0.000175
1,33,0.8467061922317421,0.4292225826284212,0.23865498084269546,1.134692592739007,0.43657586152846783,0.24309766481254613,0.5,0.0,0.000175
1,34,0.8427731471056372,0.43118085844424314,0.23920992652050352,1.1616925468071595,0.4516054129067297,0.24403863069881593,0.5,0.0,0.000175
1,35,0.8305374876921643,0.435398409663579,0.240164767903078,1.1930861479911232,0.43446539510196425,0.24303890905297773,0.5,0.0,0.000175
1,36,0.8232568510246243,0.4367388549574528,0.24075869321514512,1.2296635526604536,0.4506975303863126,0.24530777003096915,0.5,0.0,0.000175
1,37,0.8179326229222966,0.4388672433100359,0.2409692175573981,1.3018934644767235,0.4608861742211625,0.24610965467859905,0.5,0.0,0.000175
