epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro
1,1.1557915022789602,0.24415204678362573,0.13159896413580352,2.05591823054541,0.264576802507837,0.06520417907573148
2,1.116466804855205,0.2707976434212176,0.13724922996457095,1.9872237872043998,0.16753562738964198,0.05137476008818031
3,1.093812795934574,0.17807202078950624,0.11414559735728537,2.112456736365339,0.42089864158829676,0.10733555782725879
4,1.0933751142375068,0.24441508994133415,0.13363456746998312,1.9615108475965612,0.1419244961680386,0.06596765922905011
5,1.0885877910500517,0.19089924969203778,0.12135868860112678,2.018023048945625,0.4168815307368707,0.1629431182282742
6,1.0823964460924198,0.2301844239933069,0.13493576286293213,1.9098008096033574,0.20871217261500882,0.07983867140536689
7,1.089119331177088,0.19966716238226753,0.12677468441514192,1.9795819061459403,0.26299362192970555,0.10853708399851744
8,1.085628567099387,0.2181011738615073,0.12937400870433677,1.9257503159274996,0.26555439694125826,0.083781317530958
9,1.0827493828820667,0.19882949668357394,0.1224278679090083,1.9138805943745947,0.21332609580675804,0.08464453084980064
10,1.0843188580257999,0.2225992410974898,0.1320984436351674,1.9431154905088914,0.2628705148205928,0.11280390551415337
11,1.0816293174553506,0.1716686674669868,0.11451787778847312,1.928958423920091,0.31478853250070965,0.1197386678185397
12,1.0789551045831978,0.2462686567164179,0.1332944562538215,1.9375524404617286,0.23400936037441497,0.10152106345366763
13,1.0832924730442406,0.22967700153808793,0.1408924999627627,1.9591358691546201,0.19162766510660426,0.09265086994973841
14,1.077513568552421,0.1872942169691853,0.11321440886725431,1.9586664021199702,0.416129626219849,0.11510838583682256
15,1.0829665358689322,0.23471957268218238,0.13179537335225017,1.9087794369588327,0.342916522341531,0.15585945506567195
16,1.0794891541855414,0.22408655551614048,0.132455773685516,1.919641467070801,0.3426076107298815,0.14353570445627029
17,1.080142530720606,0.17949852005579559,0.11847465396000408,1.8887441573497312,0.19723953695458593,0.1004460266387079
18,1.078361182345489,0.20131986960324402,0.13285872616054864,1.9038802045786714,0.1533450943140182,0.06695160925883141
19,1.0783822847849802,0.19547066002828417,0.11823899992847284,1.9396348977605624,0.35876840696117807,0.1204433317274785
20,1.075876246648373,0.18975173783515392,0.11497484316564907,1.903041820408021,0.26555824962475466,0.13068823076440061
21,1.0791543954306813,0.23407808168854155,0.1355764555222027,1.9250840099972468,0.25569680978651954,0.1214564229094551
22,1.0783810980353141,0.24893556627873972,0.12902225769770623,1.9245871504762964,0.20470626954089188,0.07022908529709565
23,1.0780184084702127,0.21140028740220343,0.12765223962155295,1.893502159753451,0.19638178415470992,0.09884890377251022
24,1.0804261943840723,0.19732069101749092,0.12259030528371948,1.9170766701639252,0.2066735942731786,0.10848411633925167
25,1.077960655807159,0.20837200522267144,0.13339117393345198,1.8434108039912056,0.2757330006238303,0.11948915308270137
26,1.0781324823635992,0.22511546575941307,0.13015621858333198,1.8694674291477853,0.2951118044721789,0.12103929130332118
27,1.0769354409007053,0.16879119408478035,0.12012996567044794,1.902118366384654,0.2738713774390948,0.1297627295556724
28,1.0739646429624956,0.22240021813967756,0.13604521445703724,1.874925553245072,0.2914913828199213,0.11253620210358481
29,1.0783415933296523,0.22141992896452128,0.12214977929886763,1.9036487813335454,0.32782983786999853,0.11882294277988582
30,1.0775546801882512,0.20604534005037783,0.13293494145501136,1.900351552771341,0.15650044523597506,0.08337358230874767
31,1.0760501421400717,0.1809765312547865,0.12545038974714265,1.9024668597953607,0.10144280827011751,0.045613149923716956
32,1.0782723225987123,0.16595217006200177,0.11388025027874484,1.9107736419228947,0.2627573300062383,0.1180859447870754
33,1.0774063704739767,0.21399481673454276,0.1301843697202839,1.9145684334515787,0.4030161206448258,0.16509134991777027
34,1.0746327651523548,0.25125936847278535,0.13207191258230716,1.922087272623375,0.31877275091003643,0.13725342090297574
35,1.0784985313459747,0.18493740893352342,0.12784093525009518,1.8956534270162553,0.20829003579263364,0.10016501775147088
36,1.0741742258831006,0.13817080879661975,0.10798011088655657,1.9114973764670522,0.14996880848409233,0.07707905955657939
37,1.0783233386471613,0.2176469454244019,0.12439378725408053,1.9256865874901645,0.256047391805167,0.08363724924167233
38,1.0749661696749455,0.2106277957735616,0.12418605095365108,1.9269617089177065,0.20972780008924588,0.07813458569564062
