epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,0.6702779872340066,0.4205307669874599,0.09093451467252509,0.6832557916641235,0.49049128367670364,0.05288207462120506,0.5,0.0,0.001
2,0.5854833145414291,0.5607692307692308,0.06336684053417012,0.6264208088349262,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
3,0.5247033861634167,0.5801486199575372,0.06639891486022506,0.5910947120780177,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
4,0.48489610590558885,0.5901078390709249,0.0675534636995451,0.5706994351772332,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
5,0.45922328520226513,0.5901078390709249,0.0675534636995451,0.5593216364782292,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
6,0.44239808989824064,0.5743907652843095,0.0655844398170448,0.5531712117209893,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
7,0.4309146710120176,0.5901078390709249,0.0675534636995451,0.5498196816665838,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
8,0.4230890104538506,0.5901078390709249,0.0675534636995451,0.5484552586410806,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
9,0.41755575632569963,0.5901078390709249,0.0675534636995451,0.5481134396588471,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
10,0.4137391740056057,0.5640604467805519,0.0639509903315815,0.5482372266958373,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
11,0.41085652995514904,0.5901078390709249,0.0675534636995451,0.5484238724590456,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
12,0.4084268459212467,0.5901078390709249,0.0675534636995451,0.5493970825207123,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
13,0.4065383985016777,0.583963850357293,0.06685659643424903,0.5503643347936518,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
14,0.4050831154011869,0.5901078390709249,0.0675534636995451,0.5512478041575051,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
15,0.40390057633796467,0.5901078390709249,0.0675534636995451,0.5519161600815622,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
16,0.4029803101946434,0.5901078390709249,0.0675534636995451,0.5525166264074874,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
17,0.40221754909482954,0.5901078390709249,0.0675534636995451,0.5531315686348423,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
18,0.4015176971047149,0.5901078390709249,0.0675534636995451,0.5542517527707221,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
19,0.40092296292645485,0.5741769987174006,0.06555207212000645,0.5551859110870597,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
20,0.4004538551180219,0.5901078390709249,0.0675534636995451,0.5557523770228997,0.5999297506146821,0.07564677480526008,0.5,0.0,0.000729
21,0.39997295355870516,0.5664556962025317,0.06436355568836327,0.5564108521392102,0.5999297506146821,0.07564677480526008,0.5,0.0,0.000729
22,0.39967754630622393,0.5901078390709249,0.0675534636995451,0.5571125957065323,0.5999297506146821,0.07564677480526008,0.5,0.0,0.000729
