label_index,label_name,stage,base_logit,train_positive_rate,weak_val_residual_loss,stage_threshold,train_f1_stage_threshold,val_f1_stage_threshold,test_f1_stage_threshold,train_f1_0p5,val_f1_0p5,test_f1_0p5,elapsed_seconds
0,Acid anhydride,1,0.5,0.000777314999140799,0.10295498239934175,0.6199999451637268,0.34252146407591505,0.06792452830188679,0.04285714285714286,0.0015534224821741626,0.0015596895714627122,0.0015596895714627122,46.460246562957764
0,Acid anhydride,2,0.5,0.000777314999140799,0.10201151834607426,0.6199999451637268,0.4496124031007752,0.08695652173913043,0.0851063829787234,0.0015534224821741626,0.0015596895714627122,0.0015596895714627122,89.9831075668335
0,Acid anhydride,3,0.5,0.000777314999140799,0.09908726795671438,0.6199999451637268,0.5538461538461539,0.11023622047244094,0.05309734513274336,0.0015534224821741626,0.0015596895714627122,0.0015596895714627122,134.66497659683228
0,Acid anhydride,4,0.5,0.000777314999140799,0.09634038903181834,0.5799999833106995,0.373155640171347,0.10833333333333334,0.07751937984496124,0.0015559839235992994,0.0015624409359525219,0.001562381876370234,178.03317523002625
0,Acid anhydride,5,0.5,0.000777314999140799,0.09763105746205619,0.5799999833106995,0.4329054842473746,0.12834224598930483,0.09574468085106383,0.03936518460199726,0.01667778519012675,0.014985950671245708,222.57384395599365
0,Acid anhydride,6,0.5,0.000777314999140799,0.09521583403983887,0.5799999833106995,0.5515818431911967,0.14193548387096774,0.09090909090909091,0.13569158491087469,0.04103671706263499,0.036923076923076927,267.21072721481323
0,Acid anhydride,7,0.5,0.000777314999140799,0.09795790734043748,0.5799999833106995,0.6289493019838354,0.14084507042253522,0.0979020979020979,0.24917700683717398,0.065439672801636,0.0625,310.9757812023163
0,Acid anhydride,8,0.5,0.000777314999140799,0.09794259157362704,0.5399999618530273,0.5449101796407185,0.14130434782608695,0.0851063829787234,0.35628415300546445,0.08383233532934131,0.06896551724137931,354.97526955604553
0,Acid anhydride,9,0.5,0.000777314999140799,0.09627083279525862,0.5399999618530273,0.5945257797581158,0.14201183431952663,0.08,0.433392539964476,0.0959409594095941,0.07857142857142857,398.16292548179626
0,Acid anhydride,10,0.5,0.000777314999140799,0.09682791394870736,0.559999942779541,0.6651752423564504,0.14388489208633093,0.109375,0.463768115942029,0.10655737704918032,0.07228915662650602,440.728147983551
0,Acid anhydride,11,0.5,0.000777314999140799,0.09831412700340107,0.5399999618530273,0.6442307692307693,0.14473684210526316,0.0958904109589041,0.52,0.12037037037037036,0.07476635514018691,483.6960542201996
0,Acid anhydride,12,0.5,0.000777314999140799,0.09997274710310215,0.5199999809265137,0.5993650793650793,0.15028901734104047,0.08383233532934131,0.5395927601809954,0.12935323383084577,0.07920792079207921,526.3813271522522
0,Acid anhydride,13,0.5,0.000777314999140799,0.10009254961224869,0.559999942779541,0.706645056726094,0.15254237288135594,0.12389380530973451,0.5716012084592145,0.14444444444444443,0.07734806629834254,569.2221014499664
0,Acid anhydride,14,0.5,0.000777314999140799,0.10065301945755767,0.5,0.5915136162127929,0.15028901734104047,0.08092485549132948,0.5915136162127929,0.15028901734104047,0.08092485549132948,612.0974838733673
0,Acid anhydride,15,0.5,0.000777314999140799,0.1034096877327599,0.47999998927116394,0.5537190082644629,0.143646408839779,0.07608695652173914,0.6078947368421053,0.14201183431952663,0.08536585365853659,654.8790907859802
0,Acid anhydride,16,0.5,0.000777314999140799,0.10594185838632143,0.5199999809265137,0.6606334841628959,0.15151515151515152,0.11475409836065574,0.626123013130615,0.14473684210526316,0.09929078014184398,697.5465838909149
0,Acid anhydride,17,0.5,0.000777314999140799,0.10882513261411898,0.5199999809265137,0.6739811912225705,0.15503875968992248,0.11864406779661017,0.6430635838150289,0.14388489208633093,0.1076923076923077,740.3031454086304
0,Acid anhydride,18,0.5,0.000777314999140799,0.11196582060220464,0.5,0.6424870466321243,0.16058394160583941,0.109375,0.6424870466321243,0.16058394160583941,0.109375,783.3272726535797
0,Acid anhydride,19,0.5,0.000777314999140799,0.11287720007434222,0.47999998927116394,0.6061433447098976,0.15384615384615385,0.09271523178807947,0.6385185185185185,0.14492753623188406,0.109375,826.1933414936066
0,Acid anhydride,20,0.5,0.000777314999140799,0.11527608831679763,0.47999998927116394,0.6328233657858137,0.16216216216216217,0.09859154929577464,0.6612062546537603,0.14814814814814814,0.112,871.9589593410492
0,Acid anhydride,21,0.5,0.000777314999140799,0.1184110703319283,0.47999998927116394,0.6273421235253296,0.16,0.09722222222222222,0.658284023668639,0.14492753623188406,0.112,918.6651709079742
0,Acid anhydride,22,0.5,0.000777314999140799,0.12065619996205565,0.47999998927116394,0.6440443213296398,0.1610738255033557,0.09929078014184398,0.6696230598669624,0.15827338129496402,0.10852713178294573,964.2839317321777
0,Acid anhydride,23,0.5,0.000777314999140799,0.12566765167060223,0.5199999809265137,0.701195219123506,0.16666666666666666,0.12173913043478261,0.6792738275340393,0.15384615384615385,0.11382113821138211,1007.3549520969391
