epoch,train_loss,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,score,lr
1,0.03912578214770082,0.8846263670742402,1.3357628913204236,0.4974408225523982,0.39553480590197887,0.44648781422718853,0.0003
2,0.031673789840276384,0.8977439537008763,1.327400916340608,0.49882616519490425,0.39579014464879275,0.4473081549218485,0.0003
3,0.02988359746848625,0.9025361611677158,1.331657896073083,0.5003979959732172,0.39609772685757527,0.44824786141539624,0.0003
4,0.02913257841752776,0.9045189978110709,1.3394693897930157,0.5008881409806947,0.3964736846706818,0.4486809128256882,0.0003
5,0.028286280672642758,0.9066710662462998,1.3386299208211754,0.5000690385234962,0.39627324963012267,0.4481711440768094,0.0003
6,0.027961132687119965,0.9076741808077784,1.372101426052543,0.5014073413410862,0.39625205069753744,0.44882969601931183,0.0003
7,0.027503174655067405,0.9086908973535394,1.3678457599992357,0.5016693640571771,0.3968708673724679,0.4492701157148225,0.0003
8,0.027263848079579177,0.9095688753956541,1.4048796946068425,0.5023423170831435,0.39474308364935984,0.44854270036625166,0.0003
9,0.027023111406488873,0.9104605608907126,1.395304128350568,0.49881467019941433,0.3945675812739329,0.4466911257366736,0.0003
10,0.02674833937556992,0.911236735397047,1.4172819669633234,0.5008545429350085,0.39558024808823167,0.4482173955116201,0.0003
11,0.026653726100967,0.91132121947582,1.4342538301678223,0.4996065028219369,0.3952466009170409,0.4474265518694889,0.0003
12,0.02648512195489104,0.9118920567505953,1.4481257746827085,0.5002895720012264,0.39442666696346124,0.44735811948234383,0.0003
13,0.02618246502524164,0.9124276214124498,1.4515372550979722,0.5007635723528521,0.39543592070980943,0.4480997465313308,0.00027
14,0.025909893271192492,0.9132830352044162,1.4673643125388078,0.5019330046068013,0.39609150472363813,0.44901225466521977,0.00027
15,0.025916927335713366,0.9134324475400103,1.4659986445790931,0.5015071805980584,0.39512863533106796,0.44831790796456317,0.00027
16,0.02582177815302172,0.9138137781798913,1.475633046514198,0.5023503387252869,0.3951959231034957,0.4487731309143913,0.00027
17,0.025662376900019962,0.9139986199531825,1.500142766101603,0.5000057538061428,0.3939831447696666,0.44699444928790466,0.00027
18,0.02561548478011675,0.9140910035381035,1.5129977144023323,0.49843610876464006,0.39548729169274677,0.4469617002286934,0.00027
19,0.025459607193100645,0.914677463462128,1.5058723747069982,0.4995712668777939,0.3947044845763768,0.44713787572708535,0.000243
20,0.02533194941000898,0.9150320465371145,1.5191071005506218,0.5000846835657426,0.3951250891367308,0.44760488635123674,0.000243
21,0.025207617921340207,0.9155508315953846,1.536332025580776,0.5017486326266182,0.3950975395271411,0.44842308607687964,0.000243
22,0.025201705968381307,0.9153981814476093,1.5362348731310826,0.5008874931731294,0.3943615917406039,0.44762454245686667,0.000243
23,0.025106310305712906,0.9157875673775113,1.552579315911607,0.5014150505706597,0.3958320374950758,0.44862354403286775,0.000243
24,0.024916421005499744,0.9166853706771199,1.5607935792489835,0.4998732397612298,0.3957106126447202,0.44779192620297503,0.000243
25,0.024922411593008887,0.9162322254622192,1.567467301309649,0.500388255550929,0.3942740679039142,0.4473311617274216,0.0002187
26,0.02479222691257576,0.9167596060889176,1.5883487574403499,0.5012872211970018,0.3949660454358328,0.4481266333164173,0.0002187
27,0.024795851143380388,0.9171431879144084,1.5937650239479626,0.49993205906332094,0.39483868254225607,0.4473853708027885,0.0002187
28,0.024735556164415758,0.9170527117438132,1.6120587032367095,0.5005193767479025,0.3937014391937778,0.4471104079708401,0.0002187
29,0.02462259789657813,0.9170890054674916,1.6154373694882773,0.5022170147264916,0.3959115416789949,0.44906427820274325,0.0002187
30,0.024409631351104164,0.9178199496708349,1.6244801548552537,0.5003339397987149,0.395236864255873,0.44778540202729394,0.0002187
31,0.024546626694741423,0.9181821179692198,1.6230075220927251,0.4990627100060128,0.39323879929947825,0.44615075465274556,0.00019683
32,0.024372446999160434,0.9181617285293093,1.6363432302935965,0.499695209615274,0.3932254156298387,0.44646031262255637,0.00019683
33,0.024407367822395658,0.9183864973971744,1.6259204318276104,0.5015785546179898,0.3949705397774509,0.44827454719772036,0.00019683
34,0.024057845577197822,0.9190105277786289,1.65435694609764,0.501107740550121,0.39532131471595905,0.44821452763304004,0.00019683
35,0.024185923239612345,0.9185861445840693,1.6576822990977391,0.5011397388961801,0.396007916271897,0.4485738275840386,0.00019683
