epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,threshold_mean,threshold_std,lr
1,0.22547513123462512,0.7832599938827941,0.467123262513121,0.27177357060491497,0.8331060823769431,0.5838400547888263,0.7084730685828846,0.42702704668045044,0.1995246410369873,0.0005
2,0.17327459809118248,0.8227871331528349,0.5574206243928106,0.25298761381783635,0.845491086382076,0.6199335713151309,0.7327123288486035,0.5297297239303589,0.23779945075511932,0.0005
3,0.15969963928021694,0.8322986683431807,0.5893276558991815,0.25398785055944206,0.8477717894142882,0.6300540026452432,0.7389128960297657,0.5121621489524841,0.21884384751319885,0.0005
4,0.1632653699719438,0.8271311485052931,0.580421549056403,0.2519108725998697,0.8472156274039409,0.6155189329949,0.7313672801994204,0.5351350903511047,0.2353447526693344,0.0005
5,0.15735210480709141,0.8319554983190933,0.5903604365269778,0.26849735039478584,0.8427226257734732,0.6115710496470622,0.7271468377102677,0.48783788084983826,0.19844171404838562,0.0005
6,0.15034971185171828,0.8379725551356332,0.6044208848262206,0.24587751973311586,0.8527726137357853,0.6381777661784923,0.7454751899571388,0.5594595074653625,0.24627983570098877,0.0005
7,0.14586402836506318,0.84035798623715,0.61141186292992,0.25110574233507943,0.8494548761457935,0.634038300028591,0.7417465880871923,0.5189189910888672,0.23404531180858612,0.0005
8,0.1473386150916037,0.8390930576019145,0.6073002865061385,0.24876257523008943,0.8488073721562646,0.6294797039651836,0.7391435380607241,0.566216230392456,0.2396658957004547,0.0005
9,0.1448321417330815,0.840944674397384,0.613636838940852,0.25442230868015403,0.851652808339122,0.6309769538575208,0.7413148810983214,0.5554054379463196,0.24845026433467865,0.0005
10,0.14350847496417607,0.8429261070586986,0.6128789696702206,0.23739318718302765,0.8602299830805213,0.6490987037649845,0.7546643434227529,0.5797297358512878,0.21543779969215393,0.0005
11,0.1356180646361168,0.8484127992290676,0.6426756970549636,0.24925211250241788,0.8577387258957418,0.6444170222633866,0.7510778740795643,0.5594595074653625,0.23904027044773102,0.0005
12,0.1349033759817335,0.8486063312092006,0.6348193152598904,0.2471550120687917,0.8583784078596968,0.648750633015896,0.7535645204377963,0.5540540814399719,0.23720738291740417,0.0005
13,0.13227981445149226,0.8507326616946626,0.6482825487398721,0.23958433310671035,0.8629082206614113,0.6564854970970899,0.7596968588792505,0.563513457775116,0.24235571920871735,0.0005
14,0.1311804595808338,0.8512047751946453,0.6367319913851791,0.2486285526256667,0.8614342555286205,0.6547792585511354,0.758106757039878,0.5418919324874878,0.24035827815532684,0.0005
15,0.12943258764896218,0.8527747342501384,0.6455270568415897,0.2510256998998761,0.8576297398576412,0.6358930051560867,0.746761372506864,0.5851352214813232,0.2511769235134125,0.0005
16,0.13684813854764888,0.8468130801593214,0.6274780980522561,0.23987785849086227,0.8625185014722726,0.6537652352686752,0.7581418683704739,0.5716217160224915,0.2516272962093353,0.0005
17,0.12606648129815634,0.8558113046533369,0.6691921190615877,0.2372871474587065,0.8656774897829406,0.6598804605786207,0.7627789751807806,0.5837838053703308,0.2541690468788147,0.0005
18,0.12258363550662131,0.8579851960070736,0.6669339784406817,0.23987788771094393,0.8651304713804714,0.662509538469596,0.7638200049250337,0.5743242502212524,0.22589810192584991,0.0005
19,0.12449472942622619,0.8562080907611739,0.6482009480379769,0.24361129937935452,0.864977084472102,0.6639209421558725,0.7644490133139872,0.566216230392456,0.2517651319503784,0.0005
20,0.12142599648392607,0.8589523876571256,0.667937017767366,0.24425916531895103,0.8647153523073894,0.6600750182117064,0.7623951852595479,0.5675675272941589,0.2584298253059387,0.0005
21,0.11760190944743881,0.8616458212047142,0.6879182709078914,0.2539769147518058,0.8634852861149483,0.6569122217672094,0.7601987539410788,0.5391892194747925,0.23628176748752594,0.0005
22,0.11237835826766118,0.8656124737210932,0.6987235586509533,0.250967395149569,0.8691236154561597,0.6676477029761064,0.7683856592161331,0.5770270228385925,0.2358408272266388,0.0005
23,0.11523991849949534,0.8622262415936317,0.6786937964415876,0.2563789764469844,0.8684018775524037,0.6632395454002781,0.7658207114763409,0.5864865183830261,0.2294672578573227,0.0005
24,0.11333103028802523,0.8639183040738486,0.6900870073955448,0.25696401651592293,0.8676998688968972,0.6682404927621085,0.7679701808295029,0.5621621012687683,0.23174001276493073,0.0005
25,0.1141508595529428,0.8631648020959154,0.6821074596181198,0.2648833050168413,0.8594164344804192,0.6368242945419645,0.7481203645111918,0.5689189434051514,0.2638978362083435,0.0005
26,0.11056429138383708,0.8661369314099714,0.7037004546729527,0.25186730872348234,0.8670651750243215,0.6496218605231638,0.7583435177737426,0.5824323892593384,0.248295858502388,0.0005
27,0.10670000610074269,0.8693348431834176,0.71339783568988,0.2514658483763836,0.870357047681144,0.6754512774171589,0.7729041625491515,0.5770270228385925,0.2598322033882141,0.0005
28,0.10224103848881685,0.8732525493504794,0.7356344780290047,0.2618096422182709,0.8713954231154035,0.6704545486643404,0.7709249858898719,0.5945945978164673,0.253831148147583,0.0005
29,0.10175708047997041,0.8731672918008805,0.7461978807991487,0.27075590366443236,0.8682572175369442,0.6614549038713206,0.7648560607041324,0.5878378748893738,0.2623710632324219,0.0005
30,0.09974936481335285,0.8747887081130478,0.7495812714279898,0.2801428884898068,0.8708361011563506,0.6703177941501434,0.7705769476532469,0.5729730725288391,0.25002557039260864,0.0005
31,0.09917845354316408,0.8753448724998769,0.750747134086245,0.27236700909135325,0.8694427233105084,0.6646326096076269,0.7670376664590677,0.6027027368545532,0.2607022225856781,0.0005
32,0.10009401193424146,0.8744762202642755,0.7322508593634108,0.27234051024985817,0.869358995883053,0.6588720044192318,0.7641155001511424,0.5810810923576355,0.281730055809021,0.0005
33,0.09757686980768919,0.8765244836941767,0.7449767625024205,0.28418407411973884,0.8698408060997336,0.6637804670999364,0.7668106365998351,0.528378427028656,0.24783943593502045,0.00045000000000000004
34,0.09287124286868774,0.8808951685839008,0.777289551208385,0.2830995412841664,0.8701844400122445,0.645617230219548,0.7579008351158962,0.5405405163764954,0.26656925678253174,0.00045000000000000004
35,0.09014471851073406,0.8833371038938491,0.7898130464021468,0.3013159646368459,0.8697421665779625,0.6455246130024566,0.7576333897902096,0.5297297239303589,0.2649475932121277,0.00045000000000000004
36,0.09512638714710502,0.8783412886887787,0.7629195618897334,0.2958631690865437,0.8717563497080808,0.6616569032216529,0.7667066264648669,0.5418919324874878,0.237814798951149,0.00045000000000000004
37,0.09005826749349367,0.8834465513794832,0.7736937520742886,0.3006540048908731,0.8666478119367326,0.6497030045446399,0.7581754082406862,0.5864865183830261,0.26626765727996826,0.00045000000000000004
38,0.09445276649173648,0.8789016679603718,0.7546176827093739,0.29284102519653354,0.8712346133095337,0.66277032589454,0.7670024696020368,0.5689189434051514,0.2628716826438904,0.00045000000000000004
39,0.08828409116944265,0.8851977242189609,0.7912961935230118,0.2905579069409846,0.8704571671614729,0.6462681970144623,0.7583626820879676,0.5837838649749756,0.2681402564048767,0.00040500000000000003
40,0.08931219117906407,0.8837760827665313,0.783405937373188,0.29185735164032,0.8705847554759755,0.6574228064108081,0.7640037809433917,0.5662161707878113,0.27239033579826355,0.00040500000000000003
41,0.08885439728329983,0.8844033352119391,0.7810780777294436,0.2915329050681622,0.8691905129997367,0.659531047598643,0.7643607802991899,0.6283785104751587,0.27201464772224426,0.00040500000000000003
42,0.08712604937830637,0.8860775251427209,0.7858351642259552,0.30791960157836673,0.8691597537991395,0.6530478682905041,0.7611038110448218,0.5729730129241943,0.2556377053260803,0.00040500000000000003
43,0.09622234111557494,0.8773173170231716,0.7349679476050291,0.29394833215053706,0.8706559541035209,0.6663552888871177,0.7685056214953193,0.6054054498672485,0.27083051204681396,0.00040500000000000003
44,0.088898040639767,0.8845964532423132,0.7803391559143253,0.30058393404863154,0.8721424296195405,0.6656695165834106,0.7689059731014756,0.6040540933609009,0.2576867938041687,0.00040500000000000003
45,0.08850828256391002,0.884688023151147,0.7752492225035175,0.30343054623642235,0.872262673675909,0.6616579192925641,0.7669602964842366,0.5891891121864319,0.2578851282596588,0.0003645
46,0.08222955482727405,0.890930953612716,0.8223845444927774,0.32106580092287496,0.875007569085835,0.6752560714274823,0.7751318202566586,0.5554054379463196,0.2611781656742096,0.0003645
47,0.08295098885553863,0.8904063905352433,0.809307887091899,0.3090713187737047,0.8730149649659193,0.6697332805866122,0.7713741227762658,0.5810810923576355,0.2515765130519867,0.0003645
48,0.08406427873386813,0.8894271279131939,0.8076847827228778,0.3100428603837137,0.8732607750707928,0.6732726776495848,0.7732667263601888,0.5351352095603943,0.24129852652549744,0.0003645
49,0.08040155357149967,0.8930956639802846,0.8326542872244284,0.3255912846849044,0.8738536831761757,0.6546999741128603,0.7642768286445181,0.5216215252876282,0.2652231454849243,0.0003645
