epoch,train_loss,train_f1_micro,val_loss,val_f1_micro,val_f1_macro,blended_f1,mean_threshold,lr
1,0.08585700999828762,0.058141121877985535,0.07618629113759523,0.3039186359557284,0.1828136667740421,0.24336615136488524,0.23378378378378384,0.005
2,0.07843391223445932,0.3159718432827677,0.07140825302512557,0.38603351955307263,0.22652223835204516,0.30627787895255887,0.3337837837837838,0.005
3,0.0743989614985097,0.37540955919608177,0.06938586899159867,0.4042799305957201,0.2458466024832937,0.3250632665395069,0.3513513513513513,0.005
4,0.0703329024818421,0.38895985086477713,0.06583144267400105,0.4508557457212714,0.2587210230357841,0.3547883843785278,0.3743243243243244,0.005
5,0.06748072685084151,0.4691088260497001,0.06339627899873404,0.4610758436351487,0.2782126133609624,0.36964422849805556,0.3864864864864865,0.005
