trial_id,num_sites,physical_dim,bond_dim,dropout_rate,apply_snv,target_length,batch_size,num_epochs,learning_rate,weight_decay,patience,min_delta,num_workers,pin_memory,use_amp,lr_scheduler_factor,lr_scheduler_patience,lr_scheduler_min_lr,threshold_metric,best_epoch,best_val_f1_micro,best_val_f1_macro,best_val_loss,test_f1_micro,test_f1_macro,test_loss
1,4,200,64,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,69,0.705950991831972,0.27367133407202693,2.712244749069214,0.7121257041209605,0.2945520010481545,5.268042087554932
2,4,200,64,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,47,0.7222870478413069,0.29927863530767035,2.3511688709259033,0.7155146840700088,0.29948152483246543,4.7527265548706055
3,4,200,64,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,122,0.6686620772223885,0.27124908754466903,1.214961290359497,0.6682779456193354,0.27941651291567604,2.460864543914795
4,4,200,64,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,85,0.6671779141104295,0.3058118065024846,1.1622765064239502,0.6659680377259628,0.27563787124033573,2.3710453510284424
5,4,200,64,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,90,0.723725613593455,0.2734623659191035,2.52201771736145,0.7193320488118176,0.2792396435577294,5.3932013511657715
6,4,200,64,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,83,0.7385334501898919,0.3154790050477514,2.4890260696411133,0.7193035124587212,0.27474470689114466,5.352200508117676
7,4,200,64,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,107,0.6620005832604258,0.26868100920271326,1.0754204988479614,0.6646866646866647,0.26927044122956506,1.9924418926239014
8,4,200,64,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,105,0.6412745830221558,0.31142292253121506,1.0684844255447388,0.6370332740665481,0.28091734614178737,1.9807196855545044
9,4,200,64,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,118,0.7185735512630015,0.2774577317695502,2.240568161010742,0.7234169653524493,0.3216186482233608,4.859356880187988
10,4,200,64,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,65,0.7337003767024051,0.30726216412414087,2.0656044483184814,0.7218621096051856,0.28343655495847847,4.458474636077881
11,4,200,64,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,146,0.6544035674470458,0.28412249036712556,0.9699066281318665,0.6460326392796849,0.27951704811726297,1.7224041223526
12,4,200,64,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,77,0.58249832999332,0.30874885071101016,0.9271847605705261,0.581651376146789,0.2780269363971437,1.576775074005127
13,4,200,64,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,136,0.6969014084507043,0.3082036925477466,2.2587223052978516,0.7117765620501008,0.3147260815583104,5.936692714691162
14,4,200,64,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,45,0.7160561828697328,0.3241342730234571,1.7658954858779907,0.7021396396396397,0.31143108819003135,4.429062366485596
15,4,200,64,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,136,0.6526075805072671,0.28035573458210034,1.1095298528671265,0.6518731988472622,0.31271022922145525,2.370044231414795
16,4,200,64,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,71,0.6413726437892702,0.3196295488269314,1.0130603313446045,0.6422563087580406,0.29743942280826613,2.1370925903320312
17,4,200,64,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,100,0.7243849268140766,0.27866249669239745,2.5358996391296387,0.740018861993084,0.31931875167379925,5.651501655578613
18,4,200,64,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,79,0.7392700729927008,0.30000302563466114,2.426558017730713,0.7328018895777975,0.3195773619771712,5.43941593170166
19,4,200,64,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,106,0.6476769911504425,0.27328370881795155,1.010269284248352,0.6537271448663854,0.3018202964927612,1.9141329526901245
20,4,200,64,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,65,0.6152424942263279,0.30639855152990114,0.9284720420837402,0.6112285647169368,0.2863494930472784,1.672747015953064
21,4,200,64,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,131,0.7109913147648996,0.2672512767354231,2.1758222579956055,0.7126436781609196,0.28665518677608065,4.821532249450684
22,4,200,64,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,51,0.7082538817760828,0.3106943233065804,1.7323228120803833,0.7012041444973397,0.28603607608084186,3.8827433586120605
23,4,200,64,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,148,0.6327234155396446,0.27534788273362715,0.9346179962158203,0.6295902075572113,0.28198127288502184,1.722109317779541
24,4,200,64,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,82,0.5855175477565526,0.30705217726285733,0.8951973915100098,0.5813008130081301,0.27628644575757766,1.57464599609375
25,4,200,64,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,185,0.6974470396523629,0.2988371282650491,2.297126531600952,0.6949659863945579,0.28966875166975836,5.69646692276001
26,4,200,64,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,76,0.7162867344136227,0.3238005893323303,2.0939083099365234,0.6979341150195422,0.3149298636555194,5.368816375732422
27,4,200,64,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,133,0.6322024771136241,0.27271588103688965,1.077893614768982,0.6335877862595419,0.3101987653308417,2.3054096698760986
28,4,200,64,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,139,0.636231884057971,0.3125057929099738,1.0755248069763184,0.6331781426121049,0.28543236054612303,2.2997114658355713
29,4,200,64,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,96,0.7125850340136054,0.29938966754832586,2.280452251434326,0.7252304147465438,0.30380138018004166,5.4201130867004395
30,4,200,64,0.4,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,60,0.7391304347826086,0.31217425685332856,2.044049024581909,0.7385718553928892,0.29130746151665365,4.6965718269348145
31,4,200,64,0.4,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,145,0.6285864701237168,0.2698081737366168,0.9786272644996643,0.616557161629435,0.29336318902973896,1.844063639640808
