run_name,log_path,data_files_used,total_data_files,requested_epochs,first_epoch_val_f1_micro,notes
historical_full_dataset,experiment3/results/full_dataset/training_log.csv,245,245,200,0.6511803301475187,"voller Datensatz laut Checkpoint-Args; finale Log- und Summary-Artefakte sind gemischt, deshalb keine vertrauenswuerdige finale Testmetrik"
one_file_run,experiment3/results/one_file/training_log.csv,1,245,200,0.5615141955835962,"Ein-Datei-Run mit --max-files 1; aktuelle Summary nutzt nur belegbare Werte aus Log und Checkpoint"
