epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,lr
1,0.12795158097341008,0.2862275387983608,0.15037727072786689,0.17900625661780828,0.3504473213345964,0.20934168455835192,0.27989450294647417,0.0003
2,0.11640535566775385,0.3179198294799574,0.19607076321691466,0.18200100254406262,0.35835236330733766,0.22077013887920316,0.2895612510932704,0.0003
3,0.11261179078578173,0.32345201552379277,0.20678492878041613,0.1841840564079155,0.35152980563563657,0.22917967528113445,0.2903547404583855,0.0003
4,0.1092205376562508,0.33067391486792697,0.21757884375681802,0.18054747315421926,0.36259213171245336,0.23718354753806273,0.29988783962525806,0.0003
5,0.10615321918188698,0.334154233764689,0.22278927589908223,0.1864488295933151,0.370657245096707,0.23808057614350178,0.3043689106201044,0.0003
6,0.10340650922992335,0.33921791335388607,0.2300788480805412,0.19137677521353882,0.3687448269691072,0.24201899702145857,0.30538191199528286,0.0003
7,0.10086354592667188,0.3438254302480532,0.23594663220059742,0.1896616232629269,0.37247918001281227,0.24120467421803501,0.30684192711542363,0.0003
8,0.0981555387543838,0.3477948756699573,0.24382333568544548,0.19675196827598448,0.37764316436597833,0.2498514117562584,0.3137472880611184,0.0003
9,0.09544626014887518,0.3535262621594082,0.25266745420453457,0.19992390374042476,0.37687355268850037,0.2484136696469132,0.3126436111677068,0.0003
10,0.0925571754941324,0.3608696006232373,0.26287827456294693,0.2073271792940983,0.37791720138789864,0.25707925333583376,0.31749822736186617,0.0003
11,0.09003612781024947,0.36316953683724845,0.26788863171060173,0.21190026525524328,0.3846931667528032,0.2570301650153991,0.32086166588410114,0.0003
12,0.08775657872297479,0.36916771667043125,0.2756293433918452,0.21040482300766045,0.38210511614915504,0.24866695926931232,0.3153860377092337,0.0003
13,0.08494984327359807,0.37572480096139405,0.28865715074394444,0.22695981806438614,0.3807325171197344,0.2542859699968268,0.3175092435582806,0.0003
14,0.08259546033986846,0.38154300601488483,0.29826641130671466,0.2293624858541671,0.3861126220939858,0.26091018284458983,0.3235114024692878,0.0003
15,0.08020400599902466,0.3871553205515423,0.30754467705788124,0.23892662096599798,0.37927310175068446,0.2572004136539108,0.31823675770229765,0.0003
16,0.07798773665910247,0.39476248240790346,0.32037351711977663,0.23922136731798435,0.375305305825495,0.25373539542144485,0.31452035062346995,0.0003
17,0.07609298033188652,0.3992137997082373,0.329286122659018,0.24917686869430639,0.38642164369576315,0.25457642792401636,0.32049903580988975,0.0003
18,0.07361469768119254,0.4056162333757534,0.3411874980941531,0.25737552757169546,0.38535510367624964,0.2545687797522561,0.31996194171425285,0.0003
19,0.07178642572676952,0.41320283062736557,0.35531327922302325,0.27358995838407785,0.3830496369479824,0.25550919589034604,0.31927941641916424,0.0003
20,0.07002512372464842,0.4176010777094147,0.36207412225730906,0.2801786692601076,0.3814071129923089,0.2547700707787294,0.31808859188551913,0.00027
21,0.06702660275335962,0.42933599784083015,0.3853092929411677,0.2995770071598458,0.38200692041522494,0.2534119742208893,0.3177094473180571,0.00027
22,0.06563068609818677,0.43349052663115656,0.394821535471129,0.30164812450922746,0.378035151884588,0.2566433669020124,0.3173392593933002,0.00027
23,0.06377534836836342,0.4412955936103573,0.41168446973979816,0.3128531205780196,0.3806393942580713,0.2593088686824859,0.31997413147027864,0.00027
24,0.06259637241239153,0.4462901213100669,0.4205045527069462,0.3230266487280288,0.3860369609856263,0.2607937030187688,0.3234153320021975,0.00027
25,0.06089296288685163,0.4531072880752097,0.43261652781026505,0.3338317232429681,0.38777717685235263,0.2581325534482545,0.3229548651503036,0.00027
26,0.059903140928312705,0.4575502729228526,0.44290932925901744,0.34275114160530035,0.3851328296368511,0.254770178861245,0.31995150424904806,0.000243
27,0.05742785516419234,0.4683071976195904,0.46513433444365926,0.3638410142121118,0.3857135943473842,0.257906210236292,0.32180990229183815,0.000243
28,0.05636718217657029,0.4717898656832438,0.4764486857992313,0.3659382700559956,0.38461339338872924,0.26064325925849974,0.3226283263236145,0.000243
29,0.05539984604791022,0.47702994854441644,0.4828031842455759,0.3782810596661025,0.3779850009867772,0.2559274898898115,0.31695624543829437,0.000243
30,0.05458128847815818,0.48245301247413286,0.493154931288878,0.39490703729404303,0.38664825954047927,0.26066531033581175,0.32365678493814554,0.000243
31,0.0535674830885263,0.48624927216450614,0.5033316445113523,0.3909466912108966,0.38085629921259845,0.2532981329155494,0.3170772160640739,0.000243
32,0.05271076818220205,0.490746184128313,0.5108710028147249,0.413853870973006,0.38043887147335426,0.2577029012791803,0.31907088637626724,0.000243
33,0.051995851022449864,0.4953184739030481,0.5206966696187214,0.4241438267634354,0.3806965021365881,0.25335415880336287,0.3170253304699755,0.000243
34,0.05145692781371686,0.49791162688147667,0.5214228840409803,0.4267515184385899,0.3721857780110207,0.25114682476305494,0.3116663013870378,0.000243
35,0.05063761502688151,0.5023658467981373,0.5317938554210825,0.4397109571780563,0.3817416673121111,0.2600880242777298,0.32091484579492047,0.000243
36,0.050123907523533844,0.5050710446790007,0.5394931717408485,0.4539236056780647,0.3854521532786693,0.2569603584829335,0.32120625588080143,0.0002187
37,0.04815429333003114,0.5161052450908721,0.5628117071034902,0.4602027408125898,0.38058791169365447,0.25860151314149626,0.31959471241757537,0.0002187
38,0.047718009154826976,0.5195216533739496,0.5702087120727451,0.47626273327423607,0.38213051535032805,0.26100165935046615,0.3215660873503971,0.0002187
39,0.04698720457444256,0.5222479658773727,0.5763998693295689,0.4772825202372859,0.385144615941701,0.26147978073127953,0.3233121983364903,0.0002187
40,0.04676983744332922,0.5253817210514826,0.5787733960340079,0.47871028642880115,0.38566723225870847,0.2612063327052307,0.3234367824819696,0.0002187
41,0.04606834843365101,0.5302748568353276,0.5875811292102008,0.4747142048190608,0.3824213373831332,0.25924025268331335,0.3208307950332233,0.0002187
42,0.04567728193529778,0.5319785784781659,0.5891574209745721,0.4856056573137656,0.3785947379155619,0.26005494395933815,0.31932484093745006,0.00019683
43,0.0441151431261396,0.5418253068499793,0.6167877512865353,0.5103254568960972,0.3821231226114262,0.26069032017142485,0.32140672139142556,0.00019683
44,0.04346335835749209,0.5445050268019417,0.6220407810090973,0.5221624725534837,0.37808558001484044,0.26095887804394335,0.31952222902939187,0.00019683
45,0.04341530043993868,0.5463058012213098,0.6194070250838324,0.5184713449723051,0.384731366537669,0.26511058590693776,0.32492097622230337,0.00019683
46,0.04270842442561945,0.550325233348317,0.6317719218637665,0.5379905059498482,0.37661668228678535,0.25637816751332015,0.3164974249000527,0.00019683
47,0.0426638539364309,0.552483260591691,0.6291532570487972,0.5396453399372485,0.37692171314236506,0.2575960708192129,0.31725889198078894,0.00019683
48,0.04227918065985778,0.5536738913280833,0.6349873734742496,0.5545215276673001,0.3791331430054503,0.2633178927407327,0.3212255178730915,0.00019683
49,0.042149981531130386,0.5567968344058516,0.6338049432754798,0.5369057197285083,0.3796781167427336,0.25323287538023354,0.3164554960614836,0.00019683
50,0.04160657397982297,0.5586749653481181,0.6397912235988136,0.5734693586106027,0.38216278669583814,0.2560161703661533,0.31908947853099573,0.00019683
51,0.041309737381468044,0.5625970350449505,0.6443108510016387,0.545540044218872,0.37798942906483857,0.2601509735711248,0.3190702013179817,0.000177147
52,0.03996742025637538,0.5698697189526134,0.6656346150901864,0.5688457962969639,0.3812111801242236,0.26393826031339057,0.32257472021880707,0.000177147
53,0.039657491088064795,0.5722425474254742,0.6689715447065865,0.5977745211136425,0.37862816605884997,0.2602355105001418,0.3194318382794959,0.000177147
54,0.03921904366277599,0.5755986673971708,0.6769489258697916,0.5834955968705549,0.38365782004680576,0.2625908949885398,0.32312435751767277,0.000177147
55,0.0388643188655845,0.5775213229250858,0.676788549100693,0.5802928714413658,0.37425098442047594,0.25862571519788397,0.31643834980917995,0.000177147
56,0.038646460445849254,0.5799885703726264,0.6829232280505668,0.609658400391764,0.37783213500358265,0.26007183929540245,0.3189519871494926,0.000177147
57,0.03845282728576583,0.5813194304094489,0.6856373288525003,0.6089081130779281,0.38131074009469224,0.2646364909587117,0.322973615526702,0.0001594323
58,0.0372964823566552,0.5888627353387461,0.7054450911792733,0.6135934984215797,0.37902855099851884,0.262806530705203,0.3209175408518609,0.0001594323
59,0.037213924749713925,0.5898231160649382,0.7035325136417365,0.6328792535586419,0.3787739698082415,0.26227969946987056,0.32052683463905607,0.0001594323
60,0.03721349487509551,0.5912719697415365,0.6971006562924171,0.6323521447325762,0.37791361249904887,0.26210532585096025,0.32000946917500456,0.0001594323
61,0.036696569699904355,0.594405983262435,0.7071678513979405,0.6279983821832401,0.3819467684001517,0.2635912787397104,0.32276902356993104,0.0001594323
