label_idx,label_name,positive_samples,tp,fn,fp,tn,f1,precision,recall,error_rate,binary_error_rate
34,Thial,9,0,9,0,79431,0.0,0.0,0.0,1.0,0.00011329305135951662
32,Sulfonic acid,2,0,2,0,79438,0.0,0.0,0.0,1.0,2.5176233635448137e-05
10,Azo compound,70,4,66,57,79313,0.061068702290076333,0.06557377049180328,0.05714285714285714,0.9428571428571428,0.0015483383685800604
0,Acid anhydride,83,12,71,51,79306,0.1643835616438356,0.19047619047619047,0.14457831325301204,0.8554216867469879,0.0015357502517623365
19,Hydrazone,785,132,653,311,78344,0.21498371335504887,0.2979683972911964,0.1681528662420382,0.8318471337579618,0.012134944612286001
1,Acyl halide,549,117,432,120,78771,0.29770992366412213,0.4936708860759494,0.21311475409836064,0.7868852459016393,0.006948640483383686
21,Imine,856,213,643,188,78396,0.33890214797136037,0.5311720698254364,0.2488317757009346,0.7511682242990654,0.0104607250755287
27,Phosphine,100,26,74,15,79325,0.36879432624113473,0.6341463414634146,0.26,0.74,0.0011203423967774421
14,Enol,739,195,544,88,78613,0.3816046966731898,0.6890459363957597,0.2638700947225981,0.7361299052774019,0.00795568982880161
33,Sulfoxide,640,182,458,289,78511,0.3276327632763276,0.386411889596603,0.284375,0.715625,0.00940332326283988
35,Thioamide,922,281,641,189,78329,0.40373563218390807,0.597872340425532,0.3047722342733189,0.6952277657266811,0.010448136958710977
13,Enamine,3074,960,2114,816,75550,0.3958762886597938,0.5405405405405406,0.3122966818477554,0.6877033181522446,0.03688318227593152
18,Hydrazine,1227,476,751,280,77933,0.4800806858295512,0.6296296296296297,0.38793806030969846,0.6120619396903015,0.012978348439073514
24,Ketone,9697,4286,5411,4233,65510,0.4705753184014054,0.5031106937433971,0.44199236877384757,0.5580076312261524,0.12139979859013092
3,Aldehyde,2874,1353,1521,638,75928,0.5562178828365879,0.6795580110497238,0.4707724425887265,0.5292275574112735,0.027177744209466264
28,Sulfide,15008,7286,7722,8588,55844,0.4718606307881614,0.4589895426483558,0.4854744136460554,0.5145255863539445,0.20531218529707956
20,Imide,2114,1029,1085,417,76909,0.5780898876404494,0.7116182572614108,0.4867549668874172,0.5132450331125827,0.01890735146022155
6,Alkyne,2101,1040,1061,200,77139,0.622568093385214,0.8387096774193549,0.49500237981913375,0.5049976201808662,0.01587361530715005
5,Alkene,12778,6495,6283,3731,62931,0.5646844027125717,0.6351457070213182,0.5082955079042104,0.49170449209578965,0.12605740181268882
15,Ester,21463,14108,7355,5002,52975,0.6954378527592241,0.7382522239665097,0.6573172436285701,0.3426827563714299,0.1555513595166163
31,Sulfone,2743,2049,694,655,76042,0.7523407380209289,0.7577662721893491,0.7469923441487423,0.25300765585125773,0.016981369587109767
11,Carbamate,10883,8399,2484,1110,67447,0.8237544134954884,0.8832684824902723,0.7717541119176697,0.22824588808233023,0.0452416918429003
30,Sulfonate,1288,1024,264,78,78074,0.8569037656903765,0.9292196007259528,0.7950310559006211,0.20496894409937888,0.004305135951661631
26,Phenol,6713,5357,1356,1351,71376,0.7983011698085091,0.7985986881335718,0.7980038730820795,0.20199612691792046,0.034076032225579055
7,Amide,30053,24233,5820,6013,43374,0.8037612564055788,0.8011968524763605,0.8063421289056001,0.19365787109439989,0.1489551863041289
23,Isothiocyanate,101,82,19,8,79331,0.8586387434554974,0.9111111111111111,0.8118811881188119,0.18811881188118812,0.00033987915407854985
36,Thiol,362,295,67,16,79062,0.8766716196136701,0.9485530546623794,0.8149171270718232,0.1850828729281768,0.0010448136958710976
29,Sulfonamide,5565,4605,960,780,73095,0.8410958904109589,0.8551532033426184,0.8274932614555256,0.1725067385444744,0.02190332326283988
8,Amine,47607,40756,6851,3621,28212,0.8861541137589146,0.9184036775807287,0.8560925914256307,0.14390740857436932,0.13182275931520646
17,Haloalkane,51991,45336,6655,14932,12517,0.8077036139641365,0.7522399946903829,0.8719970764170721,0.1280029235829278,0.2717396777442095
25,Nitrile,7474,6719,755,220,71746,0.9323527371123291,0.9682951433924196,0.898983141557399,0.10101685844260101,0.012273413897280967
22,Isocyanate,136,124,12,6,79298,0.9323308270676691,0.9538461538461539,0.9117647058823529,0.08823529411764706,0.00022658610271903323
16,Ether,63101,57730,5371,10862,5477,0.8767360451960241,0.841643340331234,0.9148824899763871,0.08511751002361294,0.2043429003021148
12,Carboxylic acid,11051,10771,280,268,68121,0.9751923947487551,0.9757224386266872,0.9746629264319971,0.025337073568002896,0.00689828801611279
2,Alcohol,29762,29105,657,312,49366,0.983625948393856,0.9893938878879559,0.977924870640414,0.02207512935958605,0.012197885196374622
9,Arene,74849,73934,915,993,3598,0.9872609763914112,0.9867471005111642,0.9877753877807319,0.012224612219268127,0.02401812688821752
4,Alkane,79299,79219,80,109,32,0.998808525660827,0.9986259580475998,0.9989911600398492,0.0010088399601508216,0.002379154078549849
