label_idx,label_name,positive_samples,tp,fn,fp,tn,f1,precision,recall,error_rate,binary_error_rate
34,Thial,9,0,9,0,158872,0.0,0.0,0.0,1.0,5.664616914546107e-05
10,Azo compound,115,2,113,1,158765,0.03389830508474576,0.6666666666666666,0.017391304347826087,0.9826086956521739,0.0007175181425091735
19,Hydrazone,1049,220,829,39,157793,0.3363914373088685,0.8494208494208494,0.20972354623450906,0.7902764537654909,0.005463208313140023
27,Phosphine,117,25,92,14,158750,0.32051282051282054,0.6410256410256411,0.21367521367521367,0.7863247863247863,0.0006671659921576525
33,Sulfoxide,930,205,725,30,157921,0.351931330472103,0.8723404255319149,0.22043010752688172,0.7795698924731183,0.00475198418942479
0,Acid anhydride,125,30,95,10,158746,0.36363636363636365,0.75,0.24,0.76,0.0006608719733637125
21,Imine,1178,283,895,39,157664,0.37733333333333335,0.8788819875776398,0.24023769100169778,0.7597623089983022,0.005878613553540071
13,Enamine,2224,846,1378,138,156519,0.527431421446384,0.8597560975609756,0.38039568345323743,0.6196043165467626,0.00954173249161322
1,Acyl halide,811,323,488,89,157981,0.5282093213409649,0.7839805825242718,0.39827373612823674,0.6017262638717632,0.0036316488441034485
28,Sulfide,21664,8652,13012,3257,133960,0.5154141721025824,0.7265093626668906,0.3993722304283604,0.6006277695716395,0.10239739175861179
35,Thioamide,1255,585,670,89,157537,0.6065318818040435,0.8679525222551929,0.46613545816733065,0.5338645418326693,0.00477716026460055
14,Enol,532,260,272,39,158310,0.6257521058965102,0.8695652173913043,0.48872180451127817,0.5112781954887218,0.001957439844915377
24,Ketone,13856,6945,6911,2068,142957,0.6073724255542438,0.7705536447353822,0.5012269053117783,0.49877309468822173,0.056513994750788325
18,Hydrazine,1824,1031,793,96,156961,0.6987461877329719,0.9148181011535049,0.5652412280701754,0.43475877192982454,0.005595382707812765
6,Alkyne,3017,1778,1239,116,155748,0.7240887802891468,0.938753959873284,0.5893271461716937,0.41067285382830626,0.00852839546578886
3,Aldehyde,4058,2467,1591,410,154413,0.711463590483057,0.8574904414320472,0.6079349433218334,0.3920650566781666,0.012594331606674178
5,Alkene,18340,11557,6783,2197,138344,0.7201969215429675,0.8402646502835539,0.6301526717557252,0.3698473282442748,0.05652028876958227
20,Imide,2982,2090,892,300,155599,0.7781087118391661,0.8744769874476988,0.7008718980549966,0.29912810194500333,0.007502470402376621
17,Haloalkane,73280,53679,19601,13333,72268,0.765246771020443,0.8010356354085836,0.7325191048034935,0.26748089519650653,0.20728721495962388
15,Ester,29851,23248,6603,4159,124871,0.8120437318802612,0.8482504469661035,0.7788013801882684,0.2211986198117316,0.06773623026038356
31,Sulfone,3851,3116,735,400,154630,0.84593457309624,0.8862343572241184,0.8091404829914308,0.1908595170085692,0.007143711331122035
16,Ether,89771,74915,14856,12738,56372,0.8444742537649923,0.8546769648500336,0.834512258970046,0.165487741029954,0.17367715459998365
7,Amide,41960,35235,6725,5045,111876,0.8568822957198443,0.8747517378351539,0.8397283126787417,0.16027168732125835,0.0740806012046752
36,Thiol,577,507,70,11,158293,0.9260273972602739,0.9787644787644788,0.878682842287695,0.12131715771230503,0.0005098155223091496
25,Nitrile,10402,9153,1249,278,148201,0.9230071093631825,0.9705227441416605,0.8799269371274755,0.12007306287252452,0.009610966698346561
23,Isothiocyanate,164,145,19,11,158706,0.90625,0.9294871794871795,0.8841463414634146,0.11585365853658537,0.00018882056381820355
26,Phenol,9375,8331,1044,898,148608,0.8956138464846269,0.902698017119948,0.88864,0.11136,0.01222298449783171
11,Carbamate,15176,13645,1531,1101,142604,0.9120379653766459,0.9253356842533569,0.8991170268845545,0.10088297311544545,0.016565857465650393
8,Amine,67274,61091,6183,3625,87982,0.9256913402530494,0.9439860312751097,0.9080922793352558,0.09190772066474417,0.06173173633096468
29,Sulfonamide,7150,6532,618,678,151053,0.9097493036211699,0.9059639389736477,0.9135664335664335,0.08643356643356644,0.008157048356946394
30,Sulfonate,1821,1672,149,90,156970,0.9332961205693553,0.9489216799091941,0.9181768259198243,0.08182317408017573,0.0015042704917516885
22,Isocyanate,174,167,7,2,158705,0.9737609329446064,0.9881656804733728,0.9597701149425287,0.040229885057471264,5.664616914546107e-05
9,Arene,122920,120594,2326,2618,33343,0.9799132172980352,0.97875206960361,0.9810771233322486,0.018922876667751384,0.03111762891723995
12,Carboxylic acid,15901,15683,218,185,142795,0.9873146778305896,0.9883413158558104,0.9862901704295327,0.013709829570467267,0.0025364895739578676
2,Alcohol,42763,42239,524,491,115627,0.9881276829681962,0.9885092440908028,0.9877464162944601,0.012253583705539835,0.00638842907584922
4,Alkane,153033,151765,1268,1181,4667,0.9919961827445675,0.9922783204529704,0.9917142054328152,0.008285794567184855,0.015414052026359351
32,Sulfonic acid,0,0,0,0,158881,0.0,0.0,0.0,0.0,0.0
