epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,0.4474553942127611,0.5297958432959352,0.10206761926467565,0.5580063301712367,0.5615141955835962,0.08459484210974412,0.5,0.0,0.001
2,0.40989316629110567,0.5772283272283272,0.08465263022720679,0.5870940468444175,0.6580441640378549,0.09560032210255738,0.5,0.0,0.001
3,0.4054627921518624,0.5716795865633075,0.08151008186067528,0.5979552587303953,0.6893787575150301,0.11358111281062082,0.5,0.0,0.001
4,0.4055777801059682,0.5665829145728644,0.07855632808117356,0.5770430408948716,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
5,0.40496316538343474,0.574683022368828,0.08021581462569179,0.5652055021594552,0.547945205479452,0.0708628653292685,0.5,0.0,0.001
6,0.4055488678918924,0.5689737470167064,0.07642290634174449,0.5597249716981646,0.49049128367670364,0.05288207462120506,0.5,0.0,0.001
7,0.40333814405400015,0.5747957259585167,0.07729984247566271,0.5742973028321753,0.5999297506146821,0.07564677480526008,0.5,0.0,0.001
8,0.40312052353456546,0.5689491953297571,0.07539406026956888,0.5753862822757048,0.6580441640378549,0.09560032210255738,0.5,0.0,0.001
9,0.4019519744276816,0.5624462596732588,0.07188571353404245,0.5849631548665994,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
10,0.40148518240249137,0.5766285534459247,0.074935137226342,0.5591451045898461,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
11,0.40023034018747955,0.5723193996723563,0.07609060439941469,0.589754355119847,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0009000000000000001
12,0.4012821005798381,0.5800305279225222,0.07363638854636387,0.5761457101294869,0.567615033368458,0.07283562191850235,0.5,0.0,0.0009000000000000001
13,0.4037380355310956,0.578005115089514,0.07641994071683296,0.5634141733218273,0.49049128367670364,0.05288207462120506,0.5,0.0,0.0009000000000000001
14,0.40096030076836137,0.5778104026845637,0.0746954089786294,0.5730180971024575,0.49049128367670364,0.05288207462120506,0.5,0.0,0.0009000000000000001
15,0.3997279853319643,0.563108909813313,0.07004581722009248,0.583070261836421,0.49049128367670364,0.05288207462120506,0.5,0.0,0.0008100000000000001
16,0.39980740640226065,0.5613635130000543,0.0686971104781741,0.5712463647219419,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
17,0.39936774642058465,0.5614457831325301,0.066620366996061,0.576727065969916,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
18,0.3992567528068006,0.5748198389147944,0.07103061847146404,0.5536576073974279,0.6580441640378549,0.09560032210255738,0.5,0.0,0.0008100000000000001
19,0.39969418972868825,0.5686547951083458,0.07291562883811507,0.5622559209172571,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
20,0.3984035171533847,0.5669734704926909,0.0674708049080786,0.5904279489635313,0.5999297506146821,0.07564677480526008,0.5,0.0,0.0008100000000000001
21,0.3991486609811208,0.5769005692397723,0.06974192297632152,0.5667218034481486,0.49049128367670364,0.05288207462120506,0.5,0.0,0.000729
22,0.39830107445694746,0.5629131776112825,0.06685777944007976,0.5818451685433048,0.5999297506146821,0.07564677480526008,0.5,0.0,0.000729
23,0.398651450549985,0.5620033974464355,0.06681817894535508,0.5668544911378678,0.5999297506146821,0.07564677480526008,0.5,0.0,0.000729
