epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,1.0632326630176698,0.3276275244361108,0.20866345163991176,0.8859459405125986,0.37464290507121006,0.24286469807776193,0.5099999999999996,2.220446049250313e-16,0.001
2,0.8624953055222484,0.3934842858238303,0.24876693917411405,0.8063401945043271,0.42620220611757875,0.27373472648712477,0.5499999999999999,1.1102230246251565e-16,0.001
3,0.8003197465912354,0.42624433399533107,0.2602468909114174,0.9438248817572336,0.31503614520154666,0.2245079357341655,0.4499999999999998,5.551115123125783e-17,0.001
4,0.8685056567206146,0.3972163387102766,0.24348126770409897,0.805573697896182,0.4359196646451716,0.26297859812704494,0.5599999999999996,1.1102230246251565e-16,0.001
5,0.7632753329277331,0.43400874966916286,0.26438510132568227,0.7665136758875786,0.45753283271989054,0.27852285937284,0.5599999999999996,1.1102230246251565e-16,0.001
6,0.7060399402645203,0.45686345643000253,0.2772215182516681,0.7743533255860617,0.44259504707371694,0.27613640720566934,0.5699999999999998,1.1102230246251565e-16,0.001
7,0.6734663989168644,0.47050723801834016,0.2870556221386827,0.7690107815552961,0.5025192726969258,0.30188739014616006,0.5499999999999999,1.1102230246251565e-16,0.001
8,0.6500272486873259,0.4778305977151548,0.2923811130833821,0.7607975759840679,0.4589494294780906,0.2999782409353012,0.5499999999999999,1.1102230246251565e-16,0.001
9,0.6388001194804703,0.4837730458518909,0.2970424234238954,0.7003350448442431,0.48239944622945224,0.3101095842273514,0.5599999999999996,1.1102230246251565e-16,0.001
10,0.6009735910468836,0.5012539566004227,0.3093261508746603,0.7315705808307965,0.5107120758860346,0.3184105666525933,0.5599999999999996,1.1102230246251565e-16,0.001
11,0.5734651105500889,0.5127360713744041,0.31915718600811865,0.7491778462730946,0.507519860171968,0.3233204860056889,0.5699999999999998,1.1102230246251565e-16,0.001
12,0.5563429109566301,0.5204282953344199,0.3239292514374034,0.7515842270433067,0.49639333193738755,0.32080104790340036,0.5699999999999998,1.1102230246251565e-16,0.001
13,0.714954812780615,0.4490493611064257,0.27045002781581007,0.875798246543307,0.39234200879989717,0.24048411729923355,0.49999999999999983,5.551115123125783e-17,0.001
14,0.7479801291630641,0.4344317450874728,0.2631315370754406,0.7308217089877049,0.5054789178488218,0.30715561272341785,0.5799999999999995,2.220446049250313e-16,0.001
15,0.7038606004096066,0.4486433748021153,0.2718241100935385,0.8164589622039299,0.45333272338157254,0.27939912399893035,0.5399999999999997,1.1102230246251565e-16,0.001
16,0.6267766386471184,0.48633463247961434,0.2974104506024991,0.7401695378513276,0.5123387848384849,0.31870858774530103,0.5499999999999999,1.1102230246251565e-16,0.001
17,0.5711792525205361,0.5120326620755329,0.3175617602577881,0.7260182561140115,0.5249187933084846,0.3251606392995107,0.5399999999999997,1.1102230246251565e-16,0.001
18,0.5411578231031876,0.5298591627252349,0.32892855130904414,0.813498708012616,0.5769945222845793,0.3544965983524793,0.5699999999999998,1.1102230246251565e-16,0.0007
19,0.5127998784676542,0.5458947775350704,0.34423760814769805,0.8345998681509501,0.5743854903782228,0.35997904576398776,0.5499999999999999,1.1102230246251565e-16,0.0007
20,0.4966957895329491,0.5519798908136263,0.3508994664925003,0.811906547277539,0.5671569452391371,0.3608074511797632,0.5599999999999996,1.1102230246251565e-16,0.0007
21,0.48355918799190795,0.5592309526744539,0.35713328187260035,0.775208568408232,0.5528048473772478,0.35169699432815066,0.5399999999999997,1.1102230246251565e-16,0.0007
22,0.48290843000829287,0.5580627078481835,0.35228764975066035,0.8487352752208055,0.5728490210419093,0.3649735852458211,0.5399999999999997,1.1102230246251565e-16,0.0007
23,0.46308743646917533,0.5679309238889186,0.36421262950040895,0.8434468892963645,0.5845510650123674,0.3659469934313405,0.5199999999999998,0.0,0.0007
24,0.4440091422744191,0.577807353711622,0.36639429051922556,0.8407840730477955,0.5998548598293025,0.38322112170309497,0.5499999999999999,1.1102230246251565e-16,0.0007
25,0.4355145680493988,0.5842652693478184,0.3727476842109512,0.8948104798833558,0.583725056493602,0.3619197730159556,0.5399999999999997,1.1102230246251565e-16,0.0007
26,0.43258956105467955,0.587895660222361,0.37140596834188866,0.9551217438547671,0.5928788812763276,0.37531938588420916,0.53,2.220446049250313e-16,0.0007
27,0.41639695411817745,0.5972407588598151,0.3781499215665037,0.9316744612560425,0.6132526234026968,0.3859834634063093,0.5699999999999998,1.1102230246251565e-16,0.00049
28,0.3923633929101563,0.6135729576310188,0.39584390415870646,0.9777609453823923,0.6408777127983435,0.4045262712884267,0.5199999999999998,0.0,0.00049
29,0.36787374580720794,0.6244060946933507,0.4022929858596473,0.979287113029145,0.6549039387847306,0.4105076270040622,0.5499999999999999,1.1102230246251565e-16,0.00049
30,0.35534659612454933,0.6360027899458269,0.41467690412707314,1.000226885770239,0.6563810016702345,0.4042179530152675,0.5399999999999997,1.1102230246251565e-16,0.00049
31,0.3536239412532325,0.6371941185236526,0.4042553752427653,1.069249800340663,0.6402715566818467,0.4005684764290919,0.5399999999999997,1.1102230246251565e-16,0.00049
32,0.3472847050168399,0.6421251590043519,0.41279146881706463,1.0124223279628273,0.6572672513159299,0.41226083580037676,0.5399999999999997,1.1102230246251565e-16,0.00049
