class_index,label,true_count,true_pct,pred_count,pred_pct,pred_minus_true_count,pred_minus_true_pct,over_prediction_ratio
0,Acid anhydride,62,0.0007804534182600924,32,0.00040281466748907994,-30,-0.00037763875077101243,0.5161290322580645
1,Acyl halide,407,0.005123299052126736,293,0.0036882717991968883,-114,-0.0014350272529298474,0.7199017199017199
2,Alcohol,21306,0.26819904079757306,21148,0.26621014337684573,-158,-0.001988897420727332,0.9925842485684784
3,Aldehyde,2032,0.025578731385556577,1600,0.020140733374453997,-432,-0.005437998011102579,0.7874015748031497
4,Alkane,76514,0.9631550458831082,77123,0.9708211125237598,609,0.007666066640651553,1.0079593277047338
5,Alkene,9178,0.11553228181921174,8275,0.10416535542100427,-903,-0.011366926398207475,0.9016125517541949
6,Alkyne,1522,0.019158872622449363,1102,0.013871930111655191,-420,-0.0052869425107941745,0.7240473061760841
7,Amide,20965,0.26390654699714255,22116,0.2783952870683904,1151,0.014488740071247844,1.0549010255187217
8,Amine,33587,0.4227917574048665,32176,0.4050301481602699,-1411,-0.01776160924459662,0.9579896983952124
9,Arene,61509,0.7742727307058068,62020,0.7807051774272731,511,0.006432446721466246,1.0083077273244565
10,Azo compound,54,0.0006797497513878224,37,0.0004657544592842487,-17,-0.00021399529210357372,0.6851851851851852
11,Carbamate,7618,0.09589506677911909,7128,0.08972696718319256,-490,-0.006168099595926537,0.9356786558151746
12,Carboxylic acid,7942,0.09997356528744603,7877,0.09915534799410884,-65,-0.0008182172933371936,0.991815663560816
13,Enamine,1117,0.014060749487040697,574,0.007225488098085372,-543,-0.006835261388955325,0.5138764547896151
14,Enol,255,0.003209929381553606,175,0.002202892712830906,-80,-0.0010070366687226998,0.6862745098039216
15,Ester,14944,0.18811444971740032,14695,0.18498004808600094,-249,-0.0031344016313994034,0.9833377944325482
16,Ether,44933,0.5656147329464634,49625,0.6246774335670497,4692,0.05906270062058635,1.104422139630116
17,Haloalkane,36618,0.4609458591910978,43388,0.5461663372817562,6770,0.08522047809065848,1.1848817521437545
18,Hydrazine,881,0.011089991314308732,655,0.008245112725167106,-226,-0.0028448785891416273,0.7434733257661748
19,Hydrazone,541,0.0068100854722372576,397,0.004997419468536398,-144,-0.0018126660037008598,0.7338262476894639
20,Imide,1479,0.018617590413010913,1217,0.015319545322944071,-262,-0.003298045090066842,0.8228532792427316
21,Imine,595,0.0074898352236250805,313,0.003940030966377564,-282,-0.003549804257247517,0.5260504201680672
22,Isocyanate,92,0.0011580921690311048,92,0.0011580921690311048,0,0.0,1.0
23,Isothiocyanate,74,0.0009315089185684974,63,0.0007930413766191262,-11,-0.00013846754194937123,0.8513513513513513
24,Ketone,6877,0.08656738963507508,6914,0.08703314409435933,37,0.0004657544592842487,1.0053802530173042
25,Nitrile,5240,0.06596090180133685,4780,0.06017044095618132,-460,-0.0057904608451555244,0.9122137404580153
26,Phenol,4625,0.058219307410531086,4608,0.058005312118427514,-17,-0.00021399529210357372,0.9963243243243243
27,Phosphine,65,0.0008182172933371936,32,0.00040281466748907994,-33,-0.00041540262584811367,0.49230769230769234
28,Sulfide,10800,0.13594995027756449,12367,0.15567528102617037,1567,0.019725330748605885,1.1450925925925926
29,Sulfonamide,3649,0.04593346005211415,3517,0.044271849548721695,-132,-0.0016616105033924547,0.963825705672787
30,Sulfonate,901,0.011341750481489407,835,0.01051094522979318,-66,-0.0008308052516962273,0.9267480577136515
31,Sulfone,1905,0.023980060673959292,1846,0.0232373711307763,-59,-0.0007426895431829911,0.9690288713910761
32,Sulfonic acid,1,1.2587958359033748e-05,4,5.035183343613499e-05,3,3.7763875077101246e-05,4.0
33,Sulfoxide,455,0.005727521053360355,296,0.0037260356742739894,-159,-0.002001485379086366,0.6505494505494506
34,Thial,5,6.293979179516874e-05,77,0.0009692727936455986,72,0.0009063330018504299,15.4
35,Thioamide,603,0.00759053889049735,524,0.006596090180133684,-79,-0.000994448710363666,0.8689883913764511
36,Thiol,286,0.003600156090683652,229,0.0028826424642187285,-57,-0.0007175136264649237,0.8006993006993007
