epoch,train_loss,train_f1_micro,val_loss,val_f1_micro,score,threshold_mean,threshold_std,lr
1,0.2170171989902761,0.3155807384565958,0.20018581988784,0.2793999723918435,0.25716411351043433,0.3702702522277832,0.2224007248878479,0.0003
2,0.18703915141234542,0.32349158754334206,0.18611441409275284,0.271611598415499,0.2507831305967085,0.24756760895252228,0.25672999024391174,0.0003
3,0.17241056577704375,0.32666145611225933,0.1766507957934946,0.2731501379956626,0.2522954514706587,0.24702706933021545,0.2560919225215912,0.0003
4,0.16190376353147537,0.27297488756558796,0.1721560638469445,0.24852079475778047,0.23970601492709437,0.08999999612569809,0.19013507664203644,0.0003
5,0.15566726105047451,0.24206344026670426,0.16917206966249432,0.24853636059352843,0.24001648351711702,0.09621621668338776,0.19901584088802338,0.0003
6,0.1484412591622268,0.24301994819900521,0.1660531570503289,0.24813798483609553,0.24371904432485747,0.1156756654381752,0.22203651070594788,0.0003
7,0.1482941885763553,0.2430227465602058,0.16489825920286236,0.24841821497656572,0.24045285387683268,0.09864865243434906,0.20467723906040192,0.00027
8,0.14251797740181765,0.24376435005521957,0.16623305665695035,0.24860654292831638,0.2405679001277401,0.10216215997934341,0.21976809203624725,0.00027
9,0.13424234269479665,0.24482609698088975,0.16419581821864845,0.24869439149168354,0.24012613851915002,0.09972973167896271,0.2148347795009613,0.00027
10,0.12935149589801437,0.24545496518211063,0.16610995157049707,0.24844164546921582,0.24083543412221414,0.09513513743877411,0.20435290038585663,0.00027
11,0.12516628010062789,0.24597217096762428,0.1684625066814087,0.24871374285792394,0.2406746807025787,0.09405405074357986,0.20913539826869965,0.00027
12,0.11927998668424379,0.24679629459220892,0.1708238664401838,0.2486724145824948,0.23984239258073237,0.0948648601770401,0.20815302431583405,0.00027
13,0.11670118576005488,0.2471653442406781,0.1757611159389379,0.2483236618008193,0.24062994649220618,0.09189188480377197,0.20630384981632233,0.000243
14,0.11262615932539939,0.24769860951253458,0.1769489087540959,0.24873634979490333,0.24026077207802504,0.09459459036588669,0.2122032791376114,0.000243
15,0.11085367170488465,0.24792112847502232,0.18050251677653903,0.24855429698953407,0.2404447709281189,0.09081080555915833,0.20641571283340454,0.000243
16,0.11408675621537295,0.24758025047811594,0.18031243307117406,0.24808272570486442,0.24015729816223147,0.09783783555030823,0.21549609303474426,0.000243
17,0.10945009805777586,0.2481515432321469,0.1804634144353872,0.2485676650993992,0.24029902495295838,0.09297297149896622,0.2019481360912323,0.000243
18,0.11222331921389772,0.24778269937192268,0.17789703485579053,0.2485363564713764,0.24008618155108336,0.08918917924165726,0.19299036264419556,0.000243
19,0.11044665619031685,0.24801929833851913,0.18307913538946433,0.24865779459755705,0.24030115650056755,0.08378378301858902,0.17403557896614075,0.0002187
20,0.10987578031481066,0.2480818108222464,0.1836836043484503,0.24832669480690844,0.24026868060246478,0.09513513743877411,0.21426959335803986,0.0002187
21,0.10388366151769866,0.24886891950467635,0.1888679498968731,0.24838250276574853,0.24024478835617494,0.09405404329299927,0.20569536089897156,0.0002187
22,0.10229552729929094,0.24909515554370906,0.18662846642731645,0.24852388400437592,0.24041880676367328,0.09513512998819351,0.20661519467830658,0.0002187
23,0.09821878995916325,0.24963700823068313,0.19395056742145894,0.24859177859038806,0.24007236364786647,0.0878378376364708,0.194840669631958,0.0002187
24,0.10138365680453529,0.24927181068403564,0.1946397406989985,0.2479013598094681,0.23987261415056604,0.09675675630569458,0.2178773730993271,0.0002187
25,0.09654917061285839,0.24983843443201362,0.1989140162481417,0.24811772524395045,0.23999820714731446,0.08378378301858902,0.17020417749881744,0.00019683
26,0.09234330411771251,0.25043177498935276,0.19097566414131645,0.2480969638949672,0.24025911549822693,0.09135134518146515,0.20854920148849487,0.00019683
27,0.09902066624906909,0.249554303671639,0.19734834850121807,0.24794981005077735,0.23958466170964204,0.0878378301858902,0.2014962136745453,0.00019683
28,0.09430903466187006,0.2501596624788139,0.21197653788543283,0.24795954177938062,0.23911075036126245,0.09189188480377197,0.209579199552536,0.00019683
29,0.09200406773168336,0.2504261755707774,0.20044080687076268,0.248242148262238,0.2393783464790991,0.09324324131011963,0.21066243946552277,0.00019683
30,0.09348826113602231,0.2502952707698164,0.20657257054962558,0.24838064681207508,0.24008914730549416,0.08702702075242996,0.1865890920162201,0.00019683
31,0.0826519172865676,0.25161979437876825,0.21319255762335754,0.24858210742749828,0.23986521544690043,0.08054053038358688,0.1832137405872345,0.000177147
32,0.09008967867407171,0.25069134515146846,0.217220243470258,0.24795154994063331,0.23957415083930883,0.09324324131011963,0.21112379431724548,0.000177147
33,0.0803112309618459,0.25189231665001965,0.2243643271720634,0.24795387095429533,0.23943056947751384,0.08999999612569809,0.20633217692375183,0.000177147
34,0.08044941543628935,0.25186924597256544,0.22387315123105456,0.24802684575675796,0.23953665787589987,0.08702702075242996,0.2050822526216507,0.000177147
35,0.09155935806162216,0.25050709354252254,0.20527863288779263,0.24797093163720044,0.243304731897669,0.09783783555030823,0.2115979641675949,0.000177147
36,0.08671894489669628,0.25109855056396796,0.2159843672557389,0.2477387058355405,0.23940650026395066,0.09216215461492538,0.2101111114025116,0.000177147
37,0.07850975005270228,0.2521189199526397,0.22506328714628285,0.24808054701592594,0.24470226590128152,0.08864863216876984,0.19315530359745026,0.0001594323
38,0.08258543702074644,0.2516057373274864,0.22162600393303752,0.24724909928075864,0.24774277689679916,0.09513512998819351,0.20361091196537018,0.0001594323
39,0.07796591098840924,0.2521588787411485,0.20917919885588354,0.2480695508187673,0.2396192899066631,0.08972972631454468,0.2003575712442398,0.0001594323
40,0.07619938945945545,0.25240089919635683,0.23804906122647654,0.247724432363659,0.2479998696315623,0.09297297149896622,0.20103603601455688,0.0001594323
