epoch,train_loss,train_f1_micro,val_loss,val_f1_micro,threshold_mean,threshold_std,lr
1,0.8237443954319329,0.36638233157340794,0.6678825527198113,0.6234156157139848,0.6867567300796509,0.2884445786476135,0.00025
2,0.6555997465252692,0.6035678155881132,0.6097742459390794,0.617421093868983,0.6748648285865784,0.3256479799747467,0.00025
3,0.5794535156656606,0.6100493319620751,0.5769560348621282,0.626508215662891,0.6951351761817932,0.3316594064235687,0.00025
4,0.5229081526501803,0.6091712660502125,0.5698997623513837,0.6009207497533706,0.687027096748352,0.3473285138607025,0.00025
5,0.4763742253172806,0.6098406422203209,0.573813711822883,0.5917870535117671,0.6840540766716003,0.3487697243690491,0.00025
6,0.43266976375900146,0.5734567530999285,0.5969286681990766,0.5776386788954788,0.6808108687400818,0.3680582642555237,0.00025
7,0.40060644491154007,0.5669035219854955,0.5884727559371954,0.5795809358228392,0.6737838983535767,0.3664611876010895,0.00025
8,0.36817722489167026,0.5695206944176077,0.6211745385726538,0.5817583637632223,0.6732433438301086,0.3670264482498169,0.00025
9,0.3392893413987702,0.5721177790228409,0.638245355970221,0.5824806605468345,0.6854054927825928,0.367707222700119,0.00025
10,0.31719547147231986,0.5742173124906875,0.7125649800776709,0.5843283359152616,0.6848649382591248,0.3675015866756439,0.00025
11,0.30025984779712867,0.5761629733487548,0.7139275645074061,0.5850918349100384,0.6859461069107056,0.3705836236476898,0.00025
12,0.2843475419681768,0.5780685250976342,0.7545155048065739,0.5860759622876469,0.6835135817527771,0.36710861325263977,0.00025
13,0.267785317374079,0.5802327044318218,0.8322235186551598,0.587226464449867,0.6859460473060608,0.36830851435661316,0.00025
