epoch,train_loss_avg,train_f1_micro_selector,train_f1_macro_selector,val_f1_micro_selector,val_f1_macro_selector,val_f1_micro_mps,val_f1_micro_ttn,mps_score,ttn_score,mps_active,ttn_active,lr_mps,lr_ttn
1,0.31299547522627325,0.746809148512991,0.45672101143456134,0.8053889239546939,0.6056623490001461,0.8053814690197755,0.6595855781441341,0.7050812509606071,0.5681371137256651,1,1,0.0003,0.0003
2,0.22696404431719647,0.8051764805085599,0.5845072293657949,0.8339816562500798,0.6474004290391382,0.8339390625738532,0.7608108854473302,0.7399466807153927,0.6531925894188848,1,1,0.0003,0.0003
3,0.2016509825750431,0.822566347060951,0.6385046671898762,0.8453507483609108,0.6733024155372825,0.8453417323320725,0.8092165669283502,0.7591680578291965,0.6883554982444064,1,1,0.0003,0.0003
4,0.18414553761153651,0.8341939300647888,0.6810741295648226,0.8532339977497239,0.6891796799140567,0.8532038594435857,0.8159798496777911,0.7707576276547385,0.6981024566183129,1,1,0.0003,0.0003
5,0.1711726744901869,0.843082936619585,0.7207175093187483,0.8588490065226604,0.7074379152764045,0.8588411919539857,0.8224803983868069,0.7826139985272831,0.7080133636331769,1,1,0.0003,0.0003
6,0.15923143536684714,0.8511270034457179,0.760099418058756,0.86300011565997,0.7091394892175278,0.8629938491808221,0.8264589542954925,0.7858072500094798,0.7167818261948924,1,1,0.0003,0.0003
7,0.1498268065313308,0.8598364391542953,0.7924661321360221,0.8652957233848954,0.7193863766304709,0.8658619388909845,0.8292618277555619,0.7923050256386841,0.7160368345990066,1,1,0.0003,0.0003
8,0.1450445687855068,0.8678225866267886,0.8117566536596538,0.8692983555862012,0.702475959569313,0.8692983555862012,0.8190069704010506,0.7858871575777571,0.7033980837671006,1,1,0.0003,0.0003
9,0.1360041328911102,0.8756270051330105,0.8318938429289915,0.8721040548473666,0.7242217028985397,0.8719965725650604,0.8303262270193031,0.7978504776315583,0.7179916011745675,1,1,0.0003,0.0003
10,0.1318757754783263,0.883333428274051,0.8559747776154834,0.8724045375286534,0.7275962781440573,0.8728040143219298,0.8226507584753027,0.8000800261128733,0.7067738936725082,1,1,0.0003,0.0003
11,0.1273294048231024,0.8906259784378392,0.8659027454107421,0.8744754800430228,0.7280164483163706,0.8747082650270539,0.8370725123371818,0.8011150478073962,0.7301766916469671,1,1,0.0003,0.0003
12,0.1197224119360123,0.8972237304228352,0.8774949690209721,0.875061415243034,0.7312887527922666,0.8757692221955597,0.8346795027997178,0.8031943962047972,0.7241211121831979,1,1,0.0003,0.0003
13,0.11760256198856117,0.903445026761911,0.889335455436039,0.8759090372275513,0.7265007645123026,0.8758282620732728,0.8373559804144812,0.800116185708869,0.7357801819531354,1,1,0.0003,0.0003
14,0.11199403944037675,0.909045755751269,0.8955250729281733,0.8770063603794132,0.7184919171222424,0.8770333971674488,0.837816189032244,0.7970334525792393,0.7293973798386967,1,1,0.0003,0.0003
15,0.10747845371365083,0.9150232556385516,0.9022229725058971,0.8775846625758825,0.731365038440218,0.8778401637193682,0.8422572667416092,0.8034688683610969,0.7354570472488919,1,1,0.0003,0.0003
16,0.10275321133825202,0.9204458364062518,0.9093129309348077,0.8772002680929915,0.730486255851829,0.8778766137582842,0.8425853681660306,0.8036128005449119,0.7516984103565182,1,1,0.0003,0.0003
17,0.10784778644341274,0.9254070558425809,0.9150733745327269,0.8755973521811466,0.7319472885078443,0.8773056344115402,0.8383265262761792,0.8041039907032743,0.7337362062526096,1,1,0.0003,0.0003
18,0.10269133583117289,0.9299204049539622,0.920307870369199,0.8780295286544768,0.7298898719914588,0.8779804347711689,0.8408841222159907,0.803341949891513,0.7491560036384508,1,1,0.0003,0.0003
19,0.09524001489509694,0.9346878899718088,0.9260432884658304,0.8784190361172565,0.7320078914306721,0.8783666537446235,0.8439843968968648,0.8047290471024534,0.7522777301829175,1,1,0.0003,0.0003
20,0.09756217164738978,0.9387036509001637,0.9303373712773574,0.8785947315561798,0.7290548823763153,0.8785883267297356,0.8360373965739004,0.8037008578749019,0.7286854616433311,1,1,0.0003,0.0003
21,0.0952866315047848,0.9419861355979807,0.9318265775092187,0.8779289215041141,0.7301365046613754,0.8778136063912397,0.8450115360593232,0.8033540363112596,0.7542980308578527,1,1,0.0003,0.0003
22,0.09376813759406365,0.9454006053905705,0.9390564130126103,0.8784327379869008,0.7298460408658504,0.8787186320816951,0.8382236927766672,0.8039351601664257,0.7427049278594602,1,1,0.0003,0.0003
23,0.09663327059440384,0.9488202442308646,0.9403010841791762,0.8781008247765296,0.7298654427795707,0.8780541852428312,0.8397031463818403,0.8034272017519,0.7366134746211525,1,1,0.0003,0.0003
24,0.09190202329131572,0.9514002231892327,0.9430676154343431,0.8786121065937604,0.7298310745704479,0.8785989579003897,0.8443516042780749,0.8038327286503087,0.741605005402389,1,1,0.0003,0.0003
25,0.08851389037621027,0.9542338621698683,0.9458050865085339,0.8781295839335516,0.7319180024627165,0.8781257941633847,0.8317047104784112,0.8048104406547845,0.7333774263905881,1,1,0.0003,0.0003
26,0.08761174806866352,0.9567973432496024,0.9497997276999612,0.8774139743149582,0.729870938545299,0.8784437470285561,0.8439473028800604,0.8039729896715199,0.7525839055000256,1,1,0.0003,0.0003
27,0.08430978242629308,0.9590373958425429,0.9517327379332503,0.8778793076891684,0.7303561929917168,0.8777428476643339,0.8482247386445798,0.7899234451520054,0.7588064833864634,1,1,0.0003,0.0003
28,0.08702359836475874,0.9602479733831449,0.9501940559396221,0.8777808034287202,0.7168560895706944,0.877779970269808,0.8400497525170576,0.7972566401808856,0.7347599566535745,1,1,0.0003,0.0003
29,0.08352715053674829,0.9629882573410758,0.9529883503960761,0.8777851786880164,0.7286503870722387,0.8777856328873507,0.8416017584327457,0.8031906953457385,0.7483778413305304,1,1,0.0003,0.0003
30,0.08065985610784003,0.9653029392225325,0.955333272320383,0.8778086582170028,0.7291505326782974,0.8777639531455153,0.8488587339376893,0.8032689245302136,0.7602430768792157,1,1,0.0003,0.0003
31,0.07928592951432811,0.9667132818327925,0.9559929408954762,0.8786052836565755,0.731562581896849,0.8785453431599072,0.8437846090917159,0.8047272153489484,0.7470827193593916,1,1,0.0003,0.0003
32,0.0837228611271102,0.9681402060090641,0.9558276517145975,0.8782083397056264,0.7243364069703216,0.8781983079472687,0.8434328578676616,0.8008131090351427,0.741147991630529,1,1,0.0003,0.0003
33,0.07561331391473224,0.9696900889338631,0.9599488254078767,0.8778618694773547,0.7127306337694119,0.8778426992415946,0.8510658135496428,0.7915111955523527,0.7512197552021261,1,1,0.0003,0.0003
34,0.07276908891284398,0.9710583342511416,0.9626130258351093,0.8773718665008117,0.7092077570473567,0.8772833359470646,0.8510922819462033,0.7888969415118803,0.7509935064286213,1,1,0.0003,0.0003
35,0.07174710950565526,0.9722211889149429,0.9624817782542392,0.8782656518510801,0.7142770791352154,0.8781498638752295,0.8535825545171339,0.7899050869711257,0.7574760288342444,1,1,0.0003,0.0003
36,0.06789279320749908,0.9734901560545203,0.9649883436989338,0.8772404018530446,0.7168466212535306,0.8771838757148936,0.8550515208073748,0.7897968402865261,0.7602315834042463,1,1,0.00023999999999999998,0.0003
37,0.06873151762245094,0.9770989677962978,0.968199766676227,0.8778419634251093,0.7305771822905872,0.87784081222641,0.8404732147530457,0.8041392103034657,0.7359034656039856,1,1,0.00023999999999999998,0.0003
38,0.06781544756256017,0.979456848520773,0.9711703850794589,0.878014953379248,0.734595146772602,0.877923615908418,0.8531726836990458,0.8057405829633226,0.763000428499929,1,1,0.00023999999999999998,0.0003
39,0.06648805348905529,0.9804356517747405,0.9729590546709678,0.8784510756565268,0.7313943044259279,0.8783687373799864,0.8529873048725011,0.803970779355967,0.764043826930931,1,1,0.00023999999999999998,0.0003
40,0.06457461094069548,0.9811045904360679,0.9736616322864236,0.8794527104662248,0.7320206184446686,0.8794143196569693,0.852482337376478,0.8054880435531937,0.7612842352858081,1,1,0.00023999999999999998,0.0003
41,0.07027229332414832,0.9816899867294897,0.9743321131147058,0.8771864782466368,0.7312961752913514,0.8775532754538279,0.8424474732820798,0.8035607681152368,0.7477195541133536,1,1,0.00023999999999999998,0.0003
42,0.06813754730662722,0.9820551900960023,0.9760576077624974,0.8775139377508663,0.7315918315670698,0.8784162472462127,0.8381326397384626,0.8043852140844241,0.72585171680501,1,1,0.00023999999999999998,0.0003
43,0.07099019248523893,0.9821255900368129,0.974128016430652,0.8769633645508516,0.7306187529057,0.8777719144254696,0.8497933677592138,0.7903874496210934,0.7570283566464104,1,1,0.00023999999999999998,0.0003
44,0.06308763288255012,0.9826179588485897,0.9721584166791041,0.8779197617895246,0.7334141835417658,0.8777770616776998,0.8529869594350806,0.7916449829100607,0.7635985028037469,1,1,0.00023999999999999998,0.0003
45,0.06369402431109623,0.9830620603580724,0.9765176966128966,0.8782209745949263,0.7243274211452051,0.8782198204260151,0.8389003198533418,0.7990213685333578,0.7345147809954018,1,1,0.00023999999999999998,0.0003
46,0.06676102028222702,0.9834910280117236,0.9765665686648317,0.8780954136655122,0.7253410314480508,0.8779911015838865,0.8510088727126348,0.7921965393448568,0.7539551486422067,1,1,0.00023999999999999998,0.0003
47,0.06953490100352236,0.9837129275183827,0.9738674688006591,0.8778788434613817,0.7245041038542892,0.8778112309385151,0.8506611749122904,0.791731629392215,0.7531547797852818,1,1,0.00023999999999999998,0.0003
48,0.06079584594222768,0.984065927281438,0.9771287668836453,0.8779789031595137,0.7348488249862253,0.8778438358658043,0.8560190579766436,0.7922513713945887,0.7675134287939064,1,1,0.00023999999999999998,0.0003
49,0.058181887168697814,0.9844670284397462,0.9775738544766644,0.8781964971196544,0.7238199794329703,0.8780823346593242,0.8570521089237909,0.7916303633814578,0.7628016731815414,1,1,0.000192,0.0003
50,0.05943649308281189,0.9863159718628435,0.9788218422160273,0.8793372196506527,0.7187219143374887,0.8793125466554848,0.8516056984652609,0.793245540075205,0.7485616260787842,1,1,0.000192,0.0003
51,0.062128704160777676,0.9877898614102125,0.9819791746697657,0.8793938073833522,0.7336805596574487,0.8793365689810878,0.8522768606648519,0.7924477901222116,0.7578519255965337,1,1,0.000192,0.0003
52,0.06038935231219159,0.9882170180343705,0.9828172024300044,0.8795704551821839,0.7324716136647181,0.8794103690348574,0.8529155900309139,0.7915038196198148,0.7616109892925322,1,1,0.000192,0.0003
53,0.06359446125145217,0.9883936412387313,0.982818010801779,0.8787746285955116,0.7261226522954558,0.8787428580460088,0.8451910119886529,0.8018809572202794,0.738663011683204,1,1,0.000192,0.0003
