epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,threshold_mean,threshold_std,lr
1,0.35019806361595374,0.6890569924258371,0.26311986119637354,0.3200355741616827,0.688504322122621,0.356634333268078,0.5225693276953495,0.44540539383888245,0.17000149190425873,0.0003
2,0.29763340141296285,0.7314734196756969,0.3684741940866649,0.29607524652295664,0.7124521012017443,0.401785644228556,0.5571188727151501,0.49243247509002686,0.18373607099056244,0.0003
3,0.25275821684007155,0.7576322369578171,0.45113165902109664,0.2850238897320073,0.7496167274957222,0.433300029369021,0.5914583784323716,0.5810810923576355,0.21625538170337677,0.0003
4,0.20692934725310203,0.7869498322244887,0.5393053323359649,0.2866625992681812,0.7671300279833564,0.45071406875230113,0.6089220483678288,0.6062162518501282,0.2388864904642105,0.0003
5,0.17410995001200885,0.8113035226407307,0.6006972276440552,0.305299370780536,0.770280787127258,0.4506451383558813,0.6104629627415696,0.6221621036529541,0.25338929891586304,0.0003
6,0.15186507720718728,0.8302737657556658,0.6347653565599229,0.3210439809389152,0.7761240523847095,0.45762776276819406,0.6168759075764518,0.6081081628799438,0.22122310101985931,0.0003
7,0.13805706313922678,0.8435012260558294,0.6614840214520299,0.32931645921509806,0.773554126716313,0.4542465103834997,0.6139003185499063,0.6451351642608643,0.25212201476097107,0.0003
8,0.13592250538290873,0.8453897192765217,0.648027212343404,0.33865906695651155,0.7732911771642752,0.4492918609949175,0.6112915190795963,0.6421621441841125,0.2624019384384155,0.0003
9,0.12688155030545864,0.8542815930551688,0.6792318126722799,0.34379387862653144,0.7774042677579656,0.4589707638118177,0.6181875157848916,0.6610811352729797,0.2543330788612366,0.0003
10,0.11376207328268081,0.8674849696565677,0.6970089426221081,0.378757186269918,0.7797892252656583,0.4598876273340935,0.619838426299876,0.6083784103393555,0.25527423620224,0.0003
