epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,threshold_mean,threshold_std,lr
1,0.2980150712842823,0.7517476997788635,0.3877441989804164,0.30796405435328755,0.7858172635846534,0.5148211119327999,0.6503191877587267,0.3778378367424011,0.1627323180437088,0.0003
2,0.2053792404274311,0.8063373489001504,0.5334649080651829,0.2747052276842784,0.8298823253370331,0.5767386674636241,0.7033104964003286,0.4578377902507782,0.1855180263519287,0.0003
3,0.1812738891403432,0.8196014699565964,0.5736942113964045,0.2673227585394457,0.8386300206535765,0.5891005719473139,0.7138652963004453,0.45675668120384216,0.17444978654384613,0.0003
4,0.16898334068602383,0.8252224325387028,0.5929049344853123,0.25887118016424976,0.8418786979349834,0.6193491280927231,0.7306139130138533,0.5027026534080505,0.20634068548679352,0.0003
5,0.15516115659906782,0.8341689357999046,0.6286443058826565,0.25885076990720607,0.8434994916058008,0.6046969191664779,0.7240982053861393,0.5324324369430542,0.23092535138130188,0.0003
6,0.14955378698537605,0.8361671291360249,0.6339409149367612,0.26264145595189425,0.8451514817945613,0.6216126253542409,0.7333820535744011,0.5248648524284363,0.21376445889472961,0.0003
7,0.14595586130979507,0.8376911372772982,0.6437355062182679,0.2558882620579527,0.8494201583429766,0.6199864218524163,0.7347032900976964,0.5632432699203491,0.2455006241798401,0.0003
8,0.14390638656289662,0.8379690540164921,0.6375257664054649,0.26953228091425285,0.8423804750058788,0.6108225402519031,0.726601507628891,0.5545946359634399,0.22515574097633362,0.0003
9,0.14276938400385294,0.8383898459268586,0.6455253083167966,0.25876443709011404,0.8508010878470783,0.6364951602158884,0.7436481240314834,0.5448647737503052,0.2319089025259018,0.0003
10,0.14044821228201906,0.8401689989993434,0.6428500553186548,0.2541225747429472,0.8494434559308913,0.6305347649484363,0.7399891104396639,0.5789189338684082,0.2484523206949234,0.0003
11,0.13058370031874678,0.8481134516991665,0.6718762001908788,0.27931340079893396,0.8503265457345645,0.634346241874994,0.7423363938047792,0.499459445476532,0.21512970328330994,0.0003
12,0.12781495869997603,0.8487426014197942,0.6914487564553273,0.26757085972802275,0.8485510458986879,0.6100859006789375,0.7293184732888127,0.5545946359634399,0.23899105191230774,0.0003
13,0.13093897820061046,0.8462408755685267,0.6621348256518035,0.2683340103244493,0.8527485498413506,0.6351779098584991,0.7439632298499248,0.5513514280319214,0.21427643299102783,0.0003
14,0.12316278915190626,0.8522024654955833,0.6934239424307433,0.27863314877764095,0.8510726072607261,0.6281115646272324,0.7395920859439793,0.5427026748657227,0.24000728130340576,0.0003
15,0.131166265059629,0.8443019497354659,0.6592339835848232,0.2780105041863335,0.8462992653569121,0.6129888544180335,0.7296440598874728,0.5556756854057312,0.2590266466140747,0.0003
16,0.1438343273225366,0.834211296331377,0.6222687379937063,0.2702309917797375,0.8477065783758057,0.6085796692796756,0.7281431238277406,0.5881081819534302,0.2510608434677124,0.0003
17,0.15357881170012938,0.8270620510810682,0.5965760792093178,0.26489601871458307,0.8447279927217702,0.6228366588417571,0.7337823257817637,0.564594566822052,0.23238591849803925,0.0003
18,0.15385578326260277,0.8271156511730571,0.5972809821486182,0.2853113879820131,0.8359815383851877,0.6019600363638253,0.7189707873745066,0.5291892290115356,0.24475444853305817,0.0003
19,0.15812984747192008,0.8241703915900931,0.5877220856174258,0.2703253900806709,0.8413352461439119,0.6086635937329551,0.7249994199384335,0.5237838625907898,0.22265414893627167,0.00027
20,0.15391767858033623,0.8281204128023532,0.5999361070388701,0.26690529726543216,0.8454054098794862,0.6181031121946468,0.7317542610370664,0.5324324369430542,0.2147708386182785,0.00027
21,0.14329182822160122,0.836328979648274,0.640974267913685,0.26839199263943886,0.8466117628311588,0.6258538404569021,0.7362328016440305,0.5583783984184265,0.2340421974658966,0.00027
22,0.14050206198151866,0.8386165233843397,0.6520448031333721,0.26115781246475345,0.8518482369065914,0.6341194324683999,0.7429838346874956,0.5670270919799805,0.24049346148967743,0.00027
23,0.13896628326108915,0.8397094383649387,0.640227948745797,0.2598454664691097,0.8491995179893269,0.6287506832006717,0.7389751005949994,0.5910810828208923,0.244084432721138,0.00027
24,0.13402362744832802,0.8437844274081053,0.6587811757327595,0.26756047538039907,0.8515970069246998,0.6306553433417392,0.7411261751332194,0.5699999332427979,0.23896171152591705,0.00027
25,0.13651315285622997,0.8407251384649473,0.6524695818187206,0.29828688323137625,0.8385424099709814,0.6002646457673331,0.7194035278691573,0.5067567825317383,0.24201913177967072,0.000243
26,0.13071937757333205,0.8451911808439692,0.670289215182162,0.269302163785558,0.8551783988646868,0.626638060579315,0.7409082297220009,0.5545946359634399,0.23758460581302643,0.000243
