epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,selected_metric_score,lr
1,0.46678061847617563,0.5249046201142258,0.10218214988037082,0.5215078662239958,0.2868342136909564,0.2099685207709772,0.24840136723096679,0.20996852219104767,0.0003
2,0.4138059555157992,0.5796834782249145,0.08428938899199802,0.4873714574968628,0.4097640986058179,0.2549621471063479,0.33236312285608294,0.25496217608451843,0.0003
3,0.36756368333355277,0.6648686472684471,0.17062901142396597,0.43293734666270994,0.5897585566463253,0.30278373476086334,0.4462711457035943,0.302783727645874,0.0003
4,0.3347719519172846,0.6882890765906534,0.2213089649180287,0.41580134437456473,0.6369368336581451,0.32871940903491054,0.48282812134652786,0.32871943712234497,0.0003
5,0.31994257133951565,0.6976644716323748,0.24550848838264108,0.40713746046740934,0.6694479322775325,0.35044169720134005,0.5099448147394363,0.35044169425964355,0.0003
6,0.30756283655367445,0.7066598429051423,0.2653978059668865,0.3960643663089166,0.6844836106078076,0.36646805300773816,0.5254758318077729,0.36646804213523865,0.0003
7,0.29648662819920923,0.7173965866869304,0.30320287294602827,0.3777877156059669,0.709291472210437,0.3951013505008519,0.5521964113556445,0.3951013386249542,0.0003
8,0.2856301928337945,0.722522228638686,0.32279887598496193,0.3683227277514308,0.7085141340523233,0.4142489713840897,0.5613815527182066,0.4142489731311798,0.0003
9,0.28004779384809597,0.7258024669572429,0.33716347393424506,0.36563948054735135,0.724709567941522,0.4181011911398985,0.5714053795407102,0.4181012213230133,0.0003
10,0.2733627561483105,0.7318105614249695,0.34832209530438346,0.3614855802560315,0.7185533235623761,0.42595687253345466,0.5722550980479154,0.4259568750858307,0.0003
11,0.269491716747256,0.7352724206976499,0.36229154026608895,0.35472449420744506,0.7323918915951069,0.4292573088419883,0.5808246002185475,0.4292573034763336,0.0003
12,0.2653534608020212,0.7370128870852148,0.36673146740313883,0.35663941010607914,0.7378993813884392,0.43930673085491223,0.5886030561216757,0.43930673599243164,0.0003
13,0.26057284486350235,0.7405806839791478,0.3750807305313659,0.3528607204662017,0.7510917030567685,0.44623278377688025,0.5986622434168244,0.4462328255176544,0.0003
14,0.2576663072108442,0.7433511573911208,0.38433072283524955,0.3495760071055501,0.7509352681101916,0.4519425442007824,0.601438906155487,0.4519425332546234,0.0003
15,0.25488486064472987,0.745864846584271,0.3831805694234516,0.348207171009363,0.7467541219282088,0.453908892309457,0.6003315071188329,0.45390886068344116,0.0003
16,0.25075438821667284,0.7472846462476157,0.39105928399536394,0.3446521408234077,0.7524573085111201,0.4580651543180518,0.605261231414586,0.4580651819705963,0.0003
17,0.2488090657312967,0.7485482124934807,0.3987561149554485,0.34716355092972656,0.756580596640762,0.46182270081255006,0.609201648726656,0.4618227183818817,0.0003
18,0.24563594327611937,0.7524140865956224,0.4126446619264679,0.34617054791479135,0.7593680696860925,0.46425418684816366,0.6118111282671281,0.4642541706562042,0.0003
19,0.24395508921019735,0.7524159985981513,0.4088421457298562,0.3381419847213124,0.7596699685137092,0.4652715847009302,0.6124707766073196,0.46527165174484253,0.0003
20,0.24207015196397444,0.7531067787046231,0.41458189693570513,0.34087496417685587,0.7589187201176903,0.4706146279774872,0.6147666740475888,0.4706146717071533,0.0003
21,0.23998740091320456,0.7536773228477328,0.41614338592990857,0.34126684132505647,0.7690665181265376,0.4695359129448993,0.6193012155357185,0.4695358872413635,0.0003
22,0.23695692171739155,0.757306937272922,0.4232393159257034,0.34039994392774636,0.7669936526255049,0.47212605290261295,0.6195598527640589,0.4721260964870453,0.0003
23,0.23662555322659667,0.7570261652033373,0.42430925662874636,0.33453468979781764,0.7696802543006731,0.4789298373104792,0.6243050458055761,0.4789298176765442,0.0003
24,0.23422367480911999,0.7584192019033956,0.42261505597186266,0.3306002311149229,0.7677679067184897,0.4832827460825823,0.625525326400536,0.48328274488449097,0.0003
25,0.23192287276806905,0.758649295307288,0.430940600716872,0.33593924188011787,0.7676925912274235,0.48349662304135516,0.6255946071343893,0.48349669575691223,0.0003
26,0.23147422186096733,0.7608855606591637,0.430073422556894,0.32757549688637644,0.7672728106583503,0.4845157869768669,0.6258942988176086,0.48451584577560425,0.0003
27,0.2286778731533271,0.7603301461066565,0.43452859860374593,0.3326231659165448,0.7745235426008968,0.485751536208196,0.6301375394045464,0.48575159907341003,0.0003
28,0.22697502598823271,0.7619574835343501,0.4422821318488738,0.33384542124966016,0.7759844456417344,0.49019993010710455,0.6330921878744195,0.4901999533176422,0.0003
29,0.22515425623569182,0.7632697500217751,0.4489980104386316,0.3336012744062821,0.7762711864406779,0.4886861220429925,0.6324786542418352,0.48868611454963684,0.0003
30,0.22524887607211158,0.7630128811078537,0.4436071471785236,0.33056139286514574,0.7745143600706386,0.4897972247805779,0.6321557924256083,0.4897972345352173,0.0003
