epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,1.2440962299607785,0.29477952830515125,0.19694932305327364,1.4110163730703522,0.3025763284624506,0.2019661585799363,0.3299999999999999,5.551115123125783e-17,0.001
2,1.0934078374743017,0.3149662702838553,0.21835358854549672,1.1452733962924004,0.3580695452157492,0.21854685749139907,0.4599999999999999,5.551115123125783e-17,0.001
3,0.9777527318882129,0.3399440800873946,0.22552030785652213,1.6294741369749646,0.24866429419387825,0.17878410533528816,0.19999999999999998,2.7755575615628914e-17,0.001
4,nan,0.281819943019943,0.18544854678372125,nan,0.2711847722355772,0.190154363887384,0.39,1.1102230246251565e-16,0.001
5,nan,0.26503107414087357,0.18508617777813338,nan,0.2711847722355772,0.190154363887384,0.39,1.1102230246251565e-16,0.001
6,nan,0.23334158189950382,0.1523776482550387,nan,0.0,0.0,0.5,0.0,0.001
7,nan,0.0,0.0,nan,0.0,0.0,0.5,0.0,0.001
