fold,epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,1,1.2209412710096432,0.24649504830938226,0.15669214091165257,1.1485312779614414,0.242648983610355,0.16104668724903906,0.5,0.0,0.00025
1,2,1.207376669463474,0.2559497303961335,0.1625399091209775,1.1472812347173453,0.2715283261031552,0.16450508656672144,0.5,0.0,0.00025
1,3,1.1973044389488199,0.2588216274781967,0.1635607937874689,1.1385288389185788,0.2747308391101125,0.17000632429609563,0.5,0.0,0.00025
1,4,1.1787466091216896,0.25801698128562256,0.1644141417224344,1.1429449632459803,0.24665991521809832,0.16312305445075365,0.5,0.0,0.00025
1,5,1.1733915846757264,0.2601218821111954,0.1654207926596598,1.140190704357672,0.2690661651233371,0.16823798414978627,0.5,0.0,0.00025
1,6,1.1687963968835393,0.26304659888286225,0.1662814085972987,1.1462727228402296,0.24574093403777467,0.16391147619298788,0.5,0.0,0.00025
1,7,1.157796739789303,0.25808988699528584,0.16562009183054158,1.1424104239491932,0.26027704998150875,0.16806731541050898,0.5,0.0,0.00025
1,8,1.144240104783597,0.256873109563613,0.16578700804790647,1.1554882992829691,0.28533077442261623,0.1721889006940083,0.5,0.0,0.00025
1,9,1.1531688716473374,0.25868432851470985,0.16639060257689645,1.153733256058538,0.2758162945261743,0.1715579009662772,0.5,0.0,0.00025
1,10,1.14475801631162,0.25965133558366216,0.16644877356143797,1.143228468766387,0.2676607777124087,0.1709969321480748,0.5,0.0,0.00025
1,11,1.142717996963837,0.2601413374165535,0.16706842487756984,1.1618661072944427,0.26946163975870147,0.16975578786111828,0.5,0.0,0.00025
1,12,1.1595845683684367,0.2610286604836903,0.1670488367824238,1.149194122381188,0.27298639678531056,0.17032726504725373,0.5,0.0,0.00025
1,13,1.1434893027327795,0.2621000952327323,0.16738873768437665,1.152908405246404,0.27887773879684236,0.1710351618650456,0.5,0.0,0.00025
1,14,1.132476344044145,0.2607577645985324,0.16720156462596594,1.1568670241179462,0.2660754798945858,0.16995782991736563,0.5,0.0,0.000175
1,15,1.1204417612090898,0.2617151088334932,0.1679588409231361,1.1836340113472832,0.2775816237167792,0.17251151526761846,0.5,0.0,0.000175
1,16,1.1317195769632193,0.2614047826842081,0.1679310312969902,1.2115192308438028,0.28135139845661117,0.1747412748715916,0.5,0.0,0.000175
1,17,1.1219016272132045,0.2630220787000935,0.16822678319330722,1.1871337072046841,0.2622854500913992,0.17013966928273477,0.5,0.0,0.000175
1,18,1.1161565978779386,0.2634939237066769,0.1683328279696263,1.19079403310271,0.2648552336272128,0.16916967383134626,0.5,0.0,0.000175
1,19,1.1160854710454489,0.2637616130019084,0.16869255634518088,1.2137525513582683,0.2676567512199891,0.17046170011155523,0.5,0.0,0.000175
1,20,1.1319033563106011,0.262648650627907,0.16842021280332767,1.1980167490269646,0.26968041755978917,0.17122208212570764,0.5,0.0,0.000175
1,21,1.1194230586074223,0.2624796923122044,0.16835050825262668,1.2042227715857448,0.2770829791260999,0.17257018156893328,0.5,0.0,0.000175
1,22,1.111474406887821,0.2628742933129421,0.16856028976587564,1.1940927889527118,0.26487340049006264,0.16972158588377845,0.5,0.0,0.000175
1,23,1.1089606150829285,0.26141830626701107,0.16843917014587664,1.2230456224841817,0.2601465340940496,0.16978409799826072,0.5,0.0,0.000175
1,24,1.1024652456786346,0.2625019010113963,0.16870638756660086,1.2207152717364786,0.2665216050927239,0.1720443131433804,0.5,0.0,0.000175
1,25,1.1179752448939329,0.26300419390722135,0.16870458056365698,1.2323536416365766,0.2629367628591442,0.16986944061277062,0.5,0.0,0.0001225
1,26,1.090574700892793,0.2638712698553692,0.16872933888324285,1.2434141369733074,0.2585681191231132,0.16951995154212354,0.5,0.0,0.0001225
1,27,1.0943577093587444,0.2640170414845757,0.1689905302111888,1.2470345411281931,0.2718508139412801,0.17081937439315675,0.5,0.0,0.0001225
1,28,1.099184744889893,0.26324848443258436,0.16896555630600482,1.2510409362306438,0.2702615114665436,0.17197664170270857,0.5,0.0,0.0001225
