epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,threshold_mean,threshold_std,lr
1,0.3890632413124606,0.6478814454599432,0.1810908745223517,0.35859506186468554,0.6861512722202858,0.2377113045160327,0.4619312883681593,0.5,0.0,0.0003
2,0.34255769634408667,0.6947432340904786,0.2672053923748009,0.3374948651939689,0.6947995635620137,0.2852862156150144,0.49004288958851405,0.5,0.0,0.0003
3,0.32598405800401953,0.7043685613575777,0.30519627697821533,0.3316369586706633,0.7061533731962221,0.29985125313144356,0.5030023131638328,0.5,0.0,0.0003
4,0.3119697616968235,0.7112677173995627,0.3364744735230422,0.32845960686418735,0.7065507746953598,0.3070519971806155,0.5068013859379876,0.5,0.0,0.0003
5,0.30317496288042206,0.713494305123007,0.35955448175646504,0.32920316195735877,0.7055416590623624,0.30818664237929455,0.5068641507208285,0.5,0.0,0.0003
6,0.2923450186792344,0.7171599027187493,0.38795166663140784,0.3312893624709597,0.7065977599454661,0.31195342383268554,0.5092755918890759,0.5,0.0,0.0003
7,0.28221461180923924,0.7201059259597464,0.40034426151542835,0.33359110804319675,0.703210524202722,0.31225347994820324,0.5077320020754627,0.5,0.0,0.0003
8,0.2676921150728291,0.7265438482765674,0.44149129303961304,0.3383431542344529,0.7018526593691499,0.32130567648641456,0.5115791679277822,0.5,0.0,0.0003
9,0.25927237953378124,0.7289291394117305,0.46932078592245047,0.3433654569405008,0.7004133343309011,0.3187580932192163,0.5095857137750587,0.5,0.0,0.0003
10,0.24997855187706414,0.7330008059170651,0.4937328179580297,0.34847005484343985,0.7022305934419104,0.31687781003954124,0.5095542017407259,0.5,0.0,0.0003
11,0.24660836805345568,0.7330556271096907,0.4966632498811956,0.3550878916759163,0.7024350291548802,0.31973212756896713,0.5110835783619236,0.5,0.0,0.0003
12,0.2541858634455537,0.7270711592198601,0.4608764231270819,0.35321436380130844,0.6948091082986139,0.3108973076118113,0.5028532079552126,0.5,0.0,0.0003
13,0.24887149290147065,0.7296884356516419,0.4754678014314445,0.3565875901995201,0.6995032141134132,0.3161573051408556,0.5078302596271345,0.5,0.0,0.0003
