epoch,train_loss,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,score,lr
1,0.07077759632750813,0.36902728584590117,0.22473377018926846,0.45915334830273413,0.403231526621244,0.4311924374619891,0.0003
2,0.038650052697668344,0.7217807902048434,0.29349604517911737,0.46225706353094886,0.41101813152455574,0.43663759752775233,0.0003
3,0.03625068206192059,0.7534828566004294,0.32791808129617456,0.46253221212532214,0.4121344857840592,0.43733334895469067,0.0003
4,0.03535129548894225,0.771489947119057,0.3625216941368904,0.4628332797944105,0.41312748560903084,0.4379803827017207,0.0003
5,0.03489788022255757,0.7824379649969542,0.3798718521962353,0.46261811891044996,0.4127158964786853,0.4376670076945676,0.0003
6,0.034632827834787064,0.786698095055652,0.39491722268640456,0.4640652450719662,0.4132331333331559,0.4386491892025611,0.0003
7,0.03442278197207222,0.7941140191073655,0.4030860965405586,0.4639367373725916,0.4142020416475683,0.43906938951007995,0.0003
8,0.034281660238022885,0.7965733444304444,0.4146134611943217,0.46393458271023574,0.41368907126979754,0.43881182699001664,0.0003
9,0.03416792490639569,0.8002416687365896,0.41742750776918514,0.4638131024342428,0.4131705419560626,0.4384918221951527,0.0003
10,0.03407965140653392,0.802813897915399,0.4234250711620394,0.4644886132408719,0.413494744315105,0.43899167877798845,0.0003
11,0.03397975791737719,0.8041412759992099,0.42628862419337304,0.46328868807487494,0.4141012242950401,0.4386949561849575,0.0003
12,0.03390973919004018,0.8068817600181811,0.42866180935895215,0.46355882923047104,0.4121927151581614,0.4378757721943162,0.0003
13,0.03381742270116445,0.8080289862994849,0.43941536949720506,0.46410641354706444,0.41339474014819294,0.4387505768476287,0.00027
14,0.033759840930859514,0.8114805016339698,0.4453936547491125,0.4645175951175172,0.4134148751470906,0.43896623513230393,0.00027
15,0.0336950795264244,0.8138903435162878,0.44174806117291177,0.46448798906321204,0.41387540706144704,0.43918169806232954,0.00027
16,0.03366824060962215,0.8135789573995925,0.4471287673633744,0.4634737951454524,0.4123195568556299,0.43789667600054116,0.00027
17,0.0336121776032275,0.8152143055756353,0.4508181218984504,0.4633270197896937,0.4132433444332384,0.43828518211146605,0.00027
