epoch,train_loss,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,score,lr
1,0.013705923597386833,0.8864426967940955,1.2614897404192438,0.48908827200053967,0.39386638426258586,0.44147732813156276,0.0003
2,0.010626853230848127,0.8893493569027512,1.2570535810332284,0.49503505011297144,0.3945482865528947,0.44479166833293304,0.0003
3,0.010269522063801322,0.8901920560882162,1.2416013221726316,0.4828588471341034,0.3932425118702514,0.43805067950217735,0.0003
4,0.010160952833672373,0.8902532619870966,1.2536012681589386,0.49204978526936316,0.39362786741461975,0.44283882634199145,0.0003
5,0.010075347632622576,0.8903354939477878,1.2528688981693916,0.4929049835395618,0.39454932456669106,0.44372715405312646,0.0003
6,0.010057593452664812,0.8904191982574712,1.2557472740895559,0.4882295731242896,0.3936132134023575,0.4409213932633236,0.0003
7,0.010040541793500148,0.8903375521688999,1.2517564523015978,0.4895152149271951,0.3943932948284345,0.4419542548778148,0.0003
8,0.010007535449994717,0.8905728657039133,1.2519049184199906,0.49477935955487784,0.3944065329318496,0.4445929462433637,0.00027
9,0.010001300385376326,0.8908964150749414,1.2520582640159046,0.483472431404079,0.3917032869892544,0.43758785919666665,0.00027
10,0.009977901272050777,0.8903788257996244,1.2591409698113694,0.49311372833516587,0.39409303233048304,0.4436033803328244,0.00027
11,0.010005614796608128,0.8907191143213815,1.2513263040919078,0.4912899817932523,0.3950782346642554,0.44318410822875387,0.00027
12,0.009929778336611596,0.8907970884852559,1.2548644278104693,0.49424028941355674,0.3945726542674985,0.4444064718405276,0.00027
13,0.00996205804752091,0.890854046853299,1.2557212008810477,0.49068973674428035,0.3939641409755404,0.44232693885991037,0.00027
14,0.009922513009872834,0.890876405786749,1.2614369785197432,0.49410272387395404,0.3939188423359533,0.4440107831049537,0.000243
15,0.009884682211691366,0.891229060504638,1.2607919569462087,0.4912122272516904,0.3939789681786509,0.44259559771517065,0.000243
16,0.009882577264432762,0.8911970665275653,1.2606671328030805,0.4939328718515502,0.3926299822652703,0.4432814270584102,0.000243
17,0.00987977721087757,0.8914184729525558,1.2554645618643285,0.4936290917342713,0.3942428794466344,0.44393598559045283,0.000243
18,0.009905147491652477,0.8913064637177961,1.2571955528864327,0.49172230241789966,0.39426095108173015,0.4429916267498149,0.000243
19,0.009850009235163427,0.8912016891382705,1.2543797196458353,0.4940828402366864,0.3933892570240754,0.4437360486303809,0.000243
20,0.009915566125539295,0.8912728946170547,1.2580514817559587,0.4935154725397268,0.3943877944928717,0.44395163351629924,0.0002187
21,0.009844532201050797,0.8914889617529005,1.257196765939995,0.4905158225262347,0.39321726646520105,0.4418665444957179,0.0002187
22,0.009818064039386322,0.8915274953678878,1.2549355112413865,0.49452954048140046,0.39456552333992867,0.44454753191066454,0.0002187
23,0.009816240920570322,0.8913455719362393,1.2546002704451331,0.49109338034049266,0.39366247341009686,0.44237792687529476,0.0002187
