class_index,label,threshold,precision,recall,f1
0,Acid anhydride,0.05,0.5238095238095238,0.515625,0.5196850393700787
0,Acid anhydride,0.1,0.64,0.5,0.5614035087719298
0,Acid anhydride,0.15000000000000002,0.6739130434782609,0.484375,0.5636363636363636
0,Acid anhydride,0.2,0.6666666666666666,0.46875,0.5504587155963303
0,Acid anhydride,0.25,0.6818181818181818,0.46875,0.5555555555555556
0,Acid anhydride,0.3,0.7142857142857143,0.46875,0.5660377358490566
0,Acid anhydride,0.35000000000000003,0.75,0.46875,0.5769230769230769
0,Acid anhydride,0.4,0.7692307692307693,0.46875,0.5825242718446602
0,Acid anhydride,0.45,0.7894736842105263,0.46875,0.5882352941176471
0,Acid anhydride,0.5,0.7894736842105263,0.46875,0.5882352941176471
0,Acid anhydride,0.55,0.7894736842105263,0.46875,0.5882352941176471
0,Acid anhydride,0.6000000000000001,0.7837837837837838,0.453125,0.5742574257425742
0,Acid anhydride,0.6500000000000001,0.8235294117647058,0.4375,0.5714285714285714
0,Acid anhydride,0.7000000000000001,0.8484848484848485,0.4375,0.5773195876288659
0,Acid anhydride,0.7500000000000001,0.875,0.4375,0.5833333333333334
0,Acid anhydride,0.8,0.875,0.4375,0.5833333333333334
0,Acid anhydride,0.8500000000000001,0.8709677419354839,0.421875,0.5684210526315789
0,Acid anhydride,0.9000000000000001,0.8709677419354839,0.421875,0.5684210526315789
0,Acid anhydride,0.9500000000000001,0.9,0.421875,0.574468085106383
1,Acyl halide,0.05,0.3881118881118881,0.5454545454545454,0.45352400408580185
1,Acyl halide,0.1,0.42771084337349397,0.5233415233415234,0.4707182320441989
1,Acyl halide,0.15000000000000002,0.4573304157549234,0.5135135135135135,0.4837962962962963
1,Acyl halide,0.2,0.48009367681498827,0.5036855036855037,0.49160671462829736
1,Acyl halide,0.25,0.51010101010101,0.4963144963144963,0.5031133250311333
1,Acyl halide,0.3,0.5251989389920424,0.4864864864864865,0.5051020408163265
1,Acyl halide,0.35000000000000003,0.5302197802197802,0.4742014742014742,0.5006485084306096
1,Acyl halide,0.4,0.5444126074498568,0.4668304668304668,0.5026455026455027
1,Acyl halide,0.45,0.564179104477612,0.4643734643734644,0.5094339622641509
1,Acyl halide,0.5,0.5705521472392638,0.457002457002457,0.5075034106412005
1,Acyl halide,0.55,0.5791139240506329,0.44963144963144963,0.5062240663900415
1,Acyl halide,0.6000000000000001,0.5953947368421053,0.44471744471744473,0.509142053445851
1,Acyl halide,0.6500000000000001,0.6054421768707483,0.43734643734643736,0.5078459343794579
1,Acyl halide,0.7000000000000001,0.6175438596491228,0.43243243243243246,0.5086705202312138
1,Acyl halide,0.7500000000000001,0.631768953068592,0.42997542997543,0.5116959064327485
1,Acyl halide,0.8,0.6441947565543071,0.4226044226044226,0.5103857566765578
1,Acyl halide,0.8500000000000001,0.6732283464566929,0.4201474201474201,0.5173978819969742
1,Acyl halide,0.9000000000000001,0.7071129707112971,0.4152334152334152,0.5232198142414861
1,Acyl halide,0.9500000000000001,0.7674418604651163,0.40540540540540543,0.5305466237942122
2,Alcohol,0.05,0.9816411682892907,0.9896242288278183,0.9856165340036308
2,Alcohol,0.1,0.9829468890850797,0.9886894746681623,0.9858098189528625
2,Alcohol,0.15000000000000002,0.9840405732365531,0.9884557861282482,0.986243238201828
2,Alcohol,0.2,0.9843975594988589,0.9878481959244718,0.9861198590990738
2,Alcohol,0.25,0.9850829759462987,0.9876612450925406,0.986370425690814
2,Alcohol,0.3,0.9853531112976956,0.9872873434286783,0.9863192790773685
2,Alcohol,0.35000000000000003,0.9858083189393586,0.9869601794727987,0.9863839129317794
2,Alcohol,0.4,0.9860780191544032,0.9864928023929707,0.9862853671643186
2,Alcohol,0.45,0.9863481228668942,0.9860254253131426,0.9861867476919481
2,Alcohol,0.5,0.9866654189865719,0.9856047859412974,0.9861348172741939
2,Alcohol,0.55,0.9873091692422965,0.9853710974013834,0.9863391812865497
2,Alcohol,0.6000000000000001,0.9875843328335832,0.9851841465694522,0.9863827795975667
2,Alcohol,0.6500000000000001,0.9879484173505275,0.9846700317816415,0.9863065003160039
2,Alcohol,0.7000000000000001,0.9884981925731187,0.9841091792858478,0.9862988031946038
2,Alcohol,0.7500000000000001,0.9889578047176018,0.9836885399140026,0.9863161347767
2,Alcohol,0.8,0.989507363666306,0.982893998878295,0.986189594128819
2,Alcohol,0.8500000000000001,0.9900579559911417,0.9820527201346047,0.9860390905464699
2,Alcohol,0.9000000000000001,0.9906480256943132,0.9802766872312582,0.9854350685961285
2,Alcohol,0.9500000000000001,0.9918861209964412,0.9770050476724621,0.9843893480257117
3,Aldehyde,0.05,0.5755837771405162,0.6928007889546351,0.6287760125307675
3,Aldehyde,0.1,0.623699683401176,0.6799802761341223,0.6506251474404341
3,Aldehyde,0.15000000000000002,0.6512625059552167,0.6740631163708086,0.6624666828204507
3,Aldehyde,0.2,0.6666666666666666,0.6627218934911243,0.6646884272997032
3,Aldehyde,0.25,0.6800815078960775,0.658284023668639,0.6690052618391381
3,Aldehyde,0.3,0.6910229645093946,0.6528599605522682,0.6713995943204868
3,Aldehyde,0.35000000000000003,0.7010144153764015,0.6474358974358975,0.6731607280184568
3,Aldehyde,0.4,0.7145214521452146,0.6405325443786982,0.6755070202808112
3,Aldehyde,0.45,0.7243697478991596,0.6375739644970414,0.6782061369000787
3,Aldehyde,0.5,0.7327241576242147,0.6326429980276134,0.6790156125959248
3,Aldehyde,0.55,0.7440233236151603,0.6291913214990138,0.6818060379374833
3,Aldehyde,0.6000000000000001,0.7568697729988052,0.6247534516765286,0.684494867639114
3,Aldehyde,0.6500000000000001,0.7618757612667478,0.6168639053254438,0.6817438692098092
3,Aldehyde,0.7000000000000001,0.7771535580524345,0.613905325443787,0.6859504132231405
3,Aldehyde,0.7500000000000001,0.7859424920127795,0.606508875739645,0.6846646256610075
3,Aldehyde,0.8,0.8027796161482462,0.5981262327416174,0.6855043797682961
3,Aldehyde,0.8500000000000001,0.8230027548209367,0.5892504930966469,0.6867816091954023
3,Aldehyde,0.9000000000000001,0.8409742120343839,0.5788954635108481,0.6857476635514018
3,Aldehyde,0.9500000000000001,0.8644716692189893,0.5567061143984221,0.6772645470905819
4,Alkane,0.05,0.9720542843294814,0.9963264132196831,0.98404069880047
4,Alkane,0.1,0.9790889786616946,0.9885608952570203,0.9838021388982853
4,Alkane,0.15000000000000002,0.9834595744122242,0.9794096114626366,0.9814304148189875
4,Alkane,0.2,0.9865231620679562,0.969421638864195,0.9778976381067929
4,Alkane,0.25,0.9886708476633623,0.9583355122104272,0.9732668600675797
4,Alkane,0.3,0.9906886305440304,0.9458374731998117,0.9677436614254854
4,Alkane,0.35000000000000003,0.9921608962152696,0.9332087015635622,0.9617822809369505
4,Alkane,0.4,0.9932509707024356,0.9196648015478743,0.9550425273390036
4,Alkane,0.45,0.9943116524936796,0.9049312346389164,0.947518274153366
4,Alkane,0.5,0.9951279462757319,0.8891910265125765,0.9391815853245973
4,Alkane,0.55,0.9957873980460697,0.8714636824765989,0.9294867325738667
4,Alkane,0.6000000000000001,0.9964821584252306,0.8517361292684202,0.9184411410204901
4,Alkane,0.6500000000000001,0.9969858239532803,0.8302436856141818,0.9060068050017476
4,Alkane,0.7000000000000001,0.9973912338977559,0.8047116038278512,0.8907508302763246
4,Alkane,0.7500000000000001,0.997861052631579,0.7745646603566386,0.8721470261358535
4,Alkane,0.8,0.9982652410960844,0.7372535690006798,0.8481321061180292
4,Alkane,0.8500000000000001,0.9986006051437216,0.6903467029231815,0.8163435673870698
4,Alkane,0.9000000000000001,0.9989348593387773,0.6252941484076766,0.7691379961888835
4,Alkane,0.9500000000000001,0.9996199549013149,0.5157925011765936,0.6804701580703857
5,Alkene,0.05,0.5902426019728072,0.7235294117647059,0.6501247981206871
5,Alkene,0.1,0.6223378625807073,0.7034858387799564,0.6604284910773636
5,Alkene,0.15000000000000002,0.6404075045390357,0.6916122004357298,0.6650256625117839
5,Alkene,0.2,0.6551760268231349,0.6811546840958606,0.6679128391369366
5,Alkene,0.25,0.6682490020498436,0.6747276688453159,0.6714727085478888
5,Alkene,0.3,0.6800575475874281,0.6693899782135077,0.674681598594642
5,Alkene,0.35000000000000003,0.6885598010400181,0.6635076252723312,0.6758016198823921
5,Alkene,0.4,0.6970431970431971,0.6574074074074074,0.6766453638300258
5,Alkene,0.45,0.7050783551313774,0.6518518518518519,0.6774211807324391
5,Alkene,0.5,0.7140110550348474,0.647276688453159,0.6790081133584733
5,Alkene,0.55,0.7191697191697192,0.6416122004357299,0.6781807714450202
5,Alkene,0.6000000000000001,0.7246340858347805,0.6363834422657952,0.6776476046862313
5,Alkene,0.6500000000000001,0.7311433986102337,0.6303921568627451,0.6770400701959637
5,Alkene,0.7000000000000001,0.7394111570247934,0.6237472766884532,0.6766721815173717
5,Alkene,0.7500000000000001,0.7496693996297276,0.6175381263616557,0.6772189702544499
5,Alkene,0.8,0.7593321569159767,0.6093681917211329,0.6761346467637638
5,Alkene,0.8500000000000001,0.7711923777497548,0.5995642701525055,0.6746338174909603
5,Alkene,0.9000000000000001,0.788874288217258,0.588562091503268,0.6741530975107617
5,Alkene,0.9500000000000001,0.8142679515076158,0.5706971677559913,0.6710644293582683
6,Alkyne,0.05,0.681045751633987,0.6859776168531929,0.6835027877992784
6,Alkyne,0.1,0.7246992215145082,0.67412771560237,0.6984993178717599
6,Alkyne,0.15000000000000002,0.7528005974607916,0.663594470046083,0.7053883834849545
6,Alkyne,0.2,0.774168600154679,0.6589861751152074,0.7119487908961594
6,Alkyne,0.25,0.7924679487179487,0.6510862409479921,0.714853632092519
6,Alkyne,0.3,0.8107883817427386,0.6431863067807768,0.7173274596182085
6,Alkyne,0.35000000000000003,0.823579304495335,0.6392363396971692,0.7197924388435878
6,Alkyne,0.4,0.832034632034632,0.6326530612244898,0.718773373223635
6,Alkyne,0.45,0.8418727915194346,0.6273864384463462,0.7189739720860053
6,Alkyne,0.5,0.846911369740376,0.6227781435154707,0.7177541729893778
6,Alkyne,0.55,0.8546775658492279,0.619486504279131,0.7183206106870229
6,Alkyne,0.6000000000000001,0.861878453038674,0.6161948650427913,0.7186180422264875
6,Alkyne,0.6500000000000001,0.8723004694835681,0.6115865701119158,0.7190402476780186
6,Alkyne,0.7000000000000001,0.882804995196926,0.6050032916392364,0.71796875
6,Alkyne,0.7500000000000001,0.8903036238981391,0.5984200131665569,0.715748031496063
6,Alkyne,0.8,0.9004024144869215,0.5892034233048058,0.7122960604854756
6,Alkyne,0.8500000000000001,0.9071428571428571,0.5852534562211982,0.711484593837535
6,Alkyne,0.9000000000000001,0.9208860759493671,0.5747202106649111,0.7077421970004053
6,Alkyne,0.9500000000000001,0.9371554575523704,0.5595786701777485,0.7007419620774938
7,Amide,0.05,0.7550285919942417,0.8911176137436285,0.8174477757333045
7,Amide,0.1,0.7755110537491153,0.8791296960543704,0.8240759174464132
7,Amide,0.15000000000000002,0.7880625053368627,0.8711534831036436,0.8275274602107151
7,Amide,0.2,0.7967016230799356,0.8641212006796299,0.8290429939550363
7,Amide,0.25,0.8046674342396599,0.8576080800453086,0.8302947224126114
7,Amide,0.3,0.8119946091644205,0.8530772135170851,0.8320290922482048
7,Amide,0.35000000000000003,0.8179089544772387,0.8488295261468756,0.8330824281446141
7,Amide,0.4,0.8231721345419408,0.8443458561449877,0.8336245660632324
7,Amide,0.45,0.8286445012787724,0.8410420993014914,0.834797273557726
7,Amide,0.5,0.834313402643835,0.8370303945629601,0.8356696901873012
7,Amide,0.55,0.8400533790868363,0.831885973192373,0.8359497272942851
7,Amide,0.6000000000000001,0.8442259494891073,0.8266943552954502,0.8353681800839374
7,Amide,0.6500000000000001,0.8488559301361175,0.8211723617141778,0.8347846947343169
7,Amide,0.7000000000000001,0.8544545139404744,0.8143288653955069,0.8339092820376501
7,Amide,0.7500000000000001,0.8613443265798603,0.8086180857088918,0.8341488351712554
7,Amide,0.8,0.8683226632522407,0.8001699074948084,0.8328543708397809
7,Amide,0.8500000000000001,0.8777114115058158,0.7906362091750048,0.8319014748969559
7,Amide,0.9000000000000001,0.8887145639471976,0.7752973381159146,0.8281407541843113
7,Amide,0.9500000000000001,0.9048026954485752,0.7477817632622239,0.818832527972299
8,Amine,0.05,0.7465432360492781,0.9490342865698458,0.8356977112118975
8,Amine,0.1,0.8016556632968846,0.9308279682587214,0.8614263346773635
8,Amine,0.15000000000000002,0.8298521981139723,0.9196586315316664,0.8724504289529004
8,Amine,0.2,0.8480695303359519,0.9116334780655787,0.878703476541642
8,Amine,0.25,0.8616784573254221,0.9045366072765384,0.8825875443748082
8,Amine,0.3,0.8716787176583326,0.8988770774067975,0.8850689939851397
8,Amine,0.35000000000000003,0.8799057159693577,0.8942656086240455,0.8870275488230489
8,Amine,0.4,0.8874914109879605,0.8895643060338374,0.8885266495184543
8,Amine,0.45,0.8945263986914246,0.8842940559964066,0.8893807974942778
8,Amine,0.5,0.900978257536263,0.879772421021111,0.890249075813587
8,Amine,0.55,0.9062335163982749,0.8745920047911364,0.8901316591490918
8,Amine,0.6000000000000001,0.9121269242852654,0.8693816439586765,0.8902414718282867
8,Amine,0.6500000000000001,0.9169313850063533,0.8643509507411289,0.8898651252408478
8,Amine,0.7000000000000001,0.9219252024161418,0.8592304237161251,0.8894744183883817
8,Amine,0.7500000000000001,0.9277229978196492,0.8536607276538404,0.8891522674817541
8,Amine,0.8,0.9334543654068328,0.8468034136846834,0.8880200973465222
8,Amine,0.8500000000000001,0.9394061399094111,0.8384189249887708,0.8860443037974683
8,Amine,0.9000000000000001,0.9465766568432595,0.8271597544542596,0.8828483308563849
8,Amine,0.9500000000000001,0.9566095211107962,0.808713879323252,0.876466483846366
9,Arene,0.05,0.9360975385605097,0.9923199324543742,0.9633891625615764
9,Arene,0.1,0.953463916878551,0.9863772163408456,0.9696413465068395
9,Arene,0.15000000000000002,0.9622398114379449,0.9810352666103787,0.971546643726031
9,Arene,0.2,0.9672191765405701,0.9768461388582191,0.972008821462327
9,Arene,0.25,0.9705796537638591,0.9722186140157173,0.9713984425697599
9,Arene,0.3,0.9734204081632654,0.9680781970513737,0.9707419528159039
9,Arene,0.35000000000000003,0.9755672762524441,0.9640514385919335,0.9697751717041381
9,Arene,0.4,0.9774166349794171,0.9599434954861337,0.968601269711243
9,Arene,0.45,0.9792273022103215,0.9559979216730532,0.9674731955798381
9,Arene,0.5,0.9808499606964259,0.952230954081964,0.9663286070901885
9,Arene,0.55,0.9820295805219498,0.9476359030980062,0.964526231418207
9,Arene,0.6000000000000001,0.9831524407795594,0.9427810612456972,0.9625436189876251
9,Arene,0.6500000000000001,0.9844352006546422,0.9376014808079496,0.9604477487816643
9,Arene,0.7000000000000001,0.9854208881409486,0.9317561862700526,0.9578374588973644
9,Arene,0.7500000000000001,0.9866784464539375,0.924806780541664,0.9547412709321622
9,Arene,0.8,0.9878317423686143,0.917418977722933,0.9513242301281296
9,Arene,0.8500000000000001,0.989321385563505,0.9070760537767097,0.9464152605543132
9,Arene,0.9000000000000001,0.9906165977949005,0.8913587062414756,0.938370155121576
9,Arene,0.9500000000000001,0.9926526806526806,0.86430798207443,0.9240450296407523
10,Azo compound,0.05,0.20454545454545456,0.17647058823529413,0.18947368421052632
10,Azo compound,0.1,0.19444444444444445,0.13725490196078433,0.16091954022988506
10,Azo compound,0.15000000000000002,0.2413793103448276,0.13725490196078433,0.175
10,Azo compound,0.2,0.28,0.13725490196078433,0.18421052631578946
10,Azo compound,0.25,0.28,0.13725490196078433,0.18421052631578946
10,Azo compound,0.3,0.2916666666666667,0.13725490196078433,0.18666666666666668
10,Azo compound,0.35000000000000003,0.35,0.13725490196078433,0.19718309859154928
10,Azo compound,0.4,0.3684210526315789,0.13725490196078433,0.2
10,Azo compound,0.45,0.3684210526315789,0.13725490196078433,0.2
10,Azo compound,0.5,0.4117647058823529,0.13725490196078433,0.20588235294117646
10,Azo compound,0.55,0.4117647058823529,0.13725490196078433,0.20588235294117646
10,Azo compound,0.6000000000000001,0.4666666666666667,0.13725490196078433,0.21212121212121213
10,Azo compound,0.6500000000000001,0.4666666666666667,0.13725490196078433,0.21212121212121213
10,Azo compound,0.7000000000000001,0.5384615384615384,0.13725490196078433,0.21875
10,Azo compound,0.7500000000000001,0.5384615384615384,0.13725490196078433,0.21875
10,Azo compound,0.8,0.5833333333333334,0.13725490196078433,0.2222222222222222
10,Azo compound,0.8500000000000001,0.5454545454545454,0.11764705882352941,0.1935483870967742
10,Azo compound,0.9000000000000001,0.6,0.11764705882352941,0.19672131147540983
10,Azo compound,0.9500000000000001,0.6,0.11764705882352941,0.19672131147540983
11,Carbamate,0.05,0.8266035994462391,0.9263089851325146,0.873620679144059
11,Carbamate,0.1,0.8490093100978754,0.9195862960568842,0.8828895922547012
11,Carbamate,0.15000000000000002,0.8617578934536145,0.9138978668390433,0.8870623666708496
11,Carbamate,0.2,0.8715471324166977,0.9096315449256626,0.8901821862348178
11,Carbamate,0.25,0.8781586189642232,0.907563025210084,0.8926187297348847
11,Carbamate,0.3,0.8839116719242902,0.9056237879767292,0.8946360153256705
11,Carbamate,0.35000000000000003,0.8886487860683869,0.9038138332255979,0.8961671580566594
11,Carbamate,0.4,0.8927610506085842,0.9008403361344538,0.8967824967824968
11,Carbamate,0.45,0.896774193548387,0.898513251454428,0.8976428802066516
11,Carbamate,0.5,0.9005072181037846,0.8951519069166128,0.8978215767634855
11,Carbamate,0.55,0.90421355666056,0.8933419521654816,0.8987448787149639
11,Carbamate,0.6000000000000001,0.9079536476165394,0.8914027149321267,0.8996020614521495
11,Carbamate,0.6500000000000001,0.911429329090427,0.8886877828054298,0.8999149047587878
11,Carbamate,0.7000000000000001,0.9163213474134474,0.8862314156431803,0.9010252365930599
11,Carbamate,0.7500000000000001,0.9206691851052348,0.8822236586942469,0.9010365088796461
11,Carbamate,0.8,0.9265167007498296,0.8786037491919845,0.9019243530192436
11,Carbamate,0.8500000000000001,0.9319624620480265,0.8730446024563672,0.9015419531406448
11,Carbamate,0.9000000000000001,0.9408300616937746,0.8674854557207499,0.9026703437142665
11,Carbamate,0.9500000000000001,0.9501003728133066,0.8566257272139625,0.900944999660072
12,Carboxylic acid,0.05,0.9745413702733059,0.9909898477157361,0.9826967847480023
12,Carboxylic acid,0.1,0.977432296890672,0.9893401015228427,0.9833501513622603
12,Carboxylic acid,0.15000000000000002,0.9801207851031706,0.9885786802030457,0.9843315643164013
12,Carboxylic acid,0.2,0.9808443604284814,0.9876903553299492,0.9842554536832121
12,Carboxylic acid,0.25,0.9824450618843142,0.9871827411167513,0.9848082035700721
12,Carboxylic acid,0.3,0.9833038198836327,0.9865482233502538,0.9849233498036235
