class_index,label,true_count,true_pct,pred_count,pred_pct,pred_minus_true_count,pred_minus_true_pct,over_prediction_ratio
0,Acid anhydride,64,0.0008056293349781599,34,0.00042799058420714745,-30,-0.00037763875077101243,0.53125
1,Acyl halide,407,0.005123299052126736,316,0.003977794841454664,-91,-0.001145504210672071,0.7764127764127764
2,Alcohol,21396,0.2693319570498861,21438,0.2698606513009655,42,0.0005286942510794175,1.0019629837352777
3,Aldehyde,2028,0.02552837955212044,1452,0.018277715537317003,-576,-0.007250664014803439,0.7159763313609467
4,Alkane,76492,0.9628781107992095,77232,0.9721931999848944,740,0.009315089185684973,1.00967421429692
5,Alkene,9180,0.1155574577359298,7137,0.08984025880842386,-2043,-0.025717198927505947,0.7774509803921569
6,Alkyne,1519,0.019121108747372263,1041,0.013104064651754132,-478,-0.0060170440956181315,0.685319289005925
7,Amide,21188,0.2667136617112071,20497,0.25801538248511474,-691,-0.00869827922609232,0.9673872003020577
8,Amine,33395,0.420374869399932,31830,0.4006747145680442,-1565,-0.019700154831887817,0.9531366971103459
9,Arene,61588,0.7752671794161705,62201,0.7829835978902582,613,0.007716418474087688,1.0099532376436968
10,Azo compound,51,0.0006419858763107211,13,0.00016364345866743874,-38,-0.00047834241764328246,0.2549019607843137
11,Carbamate,7735,0.09736785790712604,7246,0.09121234626955854,-489,-0.006155511637567503,0.9367808661926309
12,Carboxylic acid,7880,0.09919311186918593,7862,0.09896652861872333,-18,-0.00022658325046260748,0.9977157360406091
13,Enamine,1128,0.014199217028990067,704,0.008861922684759759,-424,-0.005337294344230309,0.624113475177305
14,Enol,250,0.003146989589758437,187,0.002353948213139311,-63,-0.0007930413766191262,0.748
15,Ester,14945,0.18812703767575936,13847,0.1743054593975403,-1098,-0.013821578278219056,0.926530612244898
16,Ether,44963,0.5659923716972344,49573,0.62402285973238,4610,0.05803048803514558,1.1025287458577053
17,Haloalkane,36735,0.46241865031910473,40660,0.5118263868783122,3925,0.04940773655920746,1.1068463318361237
18,Hydrazine,941,0.011845268815850758,709,0.008924862476554928,-232,-0.0029204063392958297,0.7534537725823592
19,Hydrazone,581,0.0073136038065986075,347,0.00436802155058471,-234,-0.002945582256013897,0.5972461273666093
20,Imide,1490,0.018756057954960284,1342,0.01689304011782329,-148,-0.0018630178371369947,0.9006711409395973
21,Imine,606,0.007628302765574451,372,0.004682720509560555,-234,-0.002945582256013897,0.6138613861386139
22,Isocyanate,96,0.0012084440024672399,104,0.00130914766933951,8,0.00010070366687226999,1.0833333333333333
23,Isothiocyanate,79,0.000994448710363666,70,0.0008811570851323623,-9,-0.00011329162523130374,0.8860759493670886
24,Ketone,6682,0.0841127377550635,6063,0.07632079153082162,-619,-0.00779194622424189,0.9073630649506136
25,Nitrile,5262,0.06623783688523559,4943,0.06222227816870382,-319,-0.004015558716531766,0.9393766628658304
26,Phenol,4730,0.05954104303822963,4530,0.05702345136642288,-200,-0.0025175916718067496,0.9577167019027484
27,Phosphine,55,0.0006923377097468561,23,0.0002895230422577762,-32,-0.00040281466748907994,0.41818181818181815
28,Sulfide,10870,0.13683110736269685,10593,0.1333442428972445,-277,-0.003486864465452348,0.9745170193192272
29,Sulfonamide,3643,0.04585793230195995,3541,0.0445739605493385,-102,-0.0012839717526214422,0.972001097996157
30,Sulfonate,909,0.011442454148361677,888,0.011178107022821968,-21,-0.00026434712553970874,0.976897689768977
31,Sulfone,1926,0.024244407799499,1809,0.02277161667149205,-117,-0.0014727911280069486,0.9392523364485982
32,Sulfonic acid,3,3.7763875077101246e-05,0,0.0,-3,-3.7763875077101246e-05,0.0
33,Sulfoxide,403,0.005072947218690601,255,0.003209929381553606,-148,-0.0018630178371369947,0.6327543424317618
34,Thial,1,1.2587958359033748e-05,0,0.0,-1,-1.2587958359033748e-05,0.0
35,Thioamide,602,0.007577950932138316,443,0.005576465553051951,-159,-0.002001485379086366,0.7358803986710963
36,Thiol,291,0.003663095882478821,274,0.003449100590375247,-17,-0.00021399529210357372,0.9415807560137457
