epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,threshold_mean,threshold_std,lr
1,0.4209855746801724,0.5961659174715115,0.0776990533284211,0.4215418557699149,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
2,0.41973907766667035,0.6510360843301004,0.1060223796200455,0.42032801439508183,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
3,0.4195412699678533,0.6514206927510441,0.10456871255097375,0.4204036806781472,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
4,0.4194760263395333,0.6514090279517185,0.10482572575943712,0.4203059854330645,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
5,0.41946633651479964,0.6515948958708594,0.10396776456730146,0.420348019221898,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
6,0.4194321789286131,0.6516940920693304,0.10350165805031156,0.42030167454425676,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
7,0.41940020190540833,0.6517610830053163,0.10324309314372644,0.42037419447773894,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
8,0.4193770094603336,0.6516817751771372,0.10350806452132628,0.42024935261378277,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
9,0.41938188859403835,0.6518295385894219,0.10302760644272464,0.4203787723603313,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
10,0.41935755054277846,0.6517612634097589,0.10330004624004883,0.42035854705575326,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
11,0.4193161565787247,0.6518051653347786,0.10308618048895797,0.42028500206958996,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
12,0.41930720966851154,0.6517631447073344,0.1032505674987159,0.4203644119015234,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
13,0.4193008511831369,0.6518534487959682,0.10288618321702352,0.420220743430585,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.001
14,0.41929865877329114,0.6518295382302903,0.10295142494754553,0.42054694124881337,0.6511803301475187,0.10269799439712429,0.4000000000000002,5.551115123125783e-17,0.0009000000000000001
