epoch,train_loss,train_f1,val_loss,val_f1_micro,val_f1_macro,score,lr
1,0.002889618733986069,0.8266474070119797,1.6870087456877259,0.3592814371257485,0.31301051539717767,0.3361459762614631,0.001
2,0.0027074047670339794,0.8320197122143071,1.6905752327912162,0.3578295944303238,0.31380341705999526,0.33581650574515953,0.001
3,0.002663760198119922,0.8324197955992229,1.6662754196264713,0.3621604069704513,0.3136817883157526,0.33792109764310196,0.001
4,0.002620256846570365,0.8351533402012837,1.661453605991716,0.3596949891067538,0.31207217440491786,0.3358835817558358,0.001
5,0.0026005429730241057,0.8338158290225112,1.6651495824962825,0.35966349830656613,0.31282444462505515,0.33624397146581064,0.001
6,0.002563105149097983,0.8355525965379494,1.651489474180962,0.35861617374222415,0.3119142881507315,0.33526523094647787,0.001
7,0.002558052416665051,0.8361693017650137,1.650183349430621,0.35876956287101996,0.31508415331354767,0.33692685809228384,0.001
8,0.002532132011601537,0.8365986092147462,1.6855863972312854,0.3580804820314181,0.31286401489888266,0.3354722484651504,0.001
9,0.0025097907978706936,0.8377073139734383,1.6544900822855555,0.3592814371257485,0.3124800548787903,0.3358807460022694,0.001
10,0.002433802820723964,0.8416669325760234,1.6553897104834743,0.35899073778345575,0.31220221025464207,0.3355964740190489,0.0005
11,0.0024096955208327392,0.8419725502713055,1.6515228451858954,0.3589247311827957,0.3129863460665777,0.33595553862468674,0.0005
12,0.002395575664088958,0.8425658304456829,1.6625145661146619,0.358653431160984,0.31288252276500217,0.3357679769629931,0.0005
13,0.0023980629644831516,0.8416737122529392,1.6706490406517056,0.35852334419109666,0.31288549959883555,0.3357044218949661,0.0005
14,0.002373791412355712,0.8432776197628711,1.6688969561790772,0.35981411816773623,0.31306020678317475,0.3364371624754555,0.0005
15,0.002374596187199798,0.8437340153452686,1.6698208066331897,0.3591511364860498,0.31291562189514316,0.3360333791905965,0.0005
16,0.002315957186969058,0.8464190088342338,1.6695857456383507,0.3603821236411551,0.3139071722653658,0.3371446479532605,0.00025
17,0.0022942688763452246,0.8465064102564103,1.6810031050971868,0.35950044603033005,0.31204351837603567,0.33577198220318283,0.00025
18,0.002294402337554272,0.8463795065805293,1.6651327076755382,0.3614432109308284,0.31306248931770947,0.3372528501242689,0.00025
19,0.002273036847099416,0.8471086308091985,1.6726718821794484,0.3584494773519164,0.31179003073582523,0.33511975404387084,0.00025
20,0.0022749610394401736,0.8486455220283428,1.672001159794381,0.36140758744584167,0.31212142241796104,0.33676450493190135,0.00025
21,0.0022756888794435008,0.8471765592673969,1.6820964141614727,0.3581798483206934,0.31227418531689616,0.33522701681879474,0.00025
22,0.0022421450307144545,0.8495794400038599,1.674357233747975,0.3589238845144357,0.3123271615793613,0.3356255230468985,0.000125
23,0.0022413778157424863,0.8496517556981775,1.6895381697745242,0.358800350262697,0.31186650475532846,0.33533342750901274,0.000125
24,0.002230830493834365,0.8502510298661174,1.6851724471270377,0.3588344428680563,0.31128804894527345,0.33506124590666486,0.000125
25,0.002233585508754273,0.8507409793814433,1.686509214814336,0.358270717630404,0.31269124694938044,0.3354809822898922,0.000125
26,0.0022151974925777034,0.8505835949448604,1.6771058073336744,0.3584556824361066,0.31248178605871135,0.335468734247409,0.000125
27,0.002218755112309855,0.850126329680233,1.6795231792381764,0.35739297413306226,0.3128162956400189,0.3351046348865406,0.000125
28,0.0021887689492796833,0.8523368706254233,1.690239850277867,0.3585056552039301,0.31304483149474305,0.33577524334933656,6.25e-05
29,0.0021915198570506317,0.8522179402421917,1.6852221169890713,0.3592709811197206,0.3124152685141866,0.3358431248169536,6.25e-05
30,0.0022006380927488524,0.8511467594382167,1.6817735903302709,0.3585256480367494,0.31267091793826995,0.3355982829875097,6.25e-05
31,0.0021896290823261826,0.8524378639054209,1.6843975752201925,0.35896269335759784,0.312892177826654,0.3359274355921259,6.25e-05
32,0.002204154358562762,0.8511193428893542,1.6869573596621088,0.3600778546712803,0.31284620491138376,0.336462029791332,6.25e-05
33,0.002173986652941385,0.8531714640879519,1.6869876794494532,0.3573610953943646,0.3131875767173712,0.33527433605586787,6.25e-05
