epoch,train_loss,train_f1_micro,train_f1_macro,val_loss,val_f1_micro,val_f1_macro,early_stopping_score,threshold_mean,threshold_std,lr
1,0.6530327513192131,0.38335901386748844,0.11265133496775086,0.6263061165809631,0.3383018867924528,0.21429584459440007,0.27629886569342643,0.3013513386249542,0.25009360909461975,0.0004
2,0.5234661840673945,0.5516688383281547,0.07452638757432072,0.5814790725708008,0.3164096343787905,0.21319347096559255,0.2648015526721915,0.24351352453231812,0.24901120364665985,0.0004
3,0.4606351899400561,0.5435185185185185,0.05889581094806994,0.5625940561294556,0.3063157894736842,0.21807582144172533,0.26219580545770477,0.17432430386543274,0.2564575970172882,0.0004
4,0.4254711290599758,0.5231027052908787,0.049505786313241595,0.5542815923690796,0.30815347721822545,0.21588769277081413,0.2620205849945198,0.15324322879314423,0.2567894756793976,0.0004
5,0.4068127059862824,0.6050279053686966,0.07915826412589244,nan,0.050107211375691234,0.059650941609205074,0.05487907649244815,0.17675673961639404,0.20324468612670898,0.0004
6,0.3920756014181989,0.616640127388535,0.090873275867007,nan,0.05198908516444061,0.06745755919058899,0.059723322177514804,0.18432430922985077,0.20135408639907837,0.0004
7,0.37806792402930756,0.6429216414166751,0.11258852431572425,0.5370688438415527,0.4281487199279557,0.25726772409681053,0.34270822201238316,0.19540537893772125,0.25331953167915344,0.0004
8,0.3658881561925643,0.6395891200670825,0.11188757957551136,nan,0.05065257924176507,0.07404075868113709,0.06234666896145108,0.19729728996753693,0.2315243035554886,0.0004
9,0.35510863407502036,0.6851188537935526,0.1496029753639701,nan,0.05440826052422557,0.0817960850000694,0.06810217276214749,0.21405404806137085,0.22182850539684296,0.0004
10,0.34143634446805926,0.7000730860588342,0.16729738710628533,nan,0.05462885738115096,0.08477059283342371,0.06969972510728734,0.24540545046329498,0.22448252141475677,0.0004
11,0.331029130787901,0.6964797191166959,0.1797245407696389,0.5234171152114868,0.5260828327537148,0.3028452854269389,0.41446405909032685,0.24405407905578613,0.25217387080192566,0.0004
12,0.3165505163636421,0.706958540026396,0.24282392126378982,nan,0.056179775280898875,0.08556194523563292,0.07087086025826589,0.24270276725292206,0.24032239615917206,0.0004
13,0.30380931252489873,0.7163091497016897,0.2739241068690134,0.5282800793647766,0.5648054145516075,0.3393339981245406,0.4520697063380741,0.23810811340808868,0.25127607583999634,0.0004
14,0.2901215489717687,0.7198828268033687,0.33813663114206755,0.5039598941802979,0.5701198026779423,0.35117502739370277,0.4606474150358225,0.28837841749191284,0.24726080894470215,0.0004
15,0.2781213257559669,0.7233113444207006,0.3861632103048835,0.4994233250617981,0.5548189699133096,0.34771121401932886,0.45126509196631925,0.2981080710887909,0.25888365507125854,0.0004
16,0.26479236157452674,0.7362794012829651,0.46368937773287205,nan,0.059893048128342244,0.08905126362931538,0.07447215587882881,0.27216219902038574,0.26185548305511475,0.0004
17,0.2549929043747358,0.738428513930504,0.514365566600525,nan,0.06170752324598478,0.08354514592527544,0.07262633458563011,0.2691892087459564,0.28522515296936035,0.0004
18,0.24408866419029382,0.7533029715470984,0.47960882796029364,nan,0.06104017440049829,0.08953634729142305,0.07528826084596067,0.3110811114311218,0.2885732054710388,0.0004
19,0.23264418086368113,0.757699012202208,0.5530118504966215,0.5609657764434814,0.6384326142885415,0.352257470639161,0.49534504246385125,0.2548648715019226,0.25445884466171265,0.0004
20,0.21724784164653496,0.7658721115719429,0.5840908821159396,nan,0.0610967979389032,0.08903090552205542,0.0750638517304793,0.32729730010032654,0.3042283058166504,0.0004
21,0.20948524183523157,0.7778264296348192,0.6156244322737148,nan,0.055575096728807595,0.07848551352308802,0.0670303051259478,0.27486488223075867,0.2990943193435669,0.0004
22,0.194469844493468,0.7908534679112144,0.65242375405637,nan,0.05754857997010463,0.08412865521668703,0.07083861759339583,0.28621625900268555,0.3122486174106598,0.0004
23,0.1832028157329633,0.8049991290715903,0.6630154950294672,0.5884972810745239,0.6553225168183617,0.3422765325554087,0.4987995246868852,0.24945947527885437,0.27128270268440247,0.0004
24,0.17872869438697603,0.8100794108513376,0.6818445138923267,0.59595787525177,0.6676348547717842,0.34913003105653156,0.5083824429141579,0.24189189076423645,0.26596927642822266,0.0004
25,0.16829082273073506,0.8174177396280401,0.702410292306168,0.6047216057777405,0.6890114552397115,0.3495426139897112,0.5192770346147113,0.2478378713130951,0.2687924802303314,0.0004
26,0.15608702415753,0.8361088282365154,0.7414340591934392,0.6059350371360779,0.6822292323869611,0.352473868857023,0.517351550621992,0.24945950508117676,0.27044451236724854,0.0004
27,0.14418081985282752,0.8477838601447996,0.7449359597706376,0.6397661566734314,0.6798914178325329,0.34279092195905997,0.5113411698957965,0.21324323117733002,0.2594490349292755,0.0004
28,0.13640588010665622,0.8556247550193807,0.7576505806432113,0.6179428100585938,0.6575899207478155,0.34494554059000565,0.5012677306689106,0.2618919014930725,0.2846794128417969,0.0004
29,0.12783792041460917,0.8653057701437141,0.7621143922932191,0.6829195022583008,0.7087060877154702,0.3463917775307352,0.5275489326231027,0.2132432460784912,0.2603641152381897,0.0004
30,0.11890287524581508,0.8779428064730659,0.7967095692136694,nan,0.05142083897158322,0.06579292574626662,0.05860688235892492,0.2878378927707672,0.34690243005752563,0.0004
31,0.10796614837655696,0.8910857044614459,0.8115122447630961,0.7023743391036987,0.6961864406779661,0.34405415548723606,0.5201202980826011,0.2056756466627121,0.2629925310611725,0.0004
32,0.0986623170525066,0.9048286740864079,0.827416931572015,nan,0.054667788057190914,0.0785027552965676,0.06658527167687925,0.23135139048099518,0.3388866186141968,0.0004
33,0.08915397233489492,0.920863309352518,0.8354802527262299,nan,0.06417112299465241,0.07542880067241975,0.06979996183353608,0.22594600915908813,0.3194882571697235,0.0004
34,0.08091461721813475,0.93073536463101,0.848459422219555,0.7316348552703857,0.6959126899208218,0.34691507748475914,0.5214138837027904,0.2056756466627121,0.270250529050827,0.0004
35,0.07271192644303881,0.9377182018016464,0.8532790572262029,nan,0.06070120355834641,0.06701580343232066,0.06385850349533354,0.2340541034936905,0.3402897119522095,0.00036
36,0.06713634996546844,0.9467136456566184,0.8619541633125702,0.748622477054596,0.7069868995633187,0.35567864732359544,0.5313327734434571,0.1991891711950302,0.26704972982406616,0.00036
37,0.059868983221938475,0.9567673256571801,0.8675744621233039,0.8000747561454773,0.7036312241791693,0.3438241919133659,0.5237277080462677,0.1824324131011963,0.2677474021911621,0.00036
38,0.055698230707157154,0.9628892733564014,0.872117268721461,0.8100631237030029,0.706266318537859,0.3509144238244246,0.5285903711811418,0.16999998688697815,0.25318509340286255,0.00036
39,0.0493263129254305,0.9676747515945676,0.8736341344871097,0.8021209836006165,0.7171671896010757,0.34641662568982284,0.5317919076454493,0.17054051160812378,0.2511696517467499,0.00036
40,0.044873569344949134,0.9726922577573895,0.8777357443287852,0.8435280323028564,0.7258138468592389,0.3399656791232671,0.532889762991253,0.1732432246208191,0.2544846832752228,0.00036
41,0.04184993324798447,0.9756118804982145,0.8809666394695835,0.843296468257904,0.7316497521831484,0.35233803848129436,0.5419938953322214,0.180270254611969,0.2552739381790161,0.00036
42,0.03925217542411555,0.9801376087238738,0.8827867830591419,nan,0.05774569683509161,0.06251790469927324,0.06013180076718243,0.23837845027446747,0.3316177725791931,0.00036
43,0.03581955112873863,0.9830508474576272,0.8836594036804042,nan,0.053706946876824285,0.05330311467294297,0.053505030774883625,0.2754054665565491,0.37944191694259644,0.00036
44,0.033522817699189716,0.9833636599948011,0.8829973885326781,0.9031698703765869,0.7357685009487666,0.34142077057355796,0.5385946357611623,0.18081079423427582,0.26411888003349304,0.00036
45,0.02922950324010812,0.9873945927149439,0.8866924619359086,0.892530083656311,0.7329572167371885,0.336635047702032,0.5347961322196102,0.19270269572734833,0.28519928455352783,0.00036
46,0.02646989264515397,0.9901582484283546,0.8859327728262887,0.9372064471244812,0.7343638525564804,0.33790218491609164,0.536133018736286,0.17756754159927368,0.2717750072479248,0.00036
47,0.028870471397636478,0.9864489228630994,0.8841908647185863,0.8780863881111145,0.7205574912891987,0.35086828611109394,0.5357128887001463,0.18837836384773254,0.2663518488407135,0.000324
48,0.02859454819935459,0.985091493893163,0.8826205866250152,0.973583459854126,0.7344231224828239,0.33685034821857635,0.5356367353507001,0.15648646652698517,0.2554192841053009,0.000324
49,0.022534974797454647,0.9932792784980271,0.8889115503562397,nan,0.052191038897095025,0.05279311423556859,0.052492076566331806,0.2175675928592682,0.34204792976379395,0.000324
50,0.023387818115042203,0.9908885803540437,0.886552117972173,0.9494455456733704,0.7356154406409323,0.3340639020932712,0.5348396713671018,0.1829729527235031,0.26536932587623596,0.000324
51,0.02174057248674644,0.9913149209657808,0.8871433333140534,0.9718989133834839,0.7380840018876829,0.33619563824917004,0.5371398200684264,0.1499999761581421,0.2516647279262543,0.000324
52,0.021732454647351823,0.9915353561661675,0.8880460511713114,nan,0.5502581232918311,0.24140770500638514,0.39583291414910815,0.20513512194156647,0.2790584862232208,0.000324
53,0.0195563862609808,0.9929336281267612,0.888758904914579,0.9846446514129639,0.735413193617528,0.33427492689085814,0.5348440602541931,0.15864863991737366,0.2600952088832855,0.00029160000000000004
54,0.017321654683240966,0.9949216545857025,0.8889034370988177,0.9944096207618713,0.7372262773722628,0.33951792956413523,0.538372103468199,0.16081079840660095,0.2560339868068695,0.00029160000000000004
55,0.01568488750341917,0.9950469238790407,0.8906019245441275,1.0089433193206787,0.7438873795999013,0.3392877074419174,0.5415875435209093,0.16837836802005768,0.2582530975341797,0.00029160000000000004
56,0.015122294290656285,0.9955250467046096,0.8908234508425228,1.0175015926361084,0.749312671832042,0.33904564021904443,0.5441791560255432,0.1662161946296692,0.2564661502838135,0.00029160000000000004
57,0.013883036667829411,0.9967454979388154,0.8910533261009885,nan,0.05678793256433008,0.06029395402699598,0.058540943295663034,0.16351351141929626,0.29478543996810913,0.00029160000000000004
58,0.012964745901432897,0.9963952225841477,0.8906510916705012,nan,0.054006197432492256,0.049132491106787635,0.051569344269639945,0.16027025878429413,0.2759796977043152,0.00029160000000000004
59,0.013790814584578853,0.9964415900017358,0.8901157783640539,nan,0.05407925407925408,0.05155987326997711,0.0528195636746156,0.17432430386543274,0.2799280285835266,0.00029160000000000004
60,0.012709933206427503,0.9957376478775226,0.8911927026452854,1.0553864240646362,0.7480414455395502,0.3449267355332215,0.5464840905363859,0.16459457576274872,0.2572368085384369,0.00029160000000000004
61,0.011689433871179681,0.997221981074746,0.8908461472573047,nan,0.059628543499511244,0.04923686133700338,0.05443270241825732,0.18135134875774384,0.28637683391571045,0.00029160000000000004
62,0.011650773339618394,0.9968758135902109,0.8912216116498388,1.0702061653137207,0.7483443708609272,0.3413753425110338,0.5448598566859805,0.18459458649158478,0.2724423408508301,0.00029160000000000004
63,0.010437021040612431,0.9973052851182197,0.8914751439570102,1.0885508060455322,0.7454819277108434,0.3431957694638545,0.5443388485873489,0.1413513422012329,0.25000715255737305,0.00029160000000000004
64,0.009616963098968567,0.9980902777777778,0.891578132612368,1.0812361240386963,0.7488833746898264,0.34557309152650495,0.5472282331081657,0.147837832570076,0.25195595622062683,0.00029160000000000004
65,0.009054125676729027,0.9976540099052915,0.8909563628904474,nan,0.056818181818181816,0.04913207206047807,0.052975126939329945,0.19513513147830963,0.3252992033958435,0.00029160000000000004
66,0.009516414023152736,0.9986112316639181,0.8916887846299612,1.061245322227478,0.7412204234122043,0.33995229649494396,0.5405863599535741,0.14729727804660797,0.2570902705192566,0.00029160000000000004
67,0.009329539322088454,0.9985672730430252,0.8916191646537128,1.108008861541748,0.7476961394769613,0.3402495539035389,0.5439728466902501,0.1505405157804489,0.2550351917743683,0.00029160000000000004
68,0.00829794082770461,0.9986544554885195,0.8916644395293101,nan,0.053487152595700055,0.04550751816615638,0.049497335380928216,0.21675677597522736,0.3315243721008301,0.00029160000000000004
69,0.0077646428235508555,0.998697351280938,0.8910986979974385,nan,0.05425143453312467,0.05009652674271826,0.05217398063792146,0.21702702343463898,0.32743775844573975,0.00029160000000000004
70,0.007434905778006341,0.9988712338282539,0.8917335470360699,1.115769386291504,0.7536597677940434,0.3426195424298511,0.5481396551119473,0.14729727804660797,0.25297847390174866,0.00029160000000000004
71,0.006940528885727688,0.9987410462339917,0.8917071281287461,1.1312206983566284,0.7498110355253212,0.34146957314281673,0.545640304334069,0.13486485183238983,0.2511231005191803,0.00029160000000000004
72,0.00649897971620907,0.9989578810247504,0.8917604268232562,nan,0.054189663823381834,0.04340063826626672,0.04879515104482428,0.18135133385658264,0.2986832559108734,0.00029160000000000004
73,0.006444827343266705,0.9993054952686865,0.8917996706208482,nan,0.0550098231827112,0.048733413659298175,0.051871618421004684,0.16621620953083038,0.2845703363418579,0.00029160000000000004
74,0.006852996962395435,0.999001432726957,0.8917247864406734,nan,0.0486322188449848,0.04203659826113194,0.04533440855305837,0.20648646354675293,0.31968072056770325,0.00029160000000000004
75,0.006382021248352123,0.9993923083601007,0.8918153280759513,nan,0.05110896817743491,0.0406780785049356,0.04589352334118525,0.16810810565948486,0.2810581922531128,0.00029160000000000004
76,0.006020395329201931,0.9992184786384161,0.8917819900428736,1.1747175455093384,0.7563283047813858,0.33920686020731505,0.5477675824943504,0.1316216140985489,0.24974054098129272,0.00026244000000000007
77,0.0056852681383813,0.9994357393984113,0.8918144076295808,1.1629669666290283,0.7464042392127176,0.3394875666573909,0.5429459029350543,0.1478378176689148,0.2606036067008972,0.00026244000000000007
78,0.005452722164196246,0.9991751682222705,0.8917832009511705,1.1826577186584473,0.756029449098756,0.3391659561938597,0.5475977026463079,0.1435135006904602,0.25440141558647156,0.00026244000000000007
79,0.005321546187811463,0.9994357883772406,0.8918075290119823,1.1912355422973633,0.7544483985765125,0.33725529900348417,0.5458518487899984,0.1294594556093216,0.2527144253253937,0.00026244000000000007
80,0.005043737157758964,0.9995660098949743,0.8918305878455149,1.177108645439148,0.7529769445148213,0.34124109972671496,0.5471090221207682,0.13702702522277832,0.25639772415161133,0.00026244000000000007
81,0.004964748152043711,0.9996527777777777,0.8918387383513838,nan,0.04891015417331207,0.04174384929932915,0.04532700173632061,0.22162169218063354,0.3348538279533386,0.00026244000000000007
